scenarioId,variantId,category,evidenceMethod,sourceFiles,sourceFunctions,initialState,eventSequence,expectedOutcome,observedOutcome,passed,metricTags,findingRuleIds,notes
step_up_left_first_set_12_reps,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlanForExerciseId;advanceStepUpAlternationState;summarizeStepUpSetResult,"{""initialLeadSide"":""left"",""setIndex"":0}","[""12 accepted expected-lead reps""]","{""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""setCompleted"":true}","{""setIndex"":0,""startLeadSide"":""left"",""targetTotalReps"":12,""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""alternationValid"":true,""completedTarget"":true,""repEvidence"":[{""repAttemptId"":""step_up_left_first_set_12_reps-rep-1"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-2"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-3"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-4"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-5"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-6"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-7"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-8"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-9"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-10"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-11"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-12"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""}],""repSfxCount"":12,""phase"":""set_complete""}",true,valid_set;rep_sfx,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
step_up_right_first_set_12_reps,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,deriveStepUpAlternationPlanForExerciseId;advanceStepUpAlternationState;summarizeStepUpSetResult,"{""initialLeadSide"":""right"",""setIndex"":0}","[""12 accepted expected-lead reps""]","{""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""setCompleted"":true}","{""setIndex"":0,""startLeadSide"":""right"",""targetTotalReps"":12,""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""alternationValid"":true,""completedTarget"":true,""repEvidence"":[{""repAttemptId"":""step_up_right_first_set_12_reps-rep-1"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-2"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-3"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-4"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-5"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-6"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-7"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-8"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-9"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-10"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-11"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-12"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""}],""repSfxCount"":12,""phase"":""set_complete""}",true,valid_set;rep_sfx,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
step_up_three_sets_left_initial,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,setStartLeadForIndex;summarizeStepUpAlternationProgression,{},[],"{""setStartLeadSides"":[""left"",""right"",""left""],""progressionEligible"":true}","{""setStartLeadSides"":[""left"",""right"",""left""],""progressionEligible"":true,""completedSetCount"":3}",true,progression,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
step_up_three_sets_right_initial,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,setStartLeadForIndex;summarizeStepUpAlternationProgression,{},[],"{""setStartLeadSides"":[""right"",""left"",""right""],""progressionEligible"":true}","{""setStartLeadSides"":[""right"",""left"",""right""],""progressionEligible"":true,""completedSetCount"":3}",true,progression,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
step_up_six_left_six_right,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,summarizeStepUpSetResult,{},[],"{""leftLeadRepCount"":6,""rightLeadRepCount"":6}","{""leftLeadRepCount"":6,""rightLeadRepCount"":6}",true,side_balance,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
step_up_both_feet_floor_each_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence,{},[],"{""allAcceptedHaveStartAndReturnFloor"":true}","{""acceptedWithoutStart"":0,""acceptedWithoutReturn"":0}",true,floor_boundary,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
wrong_lead_on_first_rep,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence;advanceStepUpAlternationState,{},[],"{""credited"":false,""expectedLeadSide"":""left""}","{""endReason"":""wrong_lead"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}",true,wrong_lead,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
wrong_lead_after_five_reps,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,resolveStepUpRepEvidence;advanceStepUpAlternationState,{},[],"{""acceptedBeforeWrong"":5,""noCreditForWrong"":true}","{""endReason"":""wrong_lead"",""acceptedRepCount"":5,""expectedLeadSide"":""right""}",true,wrong_lead,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
wrong_lead_returns_to_floor_then_corrects,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},"[""wrong lead"",""FLOOR_READY"",""correct lead""]","{""correctedAccepted"":true,""acceptedRepCount"":1}","{""acceptedRepCount"":1,""expectedLeadSide"":""right""}",true,wrong_lead,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
wrong_lead_does_not_flip_expected,base,prior_alternation_addendum_retained,prior_addendum_csv_retained_for_context,docs/audits/PEARL_TRAINING_STEP_UP_ALTERNATION_SCENARIOS_V2.csv,advanceStepUpAlternationState,{},[],"{""wrongAttemptExpectedLeadFlipCount"":0}","{""expectedBefore"":""left"",""expectedAfter"":""left""}",true,wrong_lead_flip,,Retained from prior alternation verification addendum; critical metrics below are recomputed from this addendum execution rows.
