exerciseId,softwareContractValid,behaviorReady,targetReady,safetyPlanReady,audioReady,selectable,blockers,legacyFallbackAvailable,notes
balance-feet-together-hold,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
balance-single-leg-hold,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
balance-tandem-hold,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
band-pull-apart,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
chair-supported-split-squat,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
glute-bridge-hold,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
glute-bridge-reps,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
heel-raise-free,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
heel-raise-supported,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
hip-hinge-free,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
hip-hinge-wall,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
loaded-march,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
loaded-sit-to-stand,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
mini-band-lateral-walk,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
neck-rotation,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
overhead-press-band,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
overhead-reach,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
push-up-incline,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
push-up-standard,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
push-up-wall,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
seated-band-row,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
seated-hamstring-reach,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
squat-free,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
squat-loaded,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
squat-slow-eccentric,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
squat-supported,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
standing-band-row,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
step-up,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
sts-cushion,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
sts-power,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
sts-slow-eccentric,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
sts-standard,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
supported-hip-flexor-stretch,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
supported-side-step,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
thoracic-rotation,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
toe-raise-supported,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
wall-calf-stretch,true,true,true,true,false,false,global_audio_ready_false,true,Training Voice V2.1 item is blocked and must use the legacy voice path.
