sourceCueId,sourceScript,canonicalSafetyTier,currentReachability,v21Disposition,logicalCueKey,triggerSource,automaticDetectionSupported,recoveryPolicy,remainingBlocker,legacyPathPreserved,sourceFiles,testCoverage,notes
balance_stop_if_unsteady,Touch support and reset if you feel unsteady.,exercise,visible_or_user_reported,health_stop_no_auto_resume,,explicit_user_report_or_visible_stop_control,false,Stop or pause safely; no auto-resume; visible Exit/End controls remain available.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
balance_supported_if_hesitant,Use fingertip support whenever you need it.,exercise,visible_or_user_reported,preventative_instruction_already_fulfilled,,setup_or_exact_instruction_memory,false,No duplicate reactive speech; requirement is fulfilled by exact setup/instruction or safety memory.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
band_do_not_overstretch,Use light tension only; do not overstretch the band.,exercise,visible_or_user_reported,preventative_instruction_already_fulfilled,,setup_or_exact_instruction_memory,false,No duplicate reactive speech; requirement is fulfilled by exact setup/instruction or safety memory.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
band_never_release_under_tension,Never let go of a stretched band.,exercise,visible_or_user_reported,preventative_instruction_already_fulfilled,,setup_or_exact_instruction_memory,false,No duplicate reactive speech; requirement is fulfilled by exact setup/instruction or safety memory.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
band_stop_if_slips_or_shifts,"Stop if the band, grip, anchor, door, or your stance slips or shifts.",exercise,visible_or_user_reported,equipment_correction_then_retry,retry-v21,accepted_user_or_controller_equipment_stop_event,false,"Stop active work, require correction, require explicit Retry, then fresh setup/countdown; no auto-resume.",,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
door_anchor_stop_if_moves,"Stop if the door or anchor moves, or if tension pulls the door toward you.",exercise,visible_or_user_reported,equipment_correction_then_retry,retry-v21,accepted_user_or_controller_equipment_stop_event,false,"Stop active work, require correction, require explicit Retry, then fresh setup/countdown; no auto-resume.",,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
floor_stop_if_transfer_unsteady,Stop and choose another option if the floor transfer feels unsteady or uncomfortable.,exercise,visible_or_user_reported,health_stop_no_auto_resume,,explicit_user_report_or_visible_stop_control,false,Stop or pause safely; no auto-resume; visible Exit/End controls remain available.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
global_breathe_normally,Keep breathing normally; do not hold your breath.,global,visible_or_user_reported,preventative_instruction_already_fulfilled,,setup_or_exact_instruction_memory,false,No duplicate reactive speech; requirement is fulfilled by exact setup/instruction or safety memory.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
global_pause_if_tracking_lost,"If tracking pauses, return to your setup position and wait for Pearl to reset.",global,pose_runtime_confirmed_tracking_loss,tracking_recovery,tracking-loss-v21,confirmed_tracking_interruption_from_pose_runtime,true,May recover after stable current setup/readiness; fresh countdown required.,,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Only tracking recovery claims automatic detection.
global_stop_if_support_moves,"Stop if your chair, counter, wall, step, band, or anchor shifts.",global,visible_or_user_reported,equipment_correction_then_retry,retry-v21,accepted_user_or_controller_equipment_stop_event,false,"Stop active work, require correction, require explicit Retry, then fresh setup/countdown; no auto-resume.",,true,src/training/voiceV21/reactiveSafety.ts;src/training/voiceV21/safetyPolicy.ts,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,No automatic camera detection claim.
