setType,targetMs,exerciseIdsOrContexts,progressEventCount,event1DueMs,event1CueKey,event2DueMs,event2CueKey,optional,dropIfBusy,replayIfMissed,cancelConditions,runtimeStatus,testCoverage,notes
reps,,rep_sets_use_sfx_only,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
hold,15000,target_15s_five_seconds_left,1,10000,five-seconds-left-v21,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
hold,20000,target_20s_halfway_and_five_seconds_left,2,10000,halfway-v21,15000,five-seconds-left-v21,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
timer,30000,target_30s_halfway_and_five_seconds_left,2,15000,halfway-v21,25000,five-seconds-left-v21,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
rom,12000,rom_12000_no_progress,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
rom,14000,rom_14000_no_progress,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
side_segment,6000,short_6000_no_progress,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
side_segment,7500,short_7500_no_progress,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
side_segment,10000,short_10000_no_progress,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
side_segment,15000,target_15s_five_seconds_left,1,10000,five-seconds-left-v21,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
timer,13000,unsupported_target_no_approximation,0,,,,,true,true,false,pause;tracking_loss;retry;side_switch;set_completion;skip;state_exit;voice_scope_replacement,implemented_default_closed,src/training/voiceV21/__tests__/controlsProgressRecovery.test.ts,Anchored to active attempt start from go playback-start; unsupported targets do not approximate.
