logicalCueKey,exactScript,category,policyId,requiredness,microCheckTypes,sideVariant,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,budgetClass,claraDurationSecMeasuredCurrentMp3,marcusDurationSecMeasuredCurrentMp3,logicalDurationMode,logicalDurationEstimateSec,notes
countdown-one,One.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-one,One.,true,true,true,reuse_exact_existing_pair,false,countdown,0.604,0.604,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
countdown-three,Three.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-three,Three.,true,true,true,reuse_exact_existing_pair,false,countdown,0.789,0.789,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
countdown-two,Two.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-two,Two.,true,true,true,reuse_exact_existing_pair,false,countdown,0.743,0.743,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
final-position-set-v21,You're set.,final_position,setup_recovery,required,chair-power;single-leg-balance;mobility-reach,shared,final-position-set-v21,You're set.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,1.115,0.975,measured_current_mp3,1.030,Exact Clara/Marcus physical pair exists in the current bundled corpus.
go,Go!,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,go,Go!,true,true,true,reuse_exact_existing_pair,false,countdown,0.789,0.557,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-chair-power-v21,Five quick chair stands. Arms crossed. Stand and sit five times as quickly as safely comfortable.,micro_instruction,instruction,required,chair-power,none,microcheck-chair,"Power check: five fast chair stands. Cross your arms, stand fully, and sit with control.",true,true,false,existing_pair_script_mismatch,true,micro_check_setup,9.892,9.892,estimated_logical_unrecorded,5.790,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
micro-discard-v21,Check discarded.,control,result_transition,required,chair-power;single-leg-balance;mobility-reach,shared,,,false,false,false,new_pair_required,true,control_confirmation,,,estimated_logical_unrecorded,1.030,No current physical pair exists for this logical Micro-Check Voice V2.1 cue.
micro-mobility-left-v21,Quick mobility check. Extend your left leg and reach gently until I say relax.,micro_instruction,instruction,required,mobility-reach,left,ex-hamstring-reach,Sit tall with one leg long and reach gently toward your toes. Stay in a comfortable range.,true,true,false,existing_pair_script_mismatch,true,micro_check_setup,10.077,9.799,estimated_logical_unrecorded,5.110,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
micro-mobility-right-v21,Quick mobility check. Extend your right leg and reach gently until I say relax.,micro_instruction,instruction,required,,shared,ex-hamstring-reach,Sit tall with one leg long and reach gently toward your toes. Stay in a comfortable range.,true,true,false,existing_pair_script_mismatch,true,micro_check_setup,10.077,9.799,estimated_logical_unrecorded,5.110,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
micro-relax-v21,Relax.,active_stop,critical_stop,required,chair-power;single-leg-balance;mobility-reach,shared,relax-arm,Lovely. Lower your arm and relax.,true,true,false,existing_pair_script_mismatch,true,control_confirmation,2.554,2.136,estimated_logical_unrecorded,0.690,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
micro-single-leg-left-v21,Quick balance check. Stand on your left leg with support nearby. Hold as long as comfortable.,micro_instruction,instruction,required,single-leg-balance,left,microcheck-balance,Balance check: stand on one leg with a counter or wall nearby. Hold steady as long as you can.,true,true,false,existing_pair_script_mismatch,true,micro_check_setup,5.991,5.341,estimated_logical_unrecorded,5.790,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
micro-single-leg-right-v21,Quick balance check. Stand on your right leg with support nearby. Hold as long as comfortable.,micro_instruction,instruction,required,,shared,microcheck-balance,Balance check: stand on one leg with a counter or wall nearby. Hold steady as long as you can.,true,true,false,existing_pair_script_mismatch,true,micro_check_setup,5.991,5.341,estimated_logical_unrecorded,5.790,"A legacy physical candidate exists, but V2.1 requires a separate exact logical cue."
