queueId,reviewGroup,priority,voiceId,logicalCueKey,physicalCueKey,path,durationMs,script,reuseDecision,approvalStatus,notes
listen-001,training_generated,P3,clara,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,3947,Feet together. Keep your eyes open and support within reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-002,training_generated,P3,marcus,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,assets/audio/voice/marcus/checkup-balance-feet-together-v21.mp3,3576,Feet together. Keep your eyes open and support within reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-003,training_generated,P3,clara,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,2601,Nicely done. I will guide the next stance.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-004,training_generated,P3,marcus,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,assets/audio/voice/marcus/checkup-balance-next-stance-v21.mp3,2136,Nicely done. I will guide the next stance.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-005,training_generated,P3,clara,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,3622,Place your left foot half a step forward. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-006,training_generated,P3,marcus,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,assets/audio/voice/marcus/checkup-balance-semi-tandem-left-v21.mp3,3390,Place your left foot half a step forward. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-007,training_generated,P3,clara,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,3715,Place your right foot half a step forward. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-008,training_generated,P3,marcus,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,assets/audio/voice/marcus/checkup-balance-semi-tandem-right-v21.mp3,3251,Place your right foot half a step forward. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-009,training_generated,P3,clara,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,3251,Stand on your left leg and lift your right foot slightly.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-010,training_generated,P3,marcus,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,assets/audio/voice/marcus/checkup-balance-single-leg-left-v21.mp3,3019,Stand on your left leg and lift your right foot slightly.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-011,training_generated,P3,clara,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,3251,Stand on your right leg and lift your left foot slightly.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-012,training_generated,P3,marcus,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,assets/audio/voice/marcus/checkup-balance-single-leg-right-v21.mp3,2786,Stand on your right leg and lift your left foot slightly.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-013,training_generated,P3,clara,checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,assets/audio/voice/clara/checkup-balance-support-touch-v21.mp3,3111,Support touch noted. Balance check complete.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-014,training_generated,P3,marcus,checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,assets/audio/voice/marcus/checkup-balance-support-touch-v21.mp3,2647,Support touch noted. Balance check complete.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-015,training_generated,P3,clara,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,assets/audio/voice/clara/checkup-balance-tandem-left-v21.mp3,4505,Place your left foot directly in front heel to toe. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-016,training_generated,P3,marcus,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,assets/audio/voice/marcus/checkup-balance-tandem-left-v21.mp3,4598,Place your left foot directly in front heel to toe. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-017,training_generated,P3,clara,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,assets/audio/voice/clara/checkup-balance-tandem-right-v21.mp3,4737,Place your right foot directly in front heel to toe. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-018,training_generated,P3,marcus,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,assets/audio/voice/marcus/checkup-balance-tandem-right-v21.mp3,4412,Place your right foot directly in front heel to toe. Keep your eyes open.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-019,training_generated,P3,clara,equip-balance-support-v21,equip-balance-support-v21,assets/audio/voice/clara/equip-balance-support-v21.mp3,2043,Keep support within easy reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-020,training_generated,P3,marcus,equip-balance-support-v21,equip-balance-support-v21,assets/audio/voice/marcus/equip-balance-support-v21.mp3,1765,Keep support within easy reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-021,training_generated,P3,clara,equip-chair-stable-v21,equip-chair-stable-v21,assets/audio/voice/clara/equip-chair-stable-v21.mp3,2461,Use a sturdy chair that will not slide.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-022,training_generated,P3,marcus,equip-chair-stable-v21,equip-chair-stable-v21,assets/audio/voice/marcus/equip-chair-stable-v21.mp3,2276,Use a sturdy chair that will not slide.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-023,training_generated,P3,clara,equip-door-anchor-v21,equip-door-anchor-v21,assets/audio/voice/clara/equip-door-anchor-v21.mp3,3994,Use a secure closed door anchor and test light tension first.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-024,training_generated,P3,marcus,equip-door-anchor-v21,equip-door-anchor-v21,assets/audio/voice/marcus/equip-door-anchor-v21.mp3,3344,Use a secure closed door anchor and test light tension first.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-025,training_generated,P3,clara,equip-floor-transition-v21,equip-floor-transition-v21,assets/audio/voice/clara/equip-floor-transition-v21.mp3,3019,Move down to the floor and settle into the start position.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-026,training_generated,P3,marcus,equip-floor-transition-v21,equip-floor-transition-v21,assets/audio/voice/marcus/equip-floor-transition-v21.mp3,3111,Move down to the floor and settle into the start position.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-027,training_generated,P3,clara,equip-long-band-v21,equip-long-band-v21,assets/audio/voice/clara/equip-long-band-v21.mp3,3111,Check the band first and keep it away from your face.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-028,training_generated,P3,marcus,equip-long-band-v21,equip-long-band-v21,assets/audio/voice/marcus/equip-long-band-v21.mp3,2926,Check the band first and keep it away from your face.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-029,training_generated,P3,clara,equip-step-stable-v21,equip-step-stable-v21,assets/audio/voice/clara/equip-step-stable-v21.mp3,2926,"Use the lowest stable step, with support nearby.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-030,training_generated,P3,marcus,equip-step-stable-v21,equip-step-stable-v21,assets/audio/voice/marcus/equip-step-stable-v21.mp3,3019,"Use the lowest stable step, with support nearby.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-031,training_generated,P3,clara,equip-support-close-v21,equip-support-close-v21,assets/audio/voice/clara/equip-support-close-v21.mp3,2322,Keep sturdy support within easy reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-032,training_generated,P3,marcus,equip-support-close-v21,equip-support-close-v21,assets/audio/voice/marcus/equip-support-close-v21.mp3,2183,Keep sturdy support within easy reach.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-033,training_generated,P3,clara,ex-balance-feet-together-hold-first-v21,ex-balance-feet-together-hold-first-v21,assets/audio/voice/clara/ex-balance-feet-together-hold-first-v21.mp3,5480,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-034,training_generated,P3,marcus,ex-balance-feet-together-hold-first-v21,ex-balance-feet-together-hold-first-v21,assets/audio/voice/marcus/ex-balance-feet-together-hold-first-v21.mp3,5108,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-035,training_generated,P3,clara,ex-balance-feet-together-hold-next-v21,ex-balance-feet-together-hold-next-v21,assets/audio/voice/clara/ex-balance-feet-together-hold-next-v21.mp3,1440,Feet-together hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-036,training_generated,P3,marcus,ex-balance-feet-together-hold-next-v21,ex-balance-feet-together-hold-next-v21,assets/audio/voice/marcus/ex-balance-feet-together-hold-next-v21.mp3,1393,Feet-together hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-037,training_generated,P3,clara,ex-balance-single-leg-hold-first-v21,ex-balance-single-leg-hold-first-v21,assets/audio/voice/clara/ex-balance-single-leg-hold-first-v21.mp3,2647,Single-leg hold. Keep support close.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-038,training_generated,P3,marcus,ex-balance-single-leg-hold-first-v21,ex-balance-single-leg-hold-first-v21,assets/audio/voice/marcus/ex-balance-single-leg-hold-first-v21.mp3,2183,Single-leg hold. Keep support close.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-039,training_generated,P3,clara,ex-balance-single-leg-hold-next-v21,ex-balance-single-leg-hold-next-v21,assets/audio/voice/clara/ex-balance-single-leg-hold-next-v21.mp3,1393,Single-leg hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-040,training_generated,P3,marcus,ex-balance-single-leg-hold-next-v21,ex-balance-single-leg-hold-next-v21,assets/audio/voice/marcus/ex-balance-single-leg-hold-next-v21.mp3,1254,Single-leg hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-041,training_generated,P3,clara,ex-balance-tandem-hold-first-v21,ex-balance-tandem-hold-first-v21,assets/audio/voice/clara/ex-balance-tandem-hold-first-v21.mp3,2322,Tandem hold. Keep support close.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-042,training_generated,P3,marcus,ex-balance-tandem-hold-first-v21,ex-balance-tandem-hold-first-v21,assets/audio/voice/marcus/ex-balance-tandem-hold-first-v21.mp3,2229,Tandem hold. Keep support close.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-043,training_generated,P3,clara,ex-balance-tandem-hold-next-v21,ex-balance-tandem-hold-next-v21,assets/audio/voice/clara/ex-balance-tandem-hold-next-v21.mp3,1161,Tandem hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-044,training_generated,P3,marcus,ex-balance-tandem-hold-next-v21,ex-balance-tandem-hold-next-v21,assets/audio/voice/marcus/ex-balance-tandem-hold-next-v21.mp3,975,Tandem hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-045,training_generated,P3,clara,ex-band-pull-apart-first-v21,ex-band-pull-apart-first-v21,assets/audio/voice/clara/ex-band-pull-apart-first-v21.mp3,6594,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-046,training_generated,P3,marcus,ex-band-pull-apart-first-v21,ex-band-pull-apart-first-v21,assets/audio/voice/marcus/ex-band-pull-apart-first-v21.mp3,6548,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-047,training_generated,P3,clara,ex-band-pull-apart-next-v21,ex-band-pull-apart-next-v21,assets/audio/voice/clara/ex-band-pull-apart-next-v21.mp3,1486,Band pull-apart.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-048,training_generated,P3,marcus,ex-band-pull-apart-next-v21,ex-band-pull-apart-next-v21,assets/audio/voice/marcus/ex-band-pull-apart-next-v21.mp3,1393,Band pull-apart.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-049,training_generated,P3,clara,ex-chair-supported-split-squat-first-v21,ex-chair-supported-split-squat-first-v21,assets/audio/voice/clara/ex-chair-supported-split-squat-first-v21.mp3,3669,Supported split squat. Keep fingertips near sturdy support.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-050,training_generated,P3,marcus,ex-chair-supported-split-squat-first-v21,ex-chair-supported-split-squat-first-v21,assets/audio/voice/marcus/ex-chair-supported-split-squat-first-v21.mp3,3576,Supported split squat. Keep fingertips near sturdy support.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-051,training_generated,P3,clara,ex-chair-supported-split-squat-next-v21,ex-chair-supported-split-squat-next-v21,assets/audio/voice/clara/ex-chair-supported-split-squat-next-v21.mp3,1393,Supported split squat.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-052,training_generated,P3,marcus,ex-chair-supported-split-squat-next-v21,ex-chair-supported-split-squat-next-v21,assets/audio/voice/marcus/ex-chair-supported-split-squat-next-v21.mp3,1486,Supported split squat.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-053,training_generated,P3,clara,ex-glute-bridge-hold-first-v21,ex-glute-bridge-hold-first-v21,assets/audio/voice/clara/ex-glute-bridge-hold-first-v21.mp3,5480,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-054,training_generated,P3,marcus,ex-glute-bridge-hold-first-v21,ex-glute-bridge-hold-first-v21,assets/audio/voice/marcus/ex-glute-bridge-hold-first-v21.mp3,5062,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-055,training_generated,P3,clara,ex-glute-bridge-hold-next-v21,ex-glute-bridge-hold-next-v21,assets/audio/voice/clara/ex-glute-bridge-hold-next-v21.mp3,1068,Bridge hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-056,training_generated,P3,marcus,ex-glute-bridge-hold-next-v21,ex-glute-bridge-hold-next-v21,assets/audio/voice/marcus/ex-glute-bridge-hold-next-v21.mp3,975,Bridge hold.,,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
listen-057,training_generated,P3,clara,ex-glute-bridge-reps-first-v21,ex-glute-bridge-reps-first-v21,assets/audio/voice/clara/ex-glute-bridge-reps-first-v21.mp3,8034,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",,pending_founder_listening,Prepared for founder listening review. Not approved by this task.
