flow,itemId,metricId,protocolId,protocolVersion,comparisonGroup,sideRole,sideRequired,officialEligible,baselineAnchorSource,retestRule,manualRule,microCheckRule,legacyRule,sameSideOutcome,oppositeSideOutcome,unknownSideOutcome,differentProtocolOutcome,currentRuntimeSupport,implementationStatus,notes
battery,movement_profile_v2_battery,movement_profile_v2_battery,movement_profile_v2_battery,1,movement_profile_v2_battery,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
battery,legacy_movement_age_battery,legacy_movement_age_battery,legacy_movement_age_battery_v1,1,legacy_movement_age_battery,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
legacy_checkup,,chair_stand_30s,legacy_chair_stand_30s,1,chair_stand_30s,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
legacy_checkup,,single_leg_balance_hold,legacy_balance_ladder_v1,1,single_leg_balance_hold,standing_leg,true,true,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,not a micro-check,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,supported in current persistence path,implemented,
legacy_checkup,,shoulder_flexion_peak,legacy_shoulder_flexion_peak_v1,1,shoulder_flexion_peak,measured_arm,true,true,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,not a micro-check,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,supported in current persistence path,implemented,
legacy_checkup,,standing_forward_reach,legacy_hinge_reach_v1,1,standing_forward_reach,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
legacy_checkup,,timed_up_and_go,tug_beta_lateral_v1,1,timed_up_and_go,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
movement_profile_v2,,mpv2_chair_rise_30s,mpv2_chair_rise_30s_v1,1,mpv2_chair_rise_30s,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
movement_profile_v2,,mpv2_single_leg_balance_hold,mpv2_single_leg_balance_45s_v1,1,mpv2_single_leg_balance_hold,standing_leg,true,true,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,not a micro-check,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,supported in current persistence path,implemented,Current MPV2 single-leg attempt protocol; not the future eyes-open ladder.
movement_profile_v2,,mpv2_active_shoulder_reach,mpv2_active_shoulder_reach_v1,1,mpv2_active_shoulder_reach,measured_arm,true,true,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,not a micro-check,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,supported in current persistence path,implemented,
movement_profile_v2,,mpv2_standing_forward_reach,mpv2_hinge_reach_v1,1,mpv2_standing_forward_reach,not_applicable,false,true,not_applicable,same protocol only,raw result stays protocol-scoped,not a micro-check,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
micro_check,chair-power,micro_chair_power,micro_chair_power_5_reps_v1,1,micro_chair_power,not_applicable,false,false,not_applicable,same protocol only,raw result stays protocol-scoped,side-independent micro series,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
micro_check,single-leg-balance,micro_single_leg_balance,micro_single_leg_balance_v1,1,micro_single_leg_balance,standing_leg,true,false,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,requires explicit side for comparable micro-check series,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,metadata fail-closed; side UI deferred,metadata_only_deferred_ui,
micro_check,mobility-reach,micro_mobility_reach,micro_mobility_reach_v1,1,micro_mobility_reach,extended_leg,true,false,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,requires explicit side for comparable micro-check series,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,metadata fail-closed; side UI deferred,metadata_only_deferred_ui,
micro_check,chair-power,micro_chair_power_v21,micro_chair_power_5_reps_v21,2,micro_chair_power_v21,not_applicable,false,false,not_applicable,same protocol only,raw result stays protocol-scoped,side-independent micro series,no side series,not_side_dependent,not_applicable,not_side_dependent,different_protocol_raw_only,supported in current persistence path,implemented,
micro_check,single-leg-balance,micro_single_leg_balance_v21,micro_single_leg_balance_v21,2,micro_single_leg_balance_v21,standing_leg,true,false,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,requires explicit side for comparable micro-check series,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,metadata fail-closed; side UI deferred,metadata_only_deferred_ui,
micro_check,mobility-reach,micro_mobility_reach_v21,micro_mobility_reach_v21,2,micro_mobility_reach_v21,extended_leg,true,false,baseline_user_confirmed,reuse stored official side anchor,manual_user_selected does not replace anchor,requires explicit side for comparable micro-check series,missing side defaults to side_unknown_raw_only,same_side_comparable,opposite_side_reduced_comparability,side_unknown_raw_only,different_protocol_raw_only,metadata fail-closed; side UI deferred,metadata_only_deferred_ui,
