scenarioId,category,flow,voiceId,runtimeMode,featureState,logicalCueKeys,physicalCueKeys,trackedOutcome,controllerBoundary,activeStarted,activeStopped,resultPersisted,legacyVoiceEmitted,v21VoiceEmitted,readinessOutcome,passed,testCoverage,notes
verify_audio_post_generation,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,verify_audio_passed,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
all_active_v21_cues_physical_ready,audio_schema,shared,clara;marcus,internal_v21_closed,closed,checkup-balance-complete-v21;checkup-balance-feet-together-v21;checkup-balance-intro-v21;checkup-balance-next-stance-v21;checkup-balance-semi-tandem-left-v21;checkup-balance-semi-tandem-right-v21;checkup-balance-single-leg-left-v21;checkup-balance-single-leg-right-v21;checkup-balance-single-leg-v21;checkup-balance-support-touch-v21;checkup-balance-tandem-left-v21;checkup-balance-tandem-right-v21;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21;checkup-hinge-setup-v21;checkup-shoulder-raise-left-v21;checkup-shoulder-raise-right-v21;checkup-shoulder-turn-left-v21;checkup-shoulder-turn-right-v21;countdown-one;countdown-three;countdown-two;equip-balance-support-v21;equip-chair-stable-v21;equip-door-anchor-v21;equip-floor-transition-v21;equip-long-band-v21;equip-step-stable-v21;equip-support-close-v21;ex-balance-feet-together-hold-first-v21;ex-balance-feet-together-hold-next-v21;ex-balance-single-leg-hold-first-v21;ex-balance-single-leg-hold-next-v21;ex-balance-tandem-hold-first-v21;ex-balance-tandem-hold-next-v21;ex-band-pull-apart-first-v21;ex-band-pull-apart-next-v21;ex-chair-supported-split-squat-first-v21;ex-chair-supported-split-squat-next-v21;ex-glute-bridge-hold-first-v21;ex-glute-bridge-hold-next-v21;ex-glute-bridge-reps-first-v21;ex-glute-bridge-reps-next-v21;ex-heel-raise-free-first-v21;ex-heel-raise-free-next-v21;ex-heel-raise-supported-first-v21;ex-heel-raise-supported-next-v21;ex-hip-hinge-free-first-v21;ex-hip-hinge-free-next-v21;ex-hip-hinge-wall-first-v21;ex-hip-hinge-wall-next-v21;ex-loaded-march-first-v21;ex-loaded-march-next-v21;ex-loaded-sit-to-stand-first-v21;ex-loaded-sit-to-stand-next-v21;ex-mini-band-lateral-walk-first-v21;ex-mini-band-lateral-walk-next-v21;ex-neck-rotation-first-v21;ex-neck-rotation-next-v21;ex-overhead-press-band-first-v21;ex-overhead-press-band-next-v21;ex-overhead-reach-first-v21;ex-overhead-reach-next-v21;ex-push-up-incline-first-v21;ex-push-up-incline-next-v21;ex-push-up-standard-first-v21;ex-push-up-standard-next-v21;ex-push-up-wall-first-v21;ex-push-up-wall-next-v21;ex-seated-band-row-first-v21;ex-seated-band-row-next-v21;ex-seated-hamstring-reach-first-v21;ex-seated-hamstring-reach-next-v21;ex-squat-free-first-v21;ex-squat-free-next-v21;ex-squat-loaded-first-v21;ex-squat-loaded-next-v21;ex-squat-slow-eccentric-first-v21;ex-squat-slow-eccentric-next-v21;ex-squat-supported-first-v21;ex-squat-supported-next-v21;ex-standing-band-row-first-v21;ex-standing-band-row-next-v21;ex-step-up-first-v21;ex-step-up-next-v21;ex-sts-cushion-first-v21;ex-sts-cushion-next-v21;ex-sts-power-first-v21;ex-sts-power-next-v21;ex-sts-slow-eccentric-first-v21;ex-sts-slow-eccentric-next-v21;ex-sts-standard-first-v21;ex-sts-standard-next-v21;ex-supported-hip-flexor-stretch-first-v21;ex-supported-hip-flexor-stretch-next-v21;ex-supported-side-step-first-v21;ex-supported-side-step-next-v21;ex-thoracic-rotation-first-v21;ex-thoracic-rotation-next-v21;ex-toe-raise-supported-first-v21;ex-toe-raise-supported-next-v21;ex-wall-calf-stretch-first-v21;ex-wall-calf-stretch-next-v21;final-position-set-v21;five-seconds-left-v21;floor-gate-question-v21;go;halfway-v21;item-complete-v21;last-set-v21;micro-chair-power-v21;micro-discard-v21;micro-mobility-left-v21;micro-mobility-right-v21;micro-relax-v21;micro-single-leg-left-v21;micro-single-leg-right-v21;microcheck-complete-v21;mpv2_balance_attempt_saved;mpv2_balance_attempt_start;mpv2_balance_complete;mpv2_balance_full_hold;mpv2_balance_ready_after_30;mpv2_balance_ready_after_60;mpv2_balance_rest;mpv2_balance_tracking_retry;mpv2_balance_use_best;mpv2_chair_official_ready;mpv2_chair_practice_start;mpv2_checkup_intro;mpv2_hinge_complete;mpv2_hinge_no_measurement;mpv2_shoulder_tracking_retry;next-exercise-v21;paused-v21;rest-now-v21;resuming-v21;retry-v21;safe-session-start-v21;session-complete-v21;set-complete-v21;setup-back-v21;setup-center-v21;setup-clearer-view-v21;setup-closer-v21;setup-enter-view-v21;setup-hold-still-v21;setup-light-v21;side-calf-left-back-v21;side-calf-right-back-v21;side-hamstring-left-extended-v21;side-hamstring-right-extended-v21;side-hip-flexor-left-back-v21;side-hip-flexor-right-back-v21;side-single-leg-left-v21;side-single-leg-right-v21;side-split-squat-left-forward-v21;side-split-squat-right-forward-v21;side-tandem-left-front-v21;side-tandem-right-front-v21;step-up-next-left-v21;step-up-next-right-v21;step-up-start-left-v21;step-up-start-right-v21;step-up-wrong-left-v21;step-up-wrong-right-v21;switch-foot-positions-v21;switch-legs-v21;switch-sides-v21;target-balance-feet-together-hold-v21;target-balance-single-leg-hold-v21;target-balance-tandem-hold-v21;target-band-pull-apart-v21;target-chair-supported-split-squat-v21;target-glute-bridge-hold-v21;target-glute-bridge-reps-v21;target-heel-raise-free-v21;target-heel-raise-supported-v21;target-hip-hinge-free-v21;target-hip-hinge-wall-v21;target-loaded-march-v21;target-loaded-sit-to-stand-v21;target-mini-band-lateral-walk-v21;target-neck-rotation-v21;target-overhead-press-band-v21;target-overhead-reach-v21;target-push-up-incline-v21;target-push-up-standard-v21;target-push-up-wall-v21;target-seated-band-row-v21;target-seated-hamstring-reach-v21;target-squat-free-v21;target-squat-loaded-v21;target-squat-slow-eccentric-v21;target-squat-supported-v21;target-standing-band-row-v21;target-step-up-v21;target-sts-cushion-v21;target-sts-power-v21;target-sts-slow-eccentric-v21;target-sts-standard-v21;target-supported-hip-flexor-stretch-v21;target-supported-side-step-v21;target-thoracic-rotation-v21;target-toe-raise-supported-v21;target-wall-calf-stretch-v21;times-up-v21;tracking-loss-v21;tracking-recovered-v21;training-intro-v21;training-skip-v21,checkup-balance-complete-v21;checkup-balance-feet-together-v21;checkup-balance-intro-v21;checkup-balance-next-stance-v21;checkup-balance-semi-tandem-left-v21;checkup-balance-semi-tandem-right-v21;checkup-balance-single-leg-left-v21;checkup-balance-single-leg-right-v21;checkup-balance-single-leg-v21;checkup-balance-support-touch-v21;checkup-balance-tandem-left-v21;checkup-balance-tandem-right-v21;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21;checkup-complete-v21;checkup-hinge-setup-v21;checkup-shoulder-raise-left-v21;checkup-shoulder-raise-right-v21;checkup-shoulder-turn-left-v21;checkup-shoulder-turn-right-v21;countdown-one;countdown-three;countdown-two;equip-balance-support-v21;equip-chair-stable-v21;equip-door-anchor-v21;equip-floor-transition-v21;equip-long-band-v21;equip-step-stable-v21;equip-support-close-v21;ex-balance-feet-together-hold-first-v21;ex-balance-feet-together-hold-next-v21;ex-balance-single-leg-hold-first-v21;ex-balance-single-leg-hold-next-v21;ex-balance-tandem-hold-first-v21;ex-balance-tandem-hold-next-v21;ex-band-pull-apart-first-v21;ex-band-pull-apart-next-v21;ex-chair-supported-split-squat-first-v21;ex-chair-supported-split-squat-next-v21;ex-glute-bridge-hold-first-v21;ex-glute-bridge-hold-next-v21;ex-glute-bridge-reps-first-v21;ex-glute-bridge-reps-next-v21;ex-heel-raise-free-first-v21;ex-heel-raise-free-next-v21;ex-heel-raise-supported-first-v21;ex-heel-raise-supported-next-v21;ex-hip-hinge-free-first-v21;ex-hip-hinge-free-next-v21;ex-hip-hinge-wall-first-v21;ex-hip-hinge-wall-next-v21;ex-loaded-march-first-v21;ex-loaded-march-next-v21;ex-loaded-sit-to-stand-first-v21;ex-loaded-sit-to-stand-next-v21;ex-mini-band-lateral-walk-first-v21;ex-mini-band-lateral-walk-next-v21;ex-neck-rotation-first-v21;ex-neck-rotation-next-v21;ex-overhead-press-band-first-v21;ex-overhead-press-band-next-v21;ex-overhead-reach-first-v21;ex-overhead-reach-next-v21;ex-push-up-incline-first-v21;ex-push-up-incline-next-v21;ex-push-up-standard-first-v21;ex-push-up-standard-next-v21;ex-push-up-wall-first-v21;ex-push-up-wall-next-v21;ex-seated-band-row-first-v21;ex-seated-band-row-next-v21;ex-seated-hamstring-reach-first-v21;ex-seated-hamstring-reach-next-v21;ex-squat-free-first-v21;ex-squat-free-next-v21;ex-squat-loaded-first-v21;ex-squat-loaded-next-v21;ex-squat-slow-eccentric-first-v21;ex-squat-slow-eccentric-next-v21;ex-squat-supported-first-v21;ex-squat-supported-next-v21;ex-standing-band-row-first-v21;ex-standing-band-row-next-v21;ex-step-up-first-v21;ex-step-up-next-v21;ex-sts-cushion-first-v21;ex-sts-cushion-next-v21;ex-sts-power-first-v21;ex-sts-power-next-v21;ex-sts-slow-eccentric-first-v21;ex-sts-slow-eccentric-next-v21;ex-sts-standard-first-v21;ex-sts-standard-next-v21;ex-supported-hip-flexor-stretch-first-v21;ex-supported-hip-flexor-stretch-next-v21;ex-supported-side-step-first-v21;ex-supported-side-step-next-v21;ex-thoracic-rotation-first-v21;ex-thoracic-rotation-next-v21;ex-toe-raise-supported-first-v21;ex-toe-raise-supported-next-v21;ex-wall-calf-stretch-first-v21;ex-wall-calf-stretch-next-v21;final-position-set-v21;five-seconds-left-v21;floor-gate-question-v21;go;halfway-v21;item-complete-v21;last-set-v21;micro-chair-power-v21;micro-discard-v21;micro-mobility-left-v21;micro-mobility-right-v21;micro-relax-v21;micro-single-leg-left-v21;micro-single-leg-right-v21;microcheck-complete-v21;mpv2_balance_attempt_saved;mpv2_balance_attempt_start;mpv2_balance_complete;mpv2_balance_full_hold;mpv2_balance_ready_after_30;mpv2_balance_ready_after_60;mpv2_balance_rest;mpv2_balance_tracking_retry;mpv2_balance_use_best;mpv2_chair_official_ready;mpv2_chair_practice_start;mpv2_checkup_intro;mpv2_hinge_complete;mpv2_hinge_no_measurement;mpv2_shoulder_tracking_retry;next-exercise-v21;paused-v21;rest-now-v21;resuming-v21;retry-v21;safe-session-start-v21;session-complete-v21;set-complete-v21;setup-back-v21;setup-center-v21;setup-clearer-view-v21;setup-closer-v21;setup-enter-view-v21;setup-hold-still-v21;setup-light-v21;side-calf-left-back-v21;side-calf-right-back-v21;side-hamstring-left-extended-v21;side-hamstring-right-extended-v21;side-hip-flexor-left-back-v21;side-hip-flexor-right-back-v21;side-single-leg-left-v21;side-single-leg-right-v21;side-split-squat-left-forward-v21;side-split-squat-right-forward-v21;side-tandem-left-front-v21;side-tandem-right-front-v21;step-up-next-left-v21;step-up-next-right-v21;step-up-start-left-v21;step-up-start-right-v21;step-up-wrong-left-v21;step-up-wrong-right-v21;switch-foot-positions-v21;switch-legs-v21;switch-sides-v21;target-balance-feet-together-hold-v21;target-balance-single-leg-hold-v21;target-balance-tandem-hold-v21;target-band-pull-apart-v21;target-chair-supported-split-squat-v21;target-glute-bridge-hold-v21;target-glute-bridge-reps-v21;target-heel-raise-free-v21;target-heel-raise-supported-v21;target-hip-hinge-free-v21;target-hip-hinge-wall-v21;target-loaded-march-v21;target-loaded-sit-to-stand-v21;target-mini-band-lateral-walk-v21;target-neck-rotation-v21;target-overhead-press-band-v21;target-overhead-reach-v21;target-push-up-incline-v21;target-push-up-standard-v21;target-push-up-wall-v21;target-seated-band-row-v21;target-seated-hamstring-reach-v21;target-squat-free-v21;target-squat-loaded-v21;target-squat-slow-eccentric-v21;target-squat-supported-v21;target-standing-band-row-v21;target-step-up-v21;target-sts-cushion-v21;target-sts-power-v21;target-sts-slow-eccentric-v21;target-sts-standard-v21;target-supported-hip-flexor-stretch-v21;target-supported-side-step-v21;target-thoracic-rotation-v21;target-toe-raise-supported-v21;target-wall-calf-stretch-v21;times-up-v21;tracking-loss-v21;tracking-recovered-v21;training-intro-v21;training-skip-v21,covered,guarded,false,false,false,false,true,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
no_pending_active_cues,audio_schema,shared,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
no_script_mismatch_active_cues,audio_schema,shared,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
clara_marcus_pair_parity,audio_schema,shared,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
no_corrupt_generated_audio,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
metadata_fingerprint_current,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
static_require_paths_exist,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
no_runtime_manifest_missing_key,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
no_out_of_schema_generated_asset,audio_schema,audio,clara;marcus,internal_v21_closed,closed,,,covered,guarded,false,false,false,false,false,pass,true,post-generation audit plus focused runtime suites,Canonical whole-project post-generation scenario.
