linkId,fromComponent,toComponent,sourceFile,sourceSymbol,reachableWhenEnabled,evidenceType,evidenceDetail,testCoverage,status,blockerId,notes
1,Exercise registry,Generated session item,src/exercises/stepUp.ts;src/training/workoutGeneration.ts,stepUpDefinition;GeneratedExercise,yes_when_internal_ready,source_query+focused_jest,step-up exists as a generated item.,stepUpRuntimeIntegration.test.ts,connected_verified,,step-up exists as a generated item.
2,Final prescription,Alternation plan,src/training/stepUpAlternation/generatedSession.ts,deriveStepUpAlternationPlanForGeneratedExercise,yes_when_internal_ready,source_query+focused_jest,generated sessions can receive one pinned plan when gated.,stepUpRuntimeIntegration.test.ts,connected_verified,,generated sessions can receive one pinned plan when gated.
3,Feature/readiness selector,Active internal runtime path,src/training/setRuntime.ts;src/training/sessionPlayer.ts,selectTrainingSetRuntime;createTrainingSetRuntime,yes_when_internal_ready,source_query+focused_jest,selector routes only gated internal V2.1-capable step-up items.,stepUpRuntimeIntegration.test.ts,connected_verified,,selector routes only gated internal V2.1-capable step-up items.
4,Training screen/session controller,Alternation runtime owner,src/screens/TrainingSessionScreen.tsx;src/training/sessionPlayer.ts,TrainingSessionPlayerOptions;TrainingSetRuntime,yes_when_internal_ready,source_query+focused_jest,player owns exactly one runtime.,stepUpRuntimeIntegration.test.ts,connected_verified,,player owns exactly one runtime.
5,Pose/grader output,Lead-leg and floor-boundary evidence,src/training/stepUpAlternation/evidenceAdapter.ts,createStepUpAlternationEvidenceAdapter,yes_when_internal_ready,source_query+focused_jest,"adapter derives observed lead, top, return, floor baseline, and tracking validity.",stepUpRuntimeIntegration.test.ts,connected_verified,,"adapter derives observed lead, top, return, floor baseline, and tracking validity."
6,Evidence,Alternation state-machine action,src/training/stepUpAlternation/runtime.ts,APPLY_REP_EVIDENCE,yes_when_internal_ready,source_query+focused_jest,runtime dispatches terminal evidence to the reducer.,stepUpRuntimeIntegration.test.ts,connected_verified,,runtime dispatches terminal evidence to the reducer.
7,Accepted alternation rep,Rep-credit SFX,src/training/sessionPlayer.ts,acceptedRepEvent,yes_when_internal_ready,source_query+focused_jest,screen SFX is driven by accepted alternation event in internal mode.,stepUpRuntimeIntegration.test.ts,connected_verified,,screen SFX is driven by accepted alternation event in internal mode.
8,Alternation state,SetResult,src/training/stepUpAlternation/runtime.ts,stepUpSetResultToLegacySetResult,yes_when_internal_ready,source_query+focused_jest,runtime finish emits adapted SetResult with step-up metadata.,stepUpRuntimeIntegration.test.ts,connected_verified,,runtime finish emits adapted SetResult with step-up metadata.
9,SetResult,Progression,src/training/progression.ts,summarizeItem,yes_when_internal_ready,source_query+focused_jest,progression consumes the adapted SetResult as one set.,stepUpRuntimeIntegration.test.ts,connected_verified,,progression consumes the adapted SetResult as one set.
10,SetResult,Valid-time summary,src/training/validTimeProgression.ts,summarizeValidTimeSets,not_applicable,source_query+focused_jest,step-up is rep-based and has no valid-time payload to double.,stepUpRuntimeIntegration.test.ts,not_applicable,,step-up is rep-based and has no valid-time payload to double.
11,Active alternation state,Local serialization,src/training/serialize.ts;src/training/sessionPlayer.ts,activeSetRuntime;serializeCurrentSetRuntime,yes_when_internal_ready,source_query+focused_jest,active runtime envelope is JSON-safe and schema-versioned.,stepUpRuntimeIntegration.test.ts,connected_verified,,active runtime envelope is JSON-safe and schema-versioned.
12,Local serialization,Live restore,src/training/serialize.ts;src/training/stepUpAlternation/runtime.ts,validSerializedTrainingSetRuntime;restored,yes_when_internal_ready,source_query+focused_jest,restore validates fingerprint and retires partial attempts.,stepUpRuntimeIntegration.test.ts,connected_verified,,restore validates fingerprint and retires partial attempts.
13,Training state,Backend JSON sync/restore,src/services/backend/trainingStateSyncService.ts;src/services/backend/restoreService.ts,activeSetRuntime;stepUpAlternationPlan,yes_when_internal_ready,source_query+focused_jest,"compact backend state retains generated plan, active runtime, and seed.",trainingStateSyncService.test.ts;restoreService.test.ts,connected_verified,,"compact backend state retains generated plan, active runtime, and seed."
14,Successful main-plan completion,Initial-lead seed flip,App.tsx,applyBothSidesExerciseCompletionToStartSideSeed,yes_when_internal_ready,source_query+focused_jest,main-plan step-up completion flips the shared seed once.,stepUpRuntimeIntegration.test.ts,connected_verified,,main-plan step-up completion flips the shared seed once.
15,Manual/Explore completion,No main-plan seed mutation,App.tsx;src/training/stepUpAlternation/__tests__/stepUpRuntimeIntegration.test.ts,countsTowardMainPlan=false,yes_when_internal_ready,source_query+focused_jest,seed helper remains gated to main-plan completion branch; manual/explore tests remain no-mutation.,stepUpRuntimeIntegration.test.ts,connected_verified,,seed helper remains gated to main-plan completion branch; manual/explore tests remain no-mutation.
16,Active alternation state,Training Voice V2.1 planner,src/training/sessionPlayer.ts;src/training/voiceV21/sequencePlanner.ts,stepUpContext;planTrainingVoiceSequenceV21,yes_when_internal_ready,source_query+focused_jest,live context carries pinned plan and expected lead for logical V2.1 planning.,stepUpRuntimeIntegration.test.ts;voiceV21/foundation.test.ts,connected_verified,,live context carries pinned plan and expected lead for logical V2.1 planning.
