"scenarioId","category","mode","inputSource","flow","expectedRuntime","observedRuntime","selectableCount","approvalState","featureDefault","activeFlowPinned","legacyAvailable","passed","notes"
"fresh_install_defaults_v21_beta","activation","v21_beta","default","all","v21_beta","v21_beta","37/3","approval_false","on","true","true","true","Fresh local state resolves to V2.1 beta."
"persisted_legacy_uses_legacy","activation","legacy","persisted_setting","all","legacy","legacy","0/0","approval_false","off","true","true","true","Persisted rollback remains honored."
"persisted_v21_uses_v21","activation","v21_beta","persisted_setting","all","v21_beta","v21_beta","37/3","approval_false","on","true","true","true","Persisted V2.1 remains honored."
"force_legacy_env_wins","activation","legacy","force_legacy_env","all","legacy","legacy","0/0","approval_false","off","true","true","true","EXPO_PUBLIC_FORCE_LEGACY_VOICE wins."
"invalid_persisted_mode_safe_default","activation","v21_beta","default","all","v21_beta","v21_beta","37/3","approval_false","on","true","true","true","Invalid persisted value defaults to beta."
"approval_flags_remain_false","readiness","v21_beta","resolver","all","v21_beta","v21_beta","37/3","approval_false","on","true","true","true","Beta activation does not approve audio."
"settings_toggle_visible","settings","v21_beta","ui","settings","v21_beta","v21_beta","37/3","approval_false","on","n/a","true","true","Settings contains New voice system toggle."
"settings_toggle_on_v21","settings","v21_beta","ui_write","settings","v21_beta","v21_beta","37/3","approval_false","on","n/a","true","true","Toggle on writes v21_beta."
"settings_toggle_off_legacy","settings","legacy","ui_write","settings","legacy","legacy","0/0","approval_false","off","n/a","true","true","Toggle off writes legacy."
"settings_current_mode_label","settings","v21_beta","resolver","settings","v21_beta","v21_beta","37/3","approval_false","on","n/a","true","true","Current system label is present."
"settings_mid_flow_applies_next_flow","settings","v21_beta","active_flow","settings","pinned_existing","next_flow","n/a","approval_false","on","true","true","true","Copy says next session."
"settings_accessibility","settings","v21_beta","ui","settings","v21_beta","v21_beta","n/a","approval_false","on","n/a","true","true","ToggleRow supplies accessibility labels."
"training_v21_beta_default_selects_v21","training","v21_beta","resolver","training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Training receives internal_v21 props."
"training_legacy_mode_selects_legacy","training","legacy","persisted_setting","training","legacy","legacy","0","approval_false","off","true","true","true","Training receives legacy when beta disabled."
"training_v21_selectable_count_live_registry","training","v21_beta","resolver","training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Live registry count is 37."
"training_step_up_alternation_enabled_beta","training","v21_beta","resolver","training","step_up_alternation","step_up_alternation","1","approval_false","on","true","true","true","Step-up feature prop follows beta activation."
"training_floor_v21_enabled_beta","training","v21_beta","resolver","training","floor_v21","floor_v21","n/a","approval_false","on","true","true","true","Floor setup feature prop follows beta activation."
"training_manual_respects_mode","training","v21_beta","resolver","manual_training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Shared launch path pins resolver."
"training_explore_respects_mode","training","v21_beta","resolver","explore_training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Explore launch uses shared training path."
"training_restored_session_mode_pinned","training","v21_beta","active_flow","training","pinned_existing","pinned_existing","37","approval_false","on","true","true","true","ActiveTrainingVoiceActivation stores launch mode."
"training_no_legacy_v21_double_voice","training","v21_beta","runtime","training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Single trainingVoiceMode prop selects one path."
"micro_v21_beta_default_selects_v21","micro","v21_beta","resolver","microcheck","micro_check_voice_v2_1","micro_check_voice_v2_1","3","approval_false","on","true","true","true","Micro-check receives v21_beta prop."
"micro_legacy_mode_selects_legacy","micro","legacy","persisted_setting","microcheck","legacy","legacy","0","approval_false","off","true","true","true","Legacy prop available."
"micro_selectable_count_three","micro","v21_beta","resolver","microcheck","micro_check_voice_v2_1","micro_check_voice_v2_1","3","approval_false","on","true","true","true","Three micro-check types selectable."
"micro_side_policy_preserved","micro","v21_beta","side_setup","microcheck","micro_check_voice_v2_1","micro_check_voice_v2_1","3","approval_false","on","true","true","true","Existing side setup remains before runner creation."
"micro_restored_flow_mode_pinned","micro","v21_beta","active_flow","microcheck","pinned_existing","pinned_existing","3","approval_false","on","true","true","true","ActiveMicroCheckVoiceActivation stores launch mode."
"mpv2_v21_beta_default","mpv2","v21_beta","resolver","movement_checkup","mpv2_voice_runtime","mpv2_voice_runtime","n/a","approval_false","on","true","true","true","MPV2 gets v21_beta prop."
"mpv2_legacy_mode_fallback","mpv2","legacy","persisted_setting","movement_checkup","legacy_sequencer","legacy_sequencer","n/a","approval_false","off","true","true","true","Screens use voiceRuntimeEnabled variable."
"balance_v2_default_under_beta","balance","v21_beta","resolver","movement_checkup","balance_eyes_open_v2","balance_eyes_open_v2","1","approval_false","on","true","true","true","Beta balance selectability is physical-audio ready."
"balance_old_protocol_preserved_legacy","balance","legacy","persisted_setting","movement_checkup","legacy_balance","legacy_balance","0","approval_false","off","true","true","true","Legacy mode disables Balance V2 default."
"balance_no_eyes_closed_default_beta","balance","v21_beta","protocol","movement_checkup","eyes_open_only","eyes_open_only","1","approval_false","on","true","true","true","V2 descriptors are eyes-open only."
"balance_no_cross_protocol_delta","balance","v21_beta","protocol","results","no_cross_protocol_delta","no_cross_protocol_delta","n/a","approval_false","on","n/a","true","true","Protocol IDs remain distinct."
"training_physical_ready_approval_false","readiness","v21_beta","resolver","training","v21","v21","37","approval_false","on","n/a","true","true","Training physical ready, approval false."
"micro_physical_ready_approval_false","readiness","v21_beta","resolver","micro","v21","v21","3","approval_false","on","n/a","true","true","Micro physical ready, approval false."
"balance_physical_ready_approval_false","readiness","v21_beta","resolver","balance","v2","v2","1","approval_false","on","n/a","true","true","Balance physical ready, approval false."
"mpv2_physical_ready","readiness","v21_beta","verify_audio","mpv2","v21","v21","n/a","approval_false","on","n/a","true","true","verify:audio covers MPV2 surface."
"listening_not_completed","qa","v21_beta","audit","all","qa_pending","qa_pending","n/a","approval_false","on","n/a","true","true","P3 retained."
"device_qa_deferred","qa","v21_beta","audit","all","qa_pending","qa_pending","n/a","approval_false","on","n/a","true","true","P3 retained."
"speaker_onset_not_measured","qa","v21_beta","audit","all","qa_pending","qa_pending","n/a","approval_false","on","n/a","true","true","P3 retained."
"switch_to_legacy_then_training_legacy","rollback","legacy","settings","training","legacy","legacy","0","approval_false","off","true","true","true","Settings off maps to legacy."
"switch_to_legacy_then_micro_legacy","rollback","legacy","settings","microcheck","legacy","legacy","0","approval_false","off","true","true","true","Settings off maps to legacy."
"switch_to_legacy_then_checkup_legacy","rollback","legacy","settings","movement_checkup","legacy_sequencer","legacy_sequencer","0","approval_false","off","true","true","true","Settings off maps to MPV2 legacy voice path."
"switch_back_to_v21_then_training_v21","rollback","v21_beta","settings","training","training_voice_v2_1","training_voice_v2_1","37","approval_false","on","true","true","true","Settings on maps to v21_beta."
"active_flow_does_not_hot_swap","rollback","v21_beta","active_flow","all","pinned_existing","next_flow","n/a","approval_false","on","true","true","true","Active mode stored separately from prefs."
"verify_audio_passes","audio_integrity","v21_beta","verify_audio","all","n/a","n/a","502_assets","approval_false","on","n/a","true","true","Baseline verify:audio passed before audit."
"audio_files_unchanged","audio_integrity","v21_beta","snapshot","assets/audio","unchanged","unchanged","n/a","approval_false","on","n/a","true","true","Task-start and current audio hashes match."
"no_audio_generation","audio_integrity","v21_beta","source","all","none","none","n/a","approval_false","on","n/a","true","true","No generation script executed by harness."
"no_external_audio_api","audio_integrity","v21_beta","source","runtime","none","none","n/a","approval_false","on","n/a","true","true","No runtime ElevenLabs references in touched screens."
