scenarioId,category,expectedSelectable,passed,observed
canonical_plan_left,plan,true,true,"{""targetTotalReps"":12,""targetLeftLeadReps"":6,""targetRightLeadReps"":6,""setStartLeadSides"":[""left"",""right"",""left""]}"
canonical_plan_right,plan,true,true,"{""setStartLeadSides"":[""right"",""left"",""right""]}"
bilateral_readiness_required,evidence_gate,true,true,"{""readyWithBothChains"":true,""readyWithMissingRightChain"":false}"
valid_12_rep_set_6_and_6,runtime,true,true,"{""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""repSfxCount"":12,""phase"":""set_complete""}"
wrong_lead_no_credit_no_flip,runtime,true,true,"{""endReason"":""wrong_lead"",""acceptedRepCount"":0,""expectedLeadSide"":""left"",""repSfxCount"":0}"
generic_no_credit,runtime_invalid,true,true,"{""endReason"":""invalid_phase"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}"
no_start_floor_no_credit,runtime_invalid,true,true,"{""endReason"":""invalid_phase"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}"
no_return_floor_no_credit,runtime_invalid,true,true,"{""endReason"":""invalid_phase"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}"
tracking_interruption_no_credit,runtime_invalid,true,true,"{""endReason"":""tracking_interrupted"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}"
stale_restore_partial_no_credit,stale,true,true,"{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}"
duplicate_completion_suppressed,stale,true,true,"{""acceptedRepCount"":1,""duplicateSuppressedCount"":1}"
pause_background_partial_no_credit,stale,true,true,"{""acceptedRepCount"":0,""ignoredStaleActionCount"":1}"
incomplete_11_reps_blocks_progression,progression,false,true,"{""completedTarget"":false,""alternationValid"":false}"
one_12_rep_set_remains_one_set,progression,true,true,"{""completedSetCount"":3,""setCount"":3,""legacyReps"":12,""legacyReachedTarget"":true}"
odd_target_blocked,plan_blocked,false,true,"{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":11,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":3,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":3,""sourceTargetRepsPerSet"":11,""sourcePrescriptionFingerprint"":""step-up-source_701cebf4"",""planFingerprint"":""sua1_3a585dce"",""runtimeSelectable"":false,""blockerReasonCodes"":[""ODD_STEP_UP_TARGET""]}"
non_integer_target_blocked,plan_blocked,false,true,"{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":7.5,""targetLeftLeadReps"":0,""targetRightLeadReps"":0,""setCount"":3,""initialLeadSide"":""left"",""setStartLeadSides"":[],""sourceSetCount"":3,""sourceTargetRepsPerSet"":7.5,""sourcePrescriptionFingerprint"":""step-up-source_c4eb11ae"",""planFingerprint"":""sua1_36c1ccad"",""runtimeSelectable"":false,""blockerReasonCodes"":[""NON_INTEGER_STEP_UP_TARGET""]}"
even_scaled_target_supported,plan_scaled,true,true,"{""targetTotalReps"":10,""targetLeftLeadReps"":5,""targetRightLeadReps"":5,""setStartLeadSides"":[""right"",""left""]}"
generated_session_default_closed,generation,true,true,"{""hasPlan"":false}"
generated_session_annotates_when_enabled,generation,true,true,"{""hasPlan"":true,""targetTotalReps"":12}"
feature_gate_default_closed,readiness,true,true,"{""mode"":""legacy"",""featureEnabled"":false,""internalV21RuntimeReady"":false,""selectable"":false,""reasonCodes"":[""feature_flag_off"",""internal_v21_runtime_not_ready""]}"
feature_gate_selectable_when_explicit,readiness,true,true,"{""mode"":""step_up_alternation_internal"",""featureEnabled"":true,""internalV21RuntimeReady"":true,""selectable"":true,""reasonCodes"":[]}"
manual_explore_does_not_flip_seed,seed,true,true,"{""nextSide"":""left""}"
main_plan_completion_flips_seed_once,seed,true,true,"{""nextSideAfterMain"":""right"",""duplicateSame"":true}"
persistence_roundtrip_and_tamper_reject,persistence,true,true,"{""restoredAcceptedReps"":12,""tamperedRejected"":true}"
voice_contract_removes_step_alternation_blocker,voice,true,true,"{""requirements"":[""IR-VOICE-SAFETY-SUBSUMPTION""],""blockers"":[""behavior_dependency:IR-VOICE-SAFETY-SUBSUMPTION"",""global_behavior_ready_false"",""global_audio_ready_false"",""missing_audio:ex-step-up-first-v21"",""missing_audio:ex-step-up-next-v21"",""missing_audio:step-up-start-left-v21"",""missing_audio:step-up-start-right-v21"",""missing_audio:target-step-up-v21""]}"
voice_start_lead_cues_by_set,voice,true,true,"{""firstCueKeys"":[""ex-step-up-first-v21"",""step-up-start-left-v21"",""final-position-set-v21"",""target-step-up-v21""],""laterCueKeys"":[""ex-step-up-next-v21"",""step-up-start-right-v21"",""final-position-set-v21"",""target-step-up-v21""]}"
voice_wrong_lead_correction_cue,voice,true,true,"{""cueKeys"":[""step-up-wrong-right-v21"",""final-position-set-v21""]}"
