scenarioId,variantId,eventIndex,timestampMs,runtimeId,setId,setIndex,repAttemptId,logicalRepId,authority,eventType,phaseBefore,phaseAfter,expectedLeadBefore,observedLead,bothFeetAtStart,ascentValid,topPhaseValid,bothFeetReturnedToFloor,trackingValid,evidenceOutcome,credited,repSfxEmitted,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,setResultId,setResultEmitted,progressionEventId,progressionConsumed,progressionEligible,sessionCompletionEventId,validTimeMs,serialized,restored,seedBefore,seedAfter,voiceExpectedLead,voiceTarget,notes
step_up_left_first_set_12_reps,base,1,1000,step-up-alternation-runtime,step-up-set-1,0,step_up_left_first_set_12_reps-attempt-1,step_up_left_first_set_12_reps-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,12,6,6,true,step-up-set-result-1,true,,false,true,,0,false,false,,,,,row retained for reducer evidence
step_up_right_first_set_12_reps,base,2,1033,step-up-alternation-runtime,step-up-set-1,0,step_up_right_first_set_12_reps-attempt-1,step_up_right_first_set_12_reps-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,right,right,true,true,true,true,true,accepted,true,true,left,12,6,6,true,step-up-set-result-1,true,,false,true,,0,false,false,,,,,row retained for reducer evidence
step_up_three_sets_left_initial,base,3,1066,step-up-alternation-runtime,step-up-set-1,0,step_up_three_sets_left_initial-attempt-1,step_up_three_sets_left_initial-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,left,left,true,true,false,false,true,not_applicable,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
step_up_three_sets_right_initial,base,4,1099,step-up-alternation-runtime,step-up-set-1,0,step_up_three_sets_right_initial-attempt-1,step_up_three_sets_right_initial-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,right,right,true,true,false,false,true,not_applicable,false,false,right,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
step_up_six_left_six_right,base,5,1132,step-up-alternation-runtime,step-up-set-1,0,step_up_six_left_six_right-attempt-1,step_up_six_left_six_right-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,ready_both_feet_floor,right,right,true,true,false,false,true,not_applicable,false,false,right,12,6,6,true,step-up-set-result-1,true,,false,true,,0,false,false,,,,,row retained for reducer evidence
step_up_both_feet_floor_each_rep,base,6,1165,step-up-alternation-runtime,step-up-set-1,0,step_up_both_feet_floor_each_rep-attempt-1,step_up_both_feet_floor_each_rep-logical-1,alternation_runtime,rep_terminal,awaiting_expected_lead,ready_both_feet_floor,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
wrong_lead_on_first_rep,base,7,1198,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_on_first_rep-attempt-1,wrong_lead_on_first_rep-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
wrong_lead_after_five_reps,base,8,1231,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_after_five_reps-attempt-1,wrong_lead_after_five_reps-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
wrong_lead_returns_to_floor_then_corrects,base,9,1264,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_returns_to_floor_then_corrects-attempt-1,wrong_lead_returns_to_floor_then_corrects-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
wrong_lead_does_not_flip_expected,base,10,1297,step-up-alternation-runtime,step-up-set-1,0,wrong_lead_does_not_flip_expected-attempt-1,wrong_lead_does_not_flip_expected-logical-1,alternation_runtime,rep_terminal,ready_both_feet_floor,wrong_lead_recovery,left,right,true,true,false,true,true,wrong_lead,false,false,left,0,0,0,false,,false,,false,false,,0,false,false,,,,,row retained for reducer evidence
