scenarioId,variantId,voiceId,latencyProfile,eventIndex,eventId,controllerStateBefore,controllerStateAfter,eventScheduledAtMs,speakCalledAtMs,cueKeys,incomingPriority,voiceBusyBefore,currentPriority,audibleStartEstimatedAtMs,assetDurationMs,sequenceDurationMs,playbackEndEstimatedAtMs,completionCallbackAtMs,measurementStartsAtMs,measurementEndsAtMs,stateExitAtMs,outcome,timingMarginMs,staleAfterStateExit,userImpact,confidence,notes
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","1","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","0","14211","14211","14211","14211","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","2","chair_setup_confirmed_to_practice","chair_setup","chair_practice","14711","14711","mpv2_chair_practice_start","60","false","","14711","2972","2972","17683","17683","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","3","chair_practice_completed_to_countdown","chair_practice","chair_countdown","19683","19683","mpv2_chair_official_ready","90","false","","19683","3483","3483","23166","23166","22683","","","played_fully","-483","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","4","chair_countdown_elapsed_to_active","chair_countdown","chair_active","22683","","","","true","90","","","","","","22683","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","5","chair_deadline_to_balance_setup","chair_active","balance_setup","52683","52683","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","52683","9195","9195","61878","61878","","52683","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","6","balance_setup_confirmed_to_ready","balance_setup","balance_ready","62378","62378","mpv2_balance_attempt_start","60","false","","62378","4737","4737","67115","67115","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","7","balance_lift_detected_to_trial","balance_ready","balance_trial","68115","68115","mpv2_balance_attempt_start","60","false","","68115","4737","4737","72852","72852","68115","","","played_fully","-4737","false","","confirmed_deterministic_model","Foot lift starts balance measurement."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","8","balance_valid_trial_to_rest","balance_trial","balance_rest","78115","78115","mpv2_balance_attempt_saved;mpv2_balance_rest","70","false","","78115","5573","5573","83688","83688","","78115","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","9","balance_rest_ready_after_30","balance_rest","balance_ready","108115","108115","mpv2_balance_ready_after_30","70","false","","108115","2322","2322","110437","110437","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","10","balance_user_accepted_best","balance_ready","shoulder_setup","111437","111437","mpv2_balance_use_best;mpv2_balance_complete","70","false","","111437","2926","2926","114363","114363","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","11","shoulder_setup_confirmed_right","shoulder_setup","shoulder_ready","114863","114863","checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21;final-position-set-v21","60","false","","114863","8127","8127","122990","122990","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","12","shoulder_capture_started","shoulder_ready","shoulder_active","123490","","","","false","","","","","","","123490","","","not_emitted","","false","","confirmed_source","Shoulder capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","13","shoulder_section_complete_to_hinge","shoulder_active","hinge_setup","132490","132490","item-complete-v21;checkup-hinge-setup-v21;final-position-set-v21","70","false","","132490","7106","7106","139596","139596","","132490","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","14","hinge_capture_started","hinge_setup","hinge_active","140096","","","","false","","","","","","","140096","","","not_emitted","","false","","confirmed_source","Hinge capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","15","hinge_recorded_valid","hinge_active","raw_complete","149096","149096","mpv2_hinge_complete;checkup-complete-v21","70","false","","149096","3623","3623","152719","152719","","149096","153219","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L0:default","clara","L0","16","navigation_state_exit","raw_complete","unmounted","153219","","","","false","","","","","","","","","153219","not_applicable","","false","voice channel stopped and pending cues cleared","confirmed_source",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","17","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","100","14211","14811","14711","14811","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","18","chair_setup_confirmed_to_practice","chair_setup","chair_practice","15311","15311","mpv2_chair_practice_start","60","false","","15411","2972","3172","18383","18483","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","19","chair_practice_completed_to_countdown","chair_practice","chair_countdown","20483","20483","mpv2_chair_official_ready","90","false","","20583","3483","3683","24066","24166","23483","","","played_fully","-583","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","20","chair_countdown_elapsed_to_active","chair_countdown","chair_active","23483","","","","true","90","","","","","","23483","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","21","chair_deadline_to_balance_setup","chair_active","balance_setup","53483","53483","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","53583","9195","9795","63178","63278","","53483","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","22","balance_setup_confirmed_to_ready","balance_setup","balance_ready","63778","63778","mpv2_balance_attempt_start","60","false","","63878","4737","4937","68615","68715","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","23","balance_lift_detected_to_trial","balance_ready","balance_trial","69715","69715","mpv2_balance_attempt_start","60","false","","69815","4737","4937","74552","74652","69715","","","played_fully","-4837","false","","confirmed_deterministic_model","Foot lift starts balance measurement."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","24","balance_valid_trial_to_rest","balance_trial","balance_rest","79715","79715","mpv2_balance_attempt_saved;mpv2_balance_rest","70","false","","79815","5573","5973","85588","85688","","79715","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","25","balance_rest_ready_after_30","balance_rest","balance_ready","109715","109715","mpv2_balance_ready_after_30","70","false","","109815","2322","2522","112137","112237","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","26","balance_user_accepted_best","balance_ready","shoulder_setup","113237","113237","mpv2_balance_use_best;mpv2_balance_complete","70","false","","113337","2926","3326","116463","116563","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","27","shoulder_setup_confirmed_right","shoulder_setup","shoulder_ready","117063","117063","checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21;final-position-set-v21","60","false","","117163","8127","8727","125690","125790","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","28","shoulder_capture_started","shoulder_ready","shoulder_active","126290","","","","false","","","","","","","126290","","","not_emitted","","false","","confirmed_source","Shoulder capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","29","shoulder_section_complete_to_hinge","shoulder_active","hinge_setup","135290","135290","item-complete-v21;checkup-hinge-setup-v21;final-position-set-v21","70","false","","135390","7106","7706","142896","142996","","135290","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","30","hinge_capture_started","hinge_setup","hinge_active","143496","","","","false","","","","","","","143496","","","not_emitted","","false","","confirmed_source","Hinge capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","31","hinge_recorded_valid","hinge_active","raw_complete","152496","152496","mpv2_hinge_complete;checkup-complete-v21","70","false","","152596","3623","4023","156419","156519","","152496","157019","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L100:default","clara","L100","32","navigation_state_exit","raw_complete","unmounted","157019","","","","false","","","","","","","","","157019","not_applicable","","false","voice channel stopped and pending cues cleared","confirmed_source",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","33","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","250","14211","15711","15461","15711","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","34","chair_setup_confirmed_to_practice","chair_setup","chair_practice","16211","16211","mpv2_chair_practice_start","60","false","","16461","2972","3472","19433","19683","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","35","chair_practice_completed_to_countdown","chair_practice","chair_countdown","21683","21683","mpv2_chair_official_ready","90","false","","21933","3483","3983","25416","25666","24683","","","played_fully","-733","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","36","chair_countdown_elapsed_to_active","chair_countdown","chair_active","24683","","","","true","90","","","","","","24683","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","37","chair_deadline_to_balance_setup","chair_active","balance_setup","54683","54683","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","54933","9195","10695","65128","65378","","54683","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","38","balance_setup_confirmed_to_ready","balance_setup","balance_ready","65878","65878","mpv2_balance_attempt_start","60","false","","66128","4737","5237","70865","71115","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","39","balance_lift_detected_to_trial","balance_ready","balance_trial","72115","72115","mpv2_balance_attempt_start","60","false","","72365","4737","5237","77102","77352","72115","","","played_fully","-4987","false","","confirmed_deterministic_model","Foot lift starts balance measurement."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","40","balance_valid_trial_to_rest","balance_trial","balance_rest","82115","82115","mpv2_balance_attempt_saved;mpv2_balance_rest","70","false","","82365","5573","6573","88438","88688","","82115","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","41","balance_rest_ready_after_30","balance_rest","balance_ready","112115","112115","mpv2_balance_ready_after_30","70","false","","112365","2322","2822","114687","114937","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","42","balance_user_accepted_best","balance_ready","shoulder_setup","115937","115937","mpv2_balance_use_best;mpv2_balance_complete","70","false","","116187","2926","3926","119613","119863","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","43","shoulder_setup_confirmed_right","shoulder_setup","shoulder_ready","120363","120363","checkup-shoulder-turn-right-v21;checkup-shoulder-raise-right-v21;final-position-set-v21","60","false","","120613","8127","9627","129740","129990","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","44","shoulder_capture_started","shoulder_ready","shoulder_active","130490","","","","false","","","","","","","130490","","","not_emitted","","false","","confirmed_source","Shoulder capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","45","shoulder_section_complete_to_hinge","shoulder_active","hinge_setup","139490","139490","item-complete-v21;checkup-hinge-setup-v21;final-position-set-v21","70","false","","139740","7106","8606","147846","148096","","139490","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","46","hinge_capture_started","hinge_setup","hinge_active","148596","","","","false","","","","","","","148596","","","not_emitted","","false","","confirmed_source","Hinge capture starts on button action; no active-start voice cue."
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","47","hinge_recorded_valid","hinge_active","raw_complete","157596","157596","mpv2_hinge_complete;checkup-complete-v21","70","false","","157846","3623","4623","161969","162219","","157596","162719","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_clara","full_normal_mpv2_checkup_clara:clara:L250:default","clara","L250","48","navigation_state_exit","raw_complete","unmounted","162719","","","","false","","","","","","","","","162719","not_applicable","","false","voice channel stopped and pending cues cleared","confirmed_source",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","49","mpv2_entry_initial_intro","screen_mount","chair_setup","0","0","mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21","60","false","","0","14350","14350","14350","14350","","","","played_fully","","false","","confirmed_deterministic_model","Initial intro sequence; in normal path user waits for speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","50","chair_setup_confirmed_to_practice","chair_setup","chair_practice","14850","14850","mpv2_chair_practice_start","60","false","","14850","2694","2694","17544","17544","","","","played_fully","","false","","confirmed_deterministic_model",""
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","51","chair_practice_completed_to_countdown","chair_practice","chair_countdown","19544","19544","mpv2_chair_official_ready","90","false","","19544","3622","3622","23166","23166","22544","","","played_fully","-622","false","chair active window starts without spoken go and before this cue ends","confirmed_deterministic_model","Internal countdown starts with this cue."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","52","chair_countdown_elapsed_to_active","chair_countdown","chair_active","22544","","","","true","90","","","","","","22544","","","not_emitted","","false","no countdown-three/two/one/go cue emitted","confirmed_source","Measurement starts from coordinator timer only."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","53","chair_deadline_to_balance_setup","chair_active","balance_setup","52544","52544","times-up-v21;checkup-balance-intro-v21;checkup-balance-single-leg-v21","100","false","","52544","9799","9799","62343","62343","","52544","","played_fully","","false","","confirmed_deterministic_model","Chair measurement stops independent of speech."
"full_normal_mpv2_checkup_marcus","full_normal_mpv2_checkup_marcus:marcus:L0:default","marcus","L0","54","balance_setup_confirmed_to_ready","balance_setup","balance_ready","62843","62843","mpv2_balance_attempt_start","60","false","","62843","4412","4412","67255","67255","","","","played_fully","","false","","confirmed_deterministic_model",""
