scenarioId,flow,itemId,voiceId,exposureType,implementationState,gapAssumptionMs,sequenceOrder,cueKeys,scripts,assetCount,estimatedSpeechMs,estimatedTotalMs,countdownStartsAtMs,audibleGoAtMs,budgetClass,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training-intro-universal-safety-clara-gap0,training,session,clara,session_start,intended_v21,0,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12360,12360,12360,15360,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-intro-universal-safety-clara-gap100,training,session,clara,session_start,intended_v21,100,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12360,12460,12460,15460,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-intro-universal-safety-clara-gap250,training,session,clara,session_start,intended_v21,250,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12360,12610,12610,15610,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-intro-universal-safety-marcus-gap0,training,session,marcus,session_start,intended_v21,0,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12040,12040,12040,15040,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-intro-universal-safety-marcus-gap100,training,session,marcus,session_start,intended_v21,100,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12040,12140,12140,15140,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-intro-universal-safety-marcus-gap250,training,session,marcus,session_start,intended_v21,250,1;2,training-intro-v21;safe-session-start-v21,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.;Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",2,12040,12290,12290,15290,training_intro_universal_safety,12000,16000,false,true,No equipment detail or set count.
training-balance-feet-together-hold-first-use-cold-clara-gap0,training,balance-feet-together-hold,clara,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,7740,7740,10740,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-cold-clara-gap100,training,balance-feet-together-hold,clara,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,7940,7940,10940,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-cold-clara-gap250,training,balance-feet-together-hold,clara,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,8240,8240,11240,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-cold-marcus-gap0,training,balance-feet-together-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,7560,7560,10560,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-cold-marcus-gap100,training,balance-feet-together-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,7760,7760,10760,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-cold-marcus-gap250,training,balance-feet-together-hold,marcus,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,8060,8060,11060,ordinary_first_use_pre_countdown,12000,16000,true,true,Actual pre-countdown sequence.
training-balance-feet-together-hold-first-use-warm-clara-gap0,training,balance-feet-together-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,7740,7740,10740,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-first-use-warm-clara-gap100,training,balance-feet-together-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,7940,7940,10940,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-first-use-warm-clara-gap250,training,balance-feet-together-hold,clara,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7740,8240,8240,11240,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-first-use-warm-marcus-gap0,training,balance-feet-together-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,7560,7560,10560,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-first-use-warm-marcus-gap100,training,balance-feet-together-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,7760,7760,10760,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-first-use-warm-marcus-gap250,training,balance-feet-together-hold,marcus,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.;You're set.;Hold for twenty seconds.",3,7560,8060,8060,11060,ordinary_first_use_pre_countdown,12000,16000,true,true,Family line omitted only when already introduced or absorbed.
training-balance-feet-together-hold-later-set-clara-gap0,training,balance-feet-together-hold,clara,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3360,3360,3360,6360,later_set_reminder,4000,6000,true,true,No total set count.
training-balance-feet-together-hold-later-set-clara-gap100,training,balance-feet-together-hold,clara,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-balance-feet-together-hold-next-v21;target-balance-feet-together-hold-v21,Feet-together hold.;Hold for twenty seconds.,2,3360,3460,3460,6460,later_set_reminder,4000,6000,true,true,No total set count.
