newCueKey,action,oldCueKeys,flow,category,policyId,proposedNumericPriority,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,blocksProgression,mayInterrupt,mayBeInterruptedBy,dropIfBusy,cancelOnStateExit,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,hardMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,freezeStatus,blockingDecisionIds,reviewStatus,notes
training-intro-v2,rewrite_existing_key,training-intro,training,session_intro,instruction,60,Training session entry.,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,12000,16000,18,true,,phase_4,ready_for_founder_review,,needs_human_review,
safe-session-start-v2,new_asset,,training,safety.universal,instruction,60,Once per training session after entry.,"Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7260,7070,12000,16000,19,true,,phase_4,ready_for_founder_review,,needs_human_review,
framing-ready-v2,rewrite_existing_key,framing-ready,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,You're in position. Stay there.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,3000,4000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
step-into-frame-v2,rewrite_existing_key,step-into-frame,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Step into view so your whole body is visible.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,3660,3570,3000,4000,9,true,,phase_4,ready_for_founder_review,,needs_human_review,
center-yourself-v2,rewrite_existing_key,center-yourself,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Move to the center of the view.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2940,2870,3000,4000,7,true,,phase_4,ready_for_founder_review,,needs_human_review,
step-back-v2,rewrite_existing_key,step-back,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Move a little farther back.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,3000,4000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
step-closer-v2,rewrite_existing_key,step-closer,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Move a little closer.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,1860,1820,3000,4000,4,true,,phase_4,ready_for_founder_review,,needs_human_review,
hold-still-v2,rewrite_existing_key,hold-still,shared,setup.prompt,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Hold still for a moment.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,3000,4000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
turn-on-light-v2,rewrite_existing_key,turn-on-light,shared,orientation,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Turn on the main light.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,3000,4000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
turn-side-on-v2,rewrite_existing_key,turn-side-on,shared,orientation,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Turn so your side faces the phone.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2940,2870,3000,4000,7,true,,phase_4,ready_for_founder_review,,needs_human_review,
face-forward-v2,rewrite_existing_key,face-forward,shared,orientation,setup_recovery,50,Preflight or movement-camera-readiness prompt.,Turn to face the phone.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,3000,4000,5,true,,phase_4,ready_for_founder_review,,needs_human_review,
countdown-three,reuse_existing,countdown-three,shared,countdown,critical_window,90,countdown,Three.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction,critical_stop,false,true,697,650,1200,1600,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
countdown-two,reuse_existing,countdown-two,shared,countdown,critical_window,90,countdown,Two.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction,critical_stop,false,true,604,650,1200,1600,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
countdown-one,reuse_existing,countdown-one,shared,countdown,critical_window,90,countdown,One.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction,critical_stop,false,true,511,511,1200,1600,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
go,reuse_existing,go,shared,countdown,critical_window,90,countdown,Go.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction,critical_stop,false,true,604,604,1200,1600,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
times-up-v2,rewrite_existing_key,times-up,shared,active_stop,critical_stop,100,active_stop,Time.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction;result_transition;critical_window,critical_stop,false,true,900,900,1800,2500,1,true,,phase_4,ready_for_founder_review,,needs_human_review,
tracking-lost-v2,rewrite_existing_key,tracking-lost,shared,tracking_loss,critical_stop,100,tracking_loss,I lost the view. Step back into position and wait.,false,whole_recording,shared,true,low_reassurance;setup_recovery;instruction;result_transition;critical_window,critical_stop,false,true,4020,3920,3500,5000,10,true,,phase_4,ready_for_founder_review,,needs_human_review,
