scenarioId,flow,variant,voiceId,gapMs,cueKeys,durationSource,totalMeasuredMs,totalEstimatedMs,targetMs,hardMaxMs,passesTarget,passesHardMax,longestCueKey,notes
training_first_use_complex_equipment,training,complex_equipment,clara,250,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,18933,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
training_first_use_complex_equipment,training,complex_equipment,marcus,250,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,18097,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
training_first_use_complex_equipment,training,complex_equipment,clara,100,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,17883,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
training_first_use_complex_equipment,training,complex_equipment,clara,0,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,17183,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
training_first_use_complex_equipment,training,complex_equipment,marcus,100,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,17047,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
training_first_use_complex_equipment,training,complex_equipment,marcus,0,equip-door-anchor-v21;ex-standing-band-row-first-v21;final-position-set-v21;target-standing-band-row-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,16347,0,22000,32000,true,true,ex-standing-band-row-first-v21,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,clara,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,16104,0,16000,26000,false,true,checkup-chair-stand-setup-v21,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,clara,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15804,0,16000,26000,true,true,checkup-chair-stand-setup-v21,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,marcus,250,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15686,0,16000,26000,true,true,mpv2_checkup_intro,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,clara,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15604,0,16000,26000,true,true,checkup-chair-stand-setup-v21,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,marcus,100,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15386,0,16000,26000,true,true,mpv2_checkup_intro,All cue durations measured from current disk files.
checkup_assessment_setup,movement_checkup,chair,marcus,0,mpv2_checkup_intro;checkup-chair-stand-intro-v21;checkup-chair-stand-setup-v21,measured_current_mp3,15186,0,16000,26000,true,true,mpv2_checkup_intro,All cue durations measured from current disk files.
micro_check_setup,micro_check,chair_power,marcus,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,12627,0,12000,20000,false,true,micro-chair-power-v21,All cue durations measured from current disk files.
training_first_use_ordinary,training,first_use,clara,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,12599,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
training_repeat_instructions,training,repeat,clara,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,12599,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,clara,250,training-intro-v21;safe-session-start-v21,measured_current_mp3,12510,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,marcus,250,training-intro-v21;safe-session-start-v21,measured_current_mp3,12417,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,clara,100,training-intro-v21;safe-session-start-v21,measured_current_mp3,12360,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,marcus,100,training-intro-v21;safe-session-start-v21,measured_current_mp3,12267,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,clara,0,training-intro-v21;safe-session-start-v21,measured_current_mp3,12260,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
training_intro_universal,training,session_start,marcus,0,training-intro-v21;safe-session-start-v21,measured_current_mp3,12167,0,12000,20000,false,true,training-intro-v21,All cue durations measured from current disk files.
micro_check_setup,micro_check,chair_power,marcus,100,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11877,0,12000,20000,true,true,micro-chair-power-v21,All cue durations measured from current disk files.
micro_check_setup,micro_check,chair_power,clara,250,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11792,0,12000,20000,true,true,micro-chair-power-v21,All cue durations measured from current disk files.
training_first_use_ordinary,training,first_use,marcus,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11716,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
training_repeat_instructions,training,repeat,marcus,250,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11716,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
training_first_use_ordinary,training,first_use,clara,100,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11699,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
training_repeat_instructions,training,repeat,clara,100,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11699,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
micro_check_setup,micro_check,chair_power,marcus,0,micro-chair-power-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11377,0,12000,20000,true,true,micro-chair-power-v21,All cue durations measured from current disk files.
training_first_use_ordinary,training,first_use,clara,0,ex-balance-feet-together-hold-first-v21;final-position-set-v21;target-balance-feet-together-hold-v21;countdown-three;countdown-two;countdown-one;go,measured_current_mp3,11099,0,14000,24000,true,true,ex-balance-feet-together-hold-first-v21,All cue durations measured from current disk files.
