logicalEvent,proposedCueKey,sideVariant,intendedScript,currentCandidateKey,currentSourceScript,claraExists,marcusExists,semanticMatch,runtimeRequiredness,reuseDecision,generationRequiredLater,featureFlagBlocker,notes
intro,checkup-balance-intro-v21,none,Balance check. Keep support within easy reach. I will guide each stance.,checkup-balance-intro-v21,Balance check. Keep support within easy reach. I will guide each stance.,true,true,true,required,reuse_exact_existing_pair,false,false,Approved V2.1 intro already exists.
feet_together_setup,checkup-balance-feet-together-v21,none,Feet together. Keep your eyes open and support within reach.,balance-feet-together,Place your feet together side by side.,true,true,false,required,new_pair_required,true,true,Existing generic cue omits eyes-open/support language.
semi_tandem_setup,checkup-balance-semi-tandem-left-v21,left,Place your left foot half a step forward. Keep your eyes open.,balance-semi-tandem,Slide one foot half a step forward so its instep touches your other big toe.,true,true,false,required,new_pair_required,true,true,Existing cue has no selected lead-foot side.
semi_tandem_setup,checkup-balance-semi-tandem-right-v21,right,Place your right foot half a step forward. Keep your eyes open.,balance-semi-tandem,Slide one foot half a step forward so its instep touches your other big toe.,true,true,false,required,new_pair_required,true,true,Existing cue has no selected lead-foot side.
tandem_setup,checkup-balance-tandem-left-v21,left,Place your left foot directly in front heel to toe. Keep your eyes open.,balance-tandem,Place one foot directly in front of the other heel to toe.,true,true,false,required,new_pair_required,true,true,Existing cue has no selected lead-foot side.
tandem_setup,checkup-balance-tandem-right-v21,right,Place your right foot directly in front heel to toe. Keep your eyes open.,balance-tandem,Place one foot directly in front of the other heel to toe.,true,true,false,required,new_pair_required,true,true,Existing cue has no selected lead-foot side.
single_leg_setup,checkup-balance-single-leg-left-v21,left,Stand on your left leg and lift your right foot slightly.,checkup-balance-single-leg-v21,Single-leg. Stand on your selected leg and lift the other foot slightly.,true,true,false,required,new_pair_required,true,true,Existing cue uses placeholder selected leg.
single_leg_setup,checkup-balance-single-leg-right-v21,right,Stand on your right leg and lift your left foot slightly.,checkup-balance-single-leg-v21,Single-leg. Stand on your selected leg and lift the other foot slightly.,true,true,false,required,new_pair_required,true,true,Existing cue uses placeholder selected leg.
final_position,final-position-set-v21,none,You're set.,final-position-set-v21,You're set.,true,true,true,required,reuse_exact_existing_pair,false,false,Reusable after stance setup.
countdown_three,countdown-three,none,Three.,countdown-three,Three.,true,true,true,required,reuse_exact_existing_pair,false,false,Shared countdown cue.
countdown_two,countdown-two,none,Two.,countdown-two,Two.,true,true,true,required,reuse_exact_existing_pair,false,false,Shared countdown cue.
countdown_one,countdown-one,none,One.,countdown-one,One.,true,true,true,required,reuse_exact_existing_pair,false,false,Shared countdown cue.
go,go,none,Go!,go,Go!,true,true,true,required,reuse_exact_existing_pair,false,false,Active timing starts on playback-start.
stage_time,times-up-v21,none,Time.,times-up-v21,Time.,true,true,true,required,reuse_exact_existing_pair,false,false,Reusable cap cue.
tracking_loss,tracking-loss-v21,none,Pause. Return to the setup position.,tracking-loss-v21,Pause. Return to the setup position.,true,true,true,required,reuse_exact_existing_pair,false,false,Recovery foundation cue.
tracking_recovered,tracking-recovered-v21,none,You're back in position. We'll restart.,tracking-recovered-v21,You're back in position. We'll restart.,true,true,true,required,reuse_exact_existing_pair,false,false,Recovery foundation cue.
retry,retry-v21,none,Let's try that again.,retry-v21,Let's try that again.,true,true,true,required,reuse_exact_existing_pair,false,false,Recovery foundation cue.
stage_transition,checkup-balance-next-stance-v21,none,Nicely done. I will guide the next stance.,item-complete-v21,Complete.,true,true,false,required,new_pair_required,true,true,Generic completion lacks next-stance meaning.
support_touch_ack,checkup-balance-support-touch-v21,none,Support touch noted. Balance check complete.,,none,false,false,false,required,new_pair_required,true,true,Needed if explicit support-touch action should be acknowledged by voice.
ladder_complete,checkup-balance-complete-v21,none,Balance check complete.,mpv2_balance_complete,Balance check complete.,true,true,true,required,reuse_exact_existing_pair,false,false,Existing MPV2 completion is exact.
eyes_closed_close,close-your-eyes,none,Keep holding and gently close your eyes.,close-your-eyes,Keep holding and gently close your eyes.,true,true,true,legacy_only,legacy_only,false,false,Not reachable in V2 default.
eyes_closed_open,open-your-eyes,none,You can open your eyes now.,open-your-eyes,You can open your eyes now.,true,true,true,legacy_only,legacy_only,false,false,Not reachable in V2 default.
