assetId,voiceId,cueKey,path,extension,sha256,gitBlobId,fileSizeBytes,durationMs,codec,container,sampleRateHz,channels,bitRate,decodeStatus,gitTrackingStatus,worktreeStatus,lfsStatus,inCurrentManifest,hasCurrentCueDefinition,hasCurrentGenerationSource,hasCurrentRuntimeReference,hasCurrentTestReference,pairedVoicePath,pairedVoiceExists,pairedDurationDeltaMs,pairedSourceScriptEqual,duplicateHashPaths,baselineStatus,v21Status,notes
rep-credit,,rep-credit,assets/audio/sfx/rep-credit.wav,wav,1d35f4f51fa625be1dd9362e237f61cca1b2e7f1e702bd7a36efc04135bfff94,ed49d6a10a16b231380ea1ddad3bef7f24427fdb,7724,160,pcm_s16le,wav,24000,1,384000,ok,tracked,committed,hydrated_binary,true,false,false,true,false,,,,,,unchanged_from_baseline,not_in_v21,no_prior_duration_row; no_current_source_text
clara:balance-feet-together,clara,balance-feet-together,assets/audio/voice/clara/balance-feet-together.mp3,mp3,6412abbfb7a919ca3431b2e7b7e4bc6ebbb7b1a3600802a19188a4b9ecd8afd8,754334d97b85858a072f409ec0b12c97b36e9e97,41839,2554,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/balance-feet-together.mp3,true,325,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance-intro,clara,balance-intro,assets/audio/voice/clara/balance-intro.mp3,mp3,852437a4e0a2146d2d6549f26bc293dcd9924b98717b00e35616ff410c622df0,bc66768cf3f2cfb9d575fe689f12e1514c74c693,140896,8731,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance-intro.mp3,true,418,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance-semi-tandem,clara,balance-semi-tandem,assets/audio/voice/clara/balance-semi-tandem.mp3,mp3,b10b6996408d0c49663c80211895bc7e9378351608a57596bbdefda68a781ad7,b411a332793d75425e52e212ce6df1c3680f1e7f,71097,4365,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance-semi-tandem.mp3,true,-511,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance-setup,clara,balance-setup,assets/audio/voice/clara/balance-setup.mp3,mp3,da8e3609ef211094aede7843aca7370a277949785352a1544ccb192e63200c55,e03694bfc5dfeaf5856e261a1f0526603c798cfc,116236,7198,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance-setup.mp3,true,743,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance-single-leg,clara,balance-single-leg,assets/audio/voice/clara/balance-single-leg.mp3,mp3,8dace2264bb9a1df647560e7d509f8eb9516c04b8259abfe37e08605795af03b,d3c7d48ffe78a10d2d08f3dc27d7042561b3b15a,52288,3204,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/balance-single-leg.mp3,true,-47,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance-tandem,clara,balance-tandem,assets/audio/voice/clara/balance-tandem.mp3,mp3,a94bf6458ff5fbf66472b18804a6a5746d841f2f7cdd938356763283255d41a1,4c642c1275362ed0900e60a3feb24bf604a44a27,51453,3158,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,true,assets/audio/voice/marcus/balance-tandem.mp3,true,186,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance_no_eyes_closed_or_unstable_surface,clara,balance_no_eyes_closed_or_unstable_surface,assets/audio/voice/clara/balance_no_eyes_closed_or_unstable_surface.mp3,mp3,dfde9a1da66dc67f0ab5f62f4fb65608628063e20f4cba7a601ce3c9b48c7866,539bfb5f3426097a56cd195fcec1fe0ba4bf1bdb,64409,3947,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance_no_eyes_closed_or_unstable_surface.mp3,true,46,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance_stop_if_unsteady,clara,balance_stop_if_unsteady,assets/audio/voice/clara/balance_stop_if_unsteady.mp3,mp3,681c13031a45ea129ef907d3d3a4c55b72c20b40dbfec13885a5b1e5e78d98c4,2cd643657fd52051e3fdd837fa5c43ff6dcc10a7,41839,2554,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance_stop_if_unsteady.mp3,true,-325,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
clara:balance_support_within_reach,clara,balance_support_within_reach,assets/audio/voice/clara/balance_support_within_reach.mp3,mp3,5156d6a148d4517010bcb62be898e05eb900889b20a9899be4621258bc5cf377,2d75eaa242fd585c7a926c144ed9034632eaf3e0,60648,3715,mp3,mp3,44100,1,128000,ok,tracked,committed,hydrated_binary,true,true,true,true,false,assets/audio/voice/marcus/balance_support_within_reach.mp3,true,-140,true,,unchanged_from_baseline,not_in_v21,prior_duration_row_exists
