scenarioId,category,runtimeKind,itemId,setIndex,sideOrLead,phaseBefore,event,eventAcceptedAtMs,plannedCueKeys,trackedOutcome,phaseAfter,activeStarted,activeStopped,progressFired,progressDropped,sfxCount,recoveryId,countdownRestarted,transitionId,controllerCreditChanged,legacyVoiceEmitted,v21VoiceEmitted,passed,testCoverage,notes
training_countdown_rep_set,countdown/start,legacy_generic,squat-free,0,,countdown,accepted_controller_event,1000,countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
training_countdown_timed_set,countdown/start,legacy_generic,neck-rotation,0,,countdown,accepted_controller_event,1010,countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
training_go_playback_start_boundary,countdown/start,legacy_generic,squat-free,0,,item_setup,go_playback_started,1020,go,completed_or_optional_drop,active,true,false,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
training_go_missing_blocks,countdown/start,legacy_generic,squat-free,0,,item_setup,go_playback_started,1030,,visible_fallback,item_setup,false,false,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Required audio failure uses visible fallback and does not cross the gated boundary.
training_go_playback_start_failure,countdown/start,legacy_generic,squat-free,0,,item_setup,go_playback_started,1040,,completed_or_optional_drop,active,false,false,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
pause_during_countdown,countdown/start,legacy_generic,squat-free,0,,countdown,pause_accepted,1050,paused-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
skip_during_countdown,countdown/start,legacy_generic,squat-free,0,,countdown,item_skipped,1060,training-skip-v21,completed_or_optional_drop,item_transition,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
background_during_countdown,countdown/start,legacy_generic,squat-free,0,,countdown,accepted_controller_event,1070,,completed_or_optional_drop,item_setup,false,false,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
voice_switch_during_countdown,countdown/start,legacy_generic,squat-free,0,,countdown,voice_changed,1080,countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
pause_during_setup,controls,legacy_generic,squat-free,0,,item_setup,pause_accepted,1090,paused-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
pause_during_active_rep,controls,legacy_generic,squat-free,0,,active,pause_accepted,1100,paused-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
pause_during_active_timed,controls,legacy_generic,neck-rotation,0,,active,pause_accepted,1110,paused-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
pause_during_rest,controls,legacy_generic,squat-free,0,,item_setup,pause_accepted,1120,paused-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,transition:pause_during_rest,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
resume_generic_rep,controls,legacy_generic,squat-free,0,,active,resume_accepted,1130,resuming-v21;countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
resume_step_up,controls,step_up_alternation,step-up,0,expected_lead_preserved,item_setup,resume_accepted,1140,resuming-v21;countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,step-up runtime focused suites,Scenario is covered by production planner/runtime contract and focused tests.
resume_both_sides,controls,both_sides_round,balance-single-leg-hold,0,semantic_side_preserved,item_setup,resume_accepted,1150,resuming-v21;countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
resume_floor,controls,floor_v21,glute-bridge-hold,0,,item_setup,resume_accepted,1160,resuming-v21;final-position-set-v21;countdown-three;countdown-two;countdown-one;go,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,sessionPlayer floor/runtime suites,Scenario is covered by production planner/runtime contract and focused tests.
repeat_instructions_setup,controls,legacy_generic,squat-free,0,,active,accepted_controller_event,1170,ex-squat-free-first-v21;target-squat-free-v21,completed_or_optional_drop,item_setup,false,false,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
repeat_instructions_paused,controls,legacy_generic,squat-free,0,,paused,pause_accepted,1180,ex-squat-free-first-v21;target-squat-free-v21,completed_or_optional_drop,paused,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
repeat_instructions_active_blocked,controls,legacy_generic,squat-free,0,,active,accepted_controller_event,1190,,completed_or_optional_drop,active,false,false,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
retry_audio_failure,controls,legacy_generic,squat-free,0,,item_setup,retry_accepted,1200,retry-v21,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
retry_tracking_recovery,controls,legacy_generic,squat-free,0,,tracking_recovery,retry_accepted,1210,retry-v21,completed_or_optional_drop,item_setup,false,false,false,false,0,recovery:retry_tracking_recovery,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
rapid_double_retry,controls,legacy_generic,squat-free,0,,item_setup,retry_accepted,1220,retry-v21,completed_or_optional_drop,item_setup,false,false,false,false,0,,true,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
skip_nonfinal_item,controls,legacy_generic,squat-free,0,,item_setup,item_skipped,1230,training-skip-v21,completed_or_optional_drop,item_transition,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
skip_final_item,controls,legacy_generic,squat-free,0,,item_setup,item_skipped,1240,training-skip-v21;session-complete-v21,completed_or_optional_drop,item_transition,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
rapid_double_skip,controls,legacy_generic,squat-free,0,,item_setup,item_skipped,1250,training-skip-v21,completed_or_optional_drop,item_transition,false,true,false,false,0,,false,,false,false,true,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
cancel_during_required_speech,controls,legacy_generic,squat-free,0,,item_setup,cancel_accepted,1260,,completed_or_optional_drop,cancelled,false,true,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
cancel_during_active,controls,legacy_generic,squat-free,0,,active,cancel_accepted,1270,,completed_or_optional_drop,cancelled,false,true,false,false,0,,false,,false,false,false,true,voiceV21 controlsProgressRecovery focused suite,Scenario is covered by production planner/runtime contract and focused tests.
