cueId,classification,normalFamily,destination
balance_no_eyes_closed_or_unstable_surface,absorbed_into_exact_instruction_v21,balance_support,eyes-open Balance V2 protocol / exact instruction
balance_stop_if_unsteady,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
balance_support_within_reach,mapped_to_normal_family_v21,balance_support,equip-balance-support-v21 or exact instruction
balance_supported_if_hesitant,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
band_anchor_feet_secure,absorbed_into_exact_instruction_v21,long_band_handheld_or_foot_anchored,foot-anchored exact instruction
band_controlled_return,absorbed_into_exact_instruction_v21,long_band_handheld_or_foot_anchored,return slowly/control wording in exact instruction
band_do_not_overstretch,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
band_face_and_eyes_clear,mapped_to_normal_family_v21,long_band_handheld_or_foot_anchored,equip-long-band-v21
band_inspect_before_use,mapped_to_normal_family_v21,long_band_handheld_or_foot_anchored,equip-long-band-v21
band_never_release_under_tension,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
band_secure_grip,mapped_to_normal_family_v21,long_band_handheld_or_foot_anchored,equip-long-band-v21 or exact instruction
band_stable_stance,absorbed_into_exact_instruction_v21,long_band_handheld_or_foot_anchored,stable-stance exact instruction
band_stop_if_slips_or_shifts,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
chair_controlled_sit,absorbed_into_exact_instruction_v21,chair_seat,controlled chair-use wording in exact instruction
chair_use_sturdy_chair,mapped_to_normal_family_v21,chair_seat,equip-chair-stable-v21 or explicit exact instruction
comfortable_range_only,absorbed_into_exact_instruction_v21,,comfortable-range exact instruction
door_anchor_follow_manufacturer_setup,mapped_to_normal_family_v21,door_anchor_band,equip-door-anchor-v21
door_anchor_fully_closed,mapped_to_normal_family_v21,door_anchor_band,equip-door-anchor-v21
door_anchor_stay_out_of_door_path,absorbed_into_exact_instruction_v21,door_anchor_band,visible setup / later controls phase
door_anchor_stop_if_moves,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
door_anchor_test_light_tension,mapped_to_normal_family_v21,door_anchor_band,equip-door-anchor-v21
floor_clear_space,mapped_to_normal_family_v21,floor_eligible_user,floor capability/equipment gate plus equip-floor-transition-v21
floor_slow_transition,mapped_to_normal_family_v21,floor_eligible_user,equip-floor-transition-v21
floor_stop_if_transfer_unsteady,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
floor_use_support_for_transfer,mapped_to_normal_family_v21,floor_eligible_user,canonical floor gate plus equip-floor-transition-v21
global_breathe_normally,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
global_clear_space,mapped_to_universal_v21,,safe-session-start-v21
global_pause_if_tracking_lost,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
global_stop_dizzy_or_lightheaded,mapped_to_universal_v21,,safe-session-start-v21
global_stop_if_support_moves,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
global_stop_sharp_or_increasing_pain,mapped_to_universal_v21,,safe-session-start-v21
mobility_no_forcing,absorbed_into_exact_instruction_v21,,gentle/comfortable exact instruction
step_clear_dry_area,mapped_to_normal_family_v21,step_or_stair,equip-step-stable-v21
step_controlled_return,absorbed_into_exact_instruction_v21,step_or_stair,step-up exact instruction
step_fixed_support_nearby,mapped_to_normal_family_v21,step_or_stair,equip-step-stable-v21
step_phone_out_of_path,absorbed_into_exact_instruction_v21,step_or_stair,visible setup / later controls phase
step_stop_if_unstable,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-RECOVERY
step_use_low_stable_step,mapped_to_normal_family_v21,step_or_stair,equip-step-stable-v21
support_keep_support_within_reach,mapped_to_normal_family_v21,generic_support,equip-support-close-v21 or explicit exact instruction
support_use_sturdy_support,mapped_to_normal_family_v21,generic_support,equip-support-close-v21 or explicit exact instruction
tracking_keep_full_body_in_view,reactive_control_recovery_later_phase,,V2.1 setup/recovery cues
tracking_move_when_cued,absorbed_into_exact_instruction_v21,,countdown boundary
tracking_no_rush_or_exaggerate,reactive_control_recovery_later_phase,,IR-VOICE-TRAINING-CONTROLS
tracking_pause_and_reset,reactive_control_recovery_later_phase,,tracking-loss-v21 / tracking-recovered-v21 later integration
