linkId,fromComponent,toComponent,sourceFile,sourceSymbol,reachableWhenEnabled,evidenceType,evidenceDetail,testCoverage,status,blockerId,notes
1,Exercise registry,Generated session item,src/exercises/stepUp.ts;src/training/workoutGeneration.ts,stepUpDefinition;GeneratedExercise,yes,static+executable,Step-up registry definition is present and generated exercise metadata type can represent exerciseId/sets/reps.,workout generation and step-up addendum scenarios,connected_verified,,Step-up can exist as a generated training item.
2,Final prescription,Alternation plan,src/training/stepUpAlternation/generatedSession.ts,deriveStepUpAlternationPlanForGeneratedExercise,only if helper called,executable,Plan derivation from generated exercise preserves 12 total reps and 6/6 split.,SCENARIOS_V2 target rows,connected_verified,,Pure helper is verified.
3,Feature/readiness selection,Internal runtime path,src/training/stepUpAlternation/readiness.ts;src/training/sessionPlayer.ts,selectTrainingStepUpAlternationMode;TrainingSessionPlayer,no,static,"Selector exists, but TrainingSessionPlayer has no branch that selects a step-up alternation runtime owner.",source inspection,model_only_not_connected,F-STEPUP-RUNTIME-INTEGRATION,Feature/readiness does not route the active session into the internal path.
4,Training screen/session controller,Alternation runtime owner,src/screens/TrainingSessionScreen.tsx;src/training/sessionPlayer.ts,TrainingSessionScreen;TrainingSessionPlayer,no,static,"Screen creates TrainingSessionPlayer(exerciseIds, preflight) only; player owns ExerciseSetGrader only.",source inspection,model_only_not_connected,F-STEPUP-RUNTIME-INTEGRATION,No StepUpAlternationRuntimeState owner is present in live runtime.
5,Pose/grader output,Lead-leg evidence,src/exercises/setGraders.ts;src/training/stepUpAlternation/evidence.ts,RepsSetGrader.update;resolveStepUpRepEvidence,no,static,"RepsSetGrader reports generic repCredited/repCount and sticky near side, but does not emit observed lead, both-feet-floor boundary, or top/floor evidence for StepUpRepEvidence.",source inspection,model_only_not_connected,F-STEPUP-POSE-EVIDENCE-ADAPTER,Camera-verifiable evidence adapter is absent.
6,Lead-leg evidence,State-machine action,src/training/stepUpAlternation/stateMachine.ts,advanceStepUpAlternationState(APPLY_REP_EVIDENCE),model only,executable,"Pure action works in scenarios, but no live adapter dispatches it.",SCENARIOS_V2 rep rows,model_only_not_connected,F-STEPUP-RUNTIME-INTEGRATION,Reducer is correct in isolation.
7,Accepted rep,Rep-credit SFX,src/screens/TrainingSessionScreen.tsx;src/training/sessionPlayer.ts,u.playRepSound;SfxChannel.play,legacy only,static,"Screen plays SFX from generic grader update, not from step-up alternation accepted evidence.",source inspection,legacy_only,F-STEPUP-RUNTIME-INTEGRATION,Step-up model repSfxCount is not live SFX source.
8,State machine,SetResult,src/training/stepUpAlternation/aggregation.ts;src/training/sessionPlayer.ts,stepUpSetResultToLegacySetResult;grader.finish,model only,static+executable,"Adapter produces SetResult in scenarios, but TrainingSessionPlayer still pushes grader.finish(ts).",SCENARIOS_V2 progression rows,model_only_not_connected,F-STEPUP-RUNTIME-INTEGRATION,Live SetResult does not include alternation metadata.
9,SetResult,Progression,src/training/progression.ts,summarizeItem,if supplied,executable,"Progression accepts adapted SetResult if supplied, but live runtime does not supply it.",SCENARIOS_V2 progression rows,partially_connected,F-STEPUP-RUNTIME-INTEGRATION,"Compatible downstream, missing upstream connection."
10,SetResult,Valid-time summary,src/training/validTimeProgression.ts,summarizeValidTimeSets,not applicable for reps,executable,Step-up rep SetResults have no validTime payload; summarizeValidTimeSets returns null.,SCENARIOS_V2 valid_time_not_doubled,not_applicable,,No doubled valid time for rep-only step-up.
