cueKey,namespace,currentScript,currentSourceFile,currentSourceSymbol,flow,stage,category,trigger,triggerConditions,currentPriority,currentPolicyClass,currentRequiredness,currentMissingAssetPolicy,currentRepeatRule,currentCancelRule,currentBlocksProgression,currentManifestFile,currentManifestStatus,claraPath,marcusPath,claraDurationMs,marcusDurationMs,currentRuntimeReachability,currentRuntimeCallPath,v21MatchStatus,v21CueKey,v21Script,v21PolicyId,approvedDecisionIds,decisionAlignment,copyQuality,sourceBinaryProvenance,proposedAction,requiresHumanListening,requiresV21Patch,requiresRuntimeAudit,implementationDependencyIds,notes
"chair-result-prefix-v21","dynamic_result","You completed","src/audio/cues.ts; src/assessment/sessionController.ts","VoiceCueKey / legacy result composition using you-completed","legacy_checkup_result_composition","result_fragment","result","Legacy assessment result sentence prefix; not emitted by current MPV2 live coordinator.","Current MPV2 raw completion does not compose chair rep count audio.","9","result_transition","conditional","Legacy non-MPV2 cue can fall back to default voice if selected voice asset is absent.","Legacy result sentence is emitted per completed item result.","VoiceChannel stop/interrupt rules apply.","false","src/audio/manifest.ts","clara_marcus_pair_present; physical key is you-completed","assets/audio/voice/clara/you-completed.mp3","assets/audio/voice/marcus/you-completed.mp3","929","789","not_current_mpv2_reachable;legacy_reused_reference","Legacy assessment sessionController result composition; no MPV2 call site found.","different_key_same_script","chair-result-prefix-v21","You completed","result_transition","FD-006","aligned","ready_for_human_review","verified_historical_match;actual_content_requires_listening_for_v21_reuse","alias_current_key_to_v21_key_later","true","false","false","LEGACY-RESULT-COMPOSITION;V21-ALIAS-MIGRATION","V2.1 proposes a stable key for the same words. Current physical assets live under you-completed; aliasing is safe only after listening confirms binary wording."
"checkup-balance-intro-v21","mpv2_assessment","Balance check. Keep support within easy reach. I will guide each stance.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","balance_setup;audio_resolution;audio_playback","balance_setup","30-second chair timer ends.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","chair_deadline_to_balance_setup;missing_required_cue;playback_start_failure","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-balance-intro-v21.mp3","assets/audio/voice/marcus/checkup-balance-intro-v21.mp3","4087","4644","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-balance-intro-v21","Balance check. Keep support within easy reach. I will guide each stance.","instruction","FD-002;FD-003;FD-006","partially_aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST;FD-003-EYES-OPEN-BALANCE","Balance is eyes-open single-leg MPV2 protocol; not the full V2.1 ladder."
"checkup-balance-single-leg-v21","mpv2_assessment","Single-leg. Stand on your selected leg and lift the other foot slightly.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","balance_setup;audio_resolution;audio_playback","balance_setup","30-second chair timer ends.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","chair_deadline_to_balance_setup;missing_required_cue;playback_start_failure","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3","assets/audio/voice/marcus/checkup-balance-single-leg-v21.mp3","4365","4412","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-balance-single-leg-v21","Single-leg. Stand on your selected leg and lift the other foot slightly.","instruction","FD-002;FD-003;FD-006","partially_aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST;FD-003-EYES-OPEN-BALANCE","Balance is eyes-open single-leg MPV2 protocol; not the full V2.1 ladder."
"checkup-chair-stand-intro-v21","mpv2_assessment","Chair stand. Sit in the middle of a sturdy chair, side-on to the phone.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","chair_setup;audio_resolution;audio_playback","chair_setup","React mount effect creates initialMovementProfileV2VoiceEvent.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","mpv2_entry_initial_intro;missing_required_cue;playback_start_failure","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3","assets/audio/voice/marcus/checkup-chair-stand-intro-v21.mp3","4365","4551","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-chair-stand-intro-v21","Chair stand. Sit in the middle of a sturdy chair, side-on to the phone.","instruction","FD-006","aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST",""
"checkup-chair-stand-setup-v21","mpv2_assessment","Cross your arms. When I say go, stand fully and sit with control until I say time.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","chair_setup;audio_resolution;audio_playback","chair_setup","React mount effect creates initialMovementProfileV2VoiceEvent.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","mpv2_entry_initial_intro;missing_required_cue;playback_start_failure","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3","assets/audio/voice/marcus/checkup-chair-stand-setup-v21.mp3","4830","4923","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-chair-stand-setup-v21","Cross your arms. When I say go, stand fully and sit with control until I say time.","instruction","FD-006","aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST",""
"checkup-complete-v21","mpv2_assessment","Check-up complete. Your results are ready.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","raw_complete;audio_resolution;audio_playback","completion","Hinge capture completes with valid measurement.;Hinge capture completes without valid measurement.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","hinge_recorded_valid;hinge_recorded_invalid;missing_required_cue;playback_start_failure","70","completion","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-complete-v21.mp3","assets/audio/voice/marcus/checkup-complete-v21.mp3","2276","2461","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-complete-v21","Check-up complete. Your results are ready.","result_transition","FD-006","aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST",""
"checkup-hinge-setup-v21","mpv2_assessment","Slowly fold from your hips and reach toward the floor. Hold there until I say stand tall.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","hinge_setup;audio_resolution;audio_playback","hinge_setup","Shoulder capture completes.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","shoulder_section_complete_to_hinge;missing_required_cue;playback_start_failure","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-hinge-setup-v21.mp3","assets/audio/voice/marcus/checkup-hinge-setup-v21.mp3","5248","4876","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-hinge-setup-v21","Slowly fold from your hips and reach toward the floor. Hold there until I say stand tall.","instruction","FD-006","aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST",""
"checkup-shoulder-raise-left-v21","mpv2_assessment","Raise your left arm as high as comfortable. Hold there until I say relax.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","shoulder_ready;audio_resolution;audio_playback","shoulder_setup","User selects left shoulder side and confirms setup.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","Selected shoulder side is left.","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3","assets/audio/voice/marcus/checkup-shoulder-raise-left-v21.mp3","4644","4737","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-shoulder-raise-left-v21","Raise your left arm as high as comfortable. Hold there until I say relax.","instruction","FD-002;FD-006","partially_aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST;FD-002-SIDE-CONSISTENCY","Script side must match selected shoulder side and grader side."
"checkup-shoulder-raise-right-v21","mpv2_assessment","Raise your right arm as high as comfortable. Hold there until I say relax.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","shoulder_ready;audio_resolution;audio_playback","shoulder_setup","User selects right shoulder side and confirms setup.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","Selected shoulder side is right.","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3","assets/audio/voice/marcus/checkup-shoulder-raise-right-v21.mp3","4876","3994","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-shoulder-raise-right-v21","Raise your right arm as high as comfortable. Hold there until I say relax.","instruction","FD-002;FD-006","partially_aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST;FD-002-SIDE-CONSISTENCY","Script side must match selected shoulder side and grader side."
"checkup-shoulder-turn-left-v21","mpv2_assessment","Turn so your left side is nearest the phone.","src/movementProfileV2/voiceCues.ts","MOVEMENT_PROFILE_V2_CUE_DEFINITIONS","movement_profile_v2_checkup","shoulder_ready;audio_resolution;audio_playback","shoulder_setup","User selects left shoulder side and confirms setup.;Selected voice lacks required MPV2 asset.;createAudioPlayer or player.play fails.","Selected shoulder side is left.","60","setup","required_fail_closed","MPV2 cue resolution throws for missing selected-voice asset; VoiceChannel catches, skips that cue, and continues any pending sequence.","Emitted once per transition key; initial intro once per screen mount.","voice.stop() on unmount/cancel/app background; higher-priority speech interrupts lower-priority speech.","false","src/audio/manifest.ts; src/audio/movementProfileV2AudioManifest.ts","clara_marcus_pair_present","assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3","assets/audio/voice/marcus/checkup-shoulder-turn-left-v21.mp3","2229","2415","runtime_reachable","MovementProfileV2CheckUpScreen effect -> MovementProfileV2VoiceSequencer/initialMovementProfileV2VoiceEvent -> VoiceChannel.speak -> VOICE_MANIFEST","exact_key_exact_script","checkup-shoulder-turn-left-v21","Turn so your left side is nearest the phone.","instruction","FD-002;FD-006","partially_aligned","ready_for_human_review","source_present_binary_untracked;current_source_expected_text_only;actual_content_requires_listening","keep_current_exact","true","false","true","MPV2-VOICE-SEQUENCER;MPV2-VOICE-CHANNEL;MPV2-AUDIO-MANIFEST;FD-002-SIDE-CONSISTENCY","Script side must match selected shoulder side and grader side."
