findingId,severity,type,title,affectedScenarioIds,affectedCueKeys,affectedVoices,deterministic,latencyProfiles,userConsequence,sourceEvidence,timelineEvidence,currentTestCoverage,recommendedRemediation,blocksPreview,confidence,notes
"MPV2-RT-001","P1","missing_start_signal","Chair active measurement starts without spoken countdown or audible go","chair_practice_to_official_attempt;countdown_versus_operational_cue;go_audible_onset_timing;full_normal_mpv2_checkup_clara;full_normal_mpv2_checkup_marcus","mpv2_chair_official_ready","clara;marcus","true","L0;L100;L250","The 30-second chair window starts from an internal timer before the user receives an explicit audible start moment; this can invalidate measurement timing and eyes-off usability.","src/movementProfileV2/liveCoordinator.ts:45 (chair countdown is internal 3000 ms) | src/movementProfileV2/liveCoordinator.ts:444 (chair active measurement starts at countdownStartedAt + 3000 ms) | src/movementProfileV2/voiceCues.ts:182 (transition-to-cue mapping is defined in resolveMovementProfileV2CueIdsForTransition)","full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L0:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L100:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L250:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L0:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L100:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L250:default/chair_countdown_elapsed_to_active/not_emitted;chair_practice_to_official_attempt/chair_practice_to_official_attempt:clara:L0:immediate/chair_countdown_elapsed_to_active/not_emitted;chair_practice_to_official_attempt/chair_practice_to_official_attempt:clara:L0:after_250ms/chair_countdown_elapsed_to_active/not_emitted","src/movementProfileV2/__tests__/liveCoordinator.test.ts covers active transition; no runtime audio-onset test covers go.","ADD_AUDIBLE_COUNTDOWN_GO","true","confirmed_deterministic_model","The official-ready asset is longer than 3000 ms for both voices even before startup latency."
"MPV2-RT-002","P1","drop","User actions can deterministically drop essential setup guidance","initial_effect_speech_versus_first_user_action;rapid_user_action_during_speech;shoulder_left;shoulder_right;result_completion_transition_while_prior_cue_busy","mpv2_chair_practice_start;mpv2_balance_attempt_start;checkup-shoulder-turn-left-v21;checkup-shoulder-turn-right-v21;checkup-shoulder-raise-left-v21;checkup-shoulder-raise-right-v21","clara;marcus","true","L0;L100;L250","The UI can advance state while equal or higher-priority prior speech is still busy; distinct instructions are dropped rather than queued.","src/audio/voicePlayer.ts:111 (lower-or-equal priority speak() calls return false while busy) | src/screens/MovementProfileV2CheckUpScreen.tsx:170 (button actions call coordinator immediately and do not wait for voice completion) | src/screens/MovementProfileV2CheckUpScreen.tsx:125 (transition speech is emitted from a live snapshot effect)","balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:clara:L0:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:clara:L100:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:clara:L250:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:marcus:L0:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:marcus:L100:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_valid_attempt_rest_next_attempt/balance_valid_attempt_rest_next_attempt:marcus:L250:default/balance_lift_detected_to_trial/dropped_equal_priority;balance_use_best/balance_use_best:clara:L0:default/balance_user_accepted_best/dropped_equal_priority;balance_use_best/balance_use_best:clara:L100:default/balance_user_accepted_best/dropped_equal_priority","src/audio/__tests__/voicePlayer.test.ts covers lower-priority drop; no full MPV2 user-action collision regression exists.","BLOCK_USER_ACTION_UNTIL_INSTRUCTION_COMPLETE","true","confirmed_deterministic_model",""
"MPV2-RT-003","P1","failure_handling","Required MPV2 cue failure is not fail-closed end to end","required_cue_missing;required_asset_resolution_throws;playback_creation_fails;playback_start_callback_fails;fail_closed_required_cue_behavior","all_required_mpv2_cues","clara;marcus","true","injected_failure","A required instruction can be skipped while the controller continues and measurement can still start silently.","src/audio/voicePlayer.ts:137 (missing asset/player creation errors are caught and skipped, with pending cues continuing) | src/audio/voicePlayer.ts:162 (playback start errors are caught and skipped, with pending cues continuing) | src/screens/MovementProfileV2CheckUpScreen.tsx:170 (button actions call coordinator immediately and do not wait for voice completion)","missing_clara_asset;missing_marcus_asset;manifest_lookup_throw;player_creation_throw;playback_start_throw;no_completion_callback;late_completion_after_stop;multi_sequence_first_cue_failure;multi_sequence_middle_cue_failure;multi_sequence_final_cue_failure","Existing tests assert no crash/busy for missing/playback-start; they do not assert controller blocking.","MAKE_REQUIRED_CUES_CONTROLLER_BLOCKING","true","confirmed_source",""
"MPV2-RT-004","P1","state_progression","State progression does not observe voice completion for timed captures","chair_practice_to_official_attempt;hinge_valid_result;completion","mpv2_chair_official_ready;checkup-hinge-setup-v21;mpv2_hinge_complete;checkup-complete-v21","clara;marcus","true","L0;L100;L250","The user can enter a measurement or leave the screen before essential start/setup/completion narration finishes.","src/screens/MovementProfileV2CheckUpScreen.tsx:170 (button actions call coordinator immediately and do not wait for voice completion) | src/movementProfileV2/liveCoordinator.ts:416 (hinge active starts on button action without a start cue) | src/movementProfileV2/liveCoordinator.ts:444 (chair active measurement starts at countdownStartedAt + 3000 ms)","full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L0:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L100:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_clara/full_normal_mpv2_checkup_clara:clara:L250:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L0:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L100:default/chair_countdown_elapsed_to_active/not_emitted;full_normal_mpv2_checkup_marcus/full_normal_mpv2_checkup_marcus:marcus:L250:default/chair_countdown_elapsed_to_active/not_emitted;chair_practice_to_official_attempt/chair_practice_to_official_attempt:clara:L0:immediate/chair_countdown_elapsed_to_active/not_emitted;chair_practice_to_official_attempt/chair_practice_to_official_attempt:clara:L0:after_250ms/chair_countdown_elapsed_to_active/not_emitted","Coordinator tests cover state transitions but not voice-completion gating.","BLOCK_USER_ACTION_UNTIL_INSTRUCTION_COMPLETE","true","confirmed_deterministic_model",""
"MPV2-RT-005","P2","stale_speech","Completion or transition speech can be cancelled or stale across meaningful state exit","cue_completes_after_state_exit;navigation_unmount_during_speech;no_stale_mpv2_operational_cue_after_state_change","mpv2_hinge_complete;mpv2_hinge_no_measurement;checkup-complete-v21","clara;marcus","true","L0;L100;L250","Check-up completion may be cut off by navigation; if not unmounted, prior stage speech can continue into a new stage.","src/screens/MovementProfileV2CheckUpScreen.tsx:97 (unmount/background path stops voice playback) | src/audio/voicePlayer.ts:149 (released/stale player completion callbacks are ignored by identity guard) | src/screens/MovementProfileV2CheckUpScreen.tsx:125 (transition speech is emitted from a live snapshot effect)","hinge_valid_result/hinge_valid_result:clara:L0:default/hinge_recorded_valid/played_fully;hinge_valid_result/hinge_valid_result:clara:L100:default/hinge_recorded_valid/played_fully;hinge_valid_result/hinge_valid_result:clara:L250:default/hinge_recorded_valid/played_fully;hinge_valid_result/hinge_valid_result:marcus:L0:default/hinge_recorded_valid/played_fully;hinge_valid_result/hinge_valid_result:marcus:L100:default/hinge_recorded_valid/played_fully;hinge_valid_result/hinge_valid_result:marcus:L250:default/hinge_recorded_valid/played_fully;completion/completion:clara:L0:default/hinge_recorded_valid/played_fully;completion/completion:clara:L100:default/hinge_recorded_valid/played_fully","No full-screen navigation/voice cancellation regression found.","CANCEL_STALE_STAGE_SPEECH","false","confirmed_deterministic_model",""
"MPV2-RT-006","P2","retry_recovery","Shared tracking-loss/recovered/retry cues are bundled but not emitted","repeated_tracking_loss_event;tracking_recovery_before_loss_cue_finishes;recovery_screen_retry","tracking-loss-v21;tracking-recovered-v21;retry-v21","clara;marcus","true","L0;L100;L250","Some recovery branches are silent or rely on screen text, weakening voice-first recovery.","src/movementProfileV2/voiceCues.ts:182 (transition-to-cue mapping is defined in resolveMovementProfileV2CueIdsForTransition)","tracking_loss_defined_not_emitted;recovery_screen_retry_branch","Voice cue tests cover definitions; no test expects these cues to be emitted.","ADD_TRACKING_RECOVERY_VOICE","false","confirmed_source",""
"MPV2-RT-007","P2","failure_handling","Missing playback completion callback can leave VoiceChannel busy indefinitely","playback_start_callback_fails","any_playing_cue","clara;marcus","false","device_only","Future lower/equal-priority guidance can be dropped until a higher-priority cue interrupts or the screen calls stop().","src/audio/voicePlayer.ts:149 (released/stale player completion callbacks are ignored by identity guard) | src/audio/voicePlayer.ts:111 (lower-or-equal priority speak() calls return false while busy)","failure injection no_completion_callback","No existing test models absent didJustFinish callback.","CANCEL_STALE_STAGE_SPEECH","false","possible",""
"MPV2-RT-008","P2","state_progression","Background/foreground does not replay essential context and may model transition speech after stop","app_background_foreground","mpv2_balance_tracking_retry;checkup-balance-intro-v21;mpv2_hinge_no_measurement","clara;marcus","false","L0;L100;L250","A user returning from background may not hear the context needed to recover the current stage.","src/screens/MovementProfileV2CheckUpScreen.tsx:97 (unmount/background path stops voice playback) | src/screens/MovementProfileV2CheckUpScreen.tsx:125 (transition speech is emitted from a live snapshot effect)","app_background_voice_stop;app_foreground_resume","Coordinator background tests exist; screen-level voice/AppState effect ordering is not covered.","ADD_TRACKING_RECOVERY_VOICE","false","likely",""
"MPV2-RT-009","P2","voice_parity","Mounted VoiceChannel does not rebuild when selected voice changes","voice_change_while_screen_mounted_channel_exists","all_mpv2_cues","clara;marcus","true","L0;L100;L250","Changing trainer voice while the screen is mounted does not affect the current session channel.","src/screens/MovementProfileV2CheckUpScreen.tsx:71 (VoiceChannel is captured in React state and is not rebuilt when voiceId prop changes)","voice_change_while_mounted","No screen-level voice-change lifecycle test found.","REBUILD_CHANNEL_ON_VOICE_CHANGE","false","confirmed_source",""
"MPV2-RT-010","P2","protocol_divergence","Current MPV2 balance protocol differs from future V2.1 staged ladder","balance_valid_attempt_rest_next_attempt;balance_full_hold_ceiling;balance_use_best","checkup-balance-intro-v21;checkup-balance-single-leg-v21;mpv2_balance_attempt_start","clara;marcus","true","L0;L100;L250","Runtime is internally coherent, but spec/test language must not imply the full V2.1 ladder is implemented.","src/movementProfileV2/liveCoordinator.ts:459 (current balance is one-leg, max 45000 ms, up to 3 valid trials)","balance_* scenarios","Live coordinator tests cover current single-leg attempt flow.","REBASE_V21_CHECKUP_SPEC","false","confirmed_source",""
