scenarioId,flow,itemId,checkupType,protocolId,sideRequired,anchorType,anchorSide,userAction,pinnedSide,sideSource,observedSide,comparabilityOutcome,anchorChanged,trendClaimAllowed,visibleCopy,voiceCueKeys,resultStatus,testCoverage,notes
MC-001,micro_check,chair-power,,micro_chair_power_5_reps_v1,false,none,,start_check,,not_applicable,,establishes_new_baseline,false,true,"No side setup is shown.",microcheck-chair,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Chair power remains side-independent."
MC-002,micro_check,single-leg-balance,,micro_single_leg_balance_v1,true,none,,choose_left,left,manual_user_selected,left,establishes_new_baseline,false,false,"Which side will you use? Choose the leg you can hold most comfortably today. Use the same leg each time for clearer progress.",microcheck-balance,measured,src/training/__tests__/microCheckSideSetup.test.ts,"First valid side-known balance micro-check establishes its own series."
MC-003,micro_check,mobility-reach,,micro_mobility_reach_v1,true,none,,choose_right,right,manual_user_selected,right,establishes_new_baseline,false,false,"Which side will you use? Choose the leg you can extend comfortably. Use the same leg each time for clearer progress.",ex-hamstring-reach,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Mobility does not borrow official shoulder, hinge, or balance sides."
MC-004,micro_check,single-leg-balance,,micro_single_leg_balance_v1,true,compatible_official_anchor,left,continue,left,microcheck_official_anchor,left,establishes_new_baseline,false,false,"Use your left leg. This matches your Movement Check-Up.",microcheck-balance,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Official side recommends first balance micro-check only; no direct official comparison."
MC-005,micro_check,single-leg-balance,,micro_single_leg_balance_v1,true,existing_microcheck_series,right,continue,right,manual_user_selected,right,comparable,false,true,"Use your right leg. This matches your earlier micro checks.",microcheck-balance,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Existing valid micro-check series is preferred over official recommendation."
MC-006,micro_check,single-leg-balance,,micro_single_leg_balance_v1,true,existing_microcheck_series,right,use_other_side_confirmed,left,opposite_side_fallback,left,reduced_comparability,false,false,"Use the other side? This check will start or continue a separate side comparison. Your usual side will stay unchanged.",microcheck-balance,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Opposite micro side is stored as reduced comparability."
MC-007,micro_check,single-leg-balance,,micro_single_leg_balance_v1,true,existing_microcheck_series,right,use_other_side_cancelled,right,manual_user_selected,right,comparable,false,true,"Keep right leg",microcheck-balance,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Cancelling fallback keeps the recommended micro-check side."
MC-008,micro_check,mobility-reach,,micro_mobility_reach_v1,true,existing_microcheck_series,left,continue,left,manual_user_selected,left,comparable,false,true,"Use your left leg. This matches your earlier micro checks.",ex-hamstring-reach,measured,src/training/__tests__/microCheckSideSetup.test.ts,"Mobility same-side micro series can compare inside the mobility micro protocol."
OF-001,official_retest,one-leg-balance-v2,baseline_retake,mpv2_single_leg_balance_45s_v1,true,official_side_anchor,left,continue,left,baseline_retake_anchor,left,comparable,false,true,"We'll use your left side again. This keeps the result comparable with your earlier checks.",mpv2_balance_attempt_intro,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Normal MPV2 balance retest path."
OF-002,official_retest,one-leg-balance-v2,baseline_retake,mpv2_single_leg_balance_45s_v1,true,official_side_anchor,left,use_other_side_confirmed,right,opposite_side_fallback,right,reduced_comparability,false,false,"Use the other side? This result may not be directly comparable with your earlier checks. Your usual side will remain unchanged.",mpv2_balance_attempt_intro,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Confirmed fallback does not overwrite prior standing-leg anchor."
OF-003,official_retest,one-leg-balance-v2,baseline_retake,mpv2_single_leg_balance_45s_v1,true,official_side_anchor,left,use_other_side_cancelled,left,baseline_retake_anchor,left,comparable,false,true,"Keep left side",mpv2_balance_attempt_intro,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Cancelled fallback keeps anchor side."
OF-004,official_retest,active-shoulder-reach-v2,baseline_retake,mpv2_active_shoulder_reach_v1,true,official_side_anchor,right,continue,right,baseline_retake_anchor,right,comparable,false,true,"We'll use your right side again. This keeps the result comparable with your earlier checks.",mpv2_shoulder_turn_right;mpv2_shoulder_raise_right,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Normal MPV2 shoulder retest path keeps side-specific voice cue alignment."
OF-005,official_retest,active-shoulder-reach-v2,baseline_retake,mpv2_active_shoulder_reach_v1,true,official_side_anchor,right,use_other_side_confirmed,left,opposite_side_fallback,left,reduced_comparability,false,false,"Use the other side? This result may not be directly comparable with your earlier checks. Your usual side will remain unchanged.",mpv2_shoulder_turn_left;mpv2_shoulder_raise_left,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Confirmed shoulder fallback dispatches selected side to UI, voice, controller, and grader."
OF-006,official_retest,active-shoulder-reach-v2,baseline_retake,mpv2_active_shoulder_reach_v1,true,official_side_anchor,right,use_other_side_cancelled,right,baseline_retake_anchor,right,comparable,false,true,"Keep right side",mpv2_shoulder_turn_right;mpv2_shoulder_raise_right,measured,src/screens/__tests__/MicroCheckScreen.sideSetup.test.ts,"Cancelled fallback keeps shoulder anchor side."
RT-001,recovery,one-leg-balance-v2,baseline_retake,mpv2_single_leg_balance_45s_v1,true,official_side_anchor,left,retry_after_tracking_loss,left,baseline_retake_anchor,left,comparable,false,true,"Rest before retry",mpv2_balance_tracking_retry,measured,src/movementProfileV2/__tests__/liveCoordinator.test.ts,"Recovery reuses pinned flow.standingLeg."
RT-002,recovery,active-shoulder-reach-v2,baseline_retake,mpv2_active_shoulder_reach_v1,true,official_side_anchor,right,retry_after_tracking_loss,right,baseline_retake_anchor,right,comparable,false,true,"Shoulder retry",mpv2_shoulder_tracking_retry,measured,src/movementProfileV2/__tests__/liveCoordinator.test.ts,"Recovery reuses pinned flow.shoulderSide."
