scenarioId,flow,itemId,voiceId,exposureType,equipmentState,sequenceOrder,cueKeys,scripts,assetCount,estimatedSpeechMs,interAssetGapAssumptionMs,estimatedTotalMs,countdownStartsAtMs,audibleGoAtMs,budgetClass,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training-intro-universal-safety-gap0,training,session,clara,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,14160,0,14160,16160,19160,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-intro-universal-safety-gap100,training,session,clara,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,14160,100,14260,16260,19260,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-intro-universal-safety-gap250,training,session,clara,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,14160,250,14410,16410,19410,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-intro-universal-safety-gap0,training,session,marcus,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,13790,0,13790,15790,18790,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-intro-universal-safety-gap100,training,session,marcus,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,13790,100,13890,15890,18890,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-intro-universal-safety-gap250,training,session,marcus,session_start,not_applicable,1;2,training-intro-v2;safe-session-start-v2,"Time to train. I'll guide each setup, set, and rest. Follow my voice and pause whenever you need.;Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep support steady.",2,13790,250,14040,16040,19040,training_intro_universal_safety,12000,16000,false,true,V2 separates universal safety from equipment family safety; no repeated equipment detail here.
training-balance-feet-together-hold-first-use-cold-equipment-gap0,training,balance-feet-together-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15420,0,15420,17420,20420,ordinary_first_use_pre_countdown,12000,16000,false,true,Complete pre-countdown sequence with family de-duplication.
training-balance-feet-together-hold-first-use-cold-equipment-gap100,training,balance-feet-together-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15420,100,15820,17820,20820,ordinary_first_use_pre_countdown,12000,16000,false,true,Complete pre-countdown sequence with family de-duplication.
training-balance-feet-together-hold-first-use-cold-equipment-gap250,training,balance-feet-together-hold,clara,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15420,250,16420,18420,21420,ordinary_first_use_pre_countdown,12000,16000,false,false,Complete pre-countdown sequence with family de-duplication.
training-balance-feet-together-hold-first-use-cold-equipment-gap0,training,balance-feet-together-hold,marcus,first_occurrence,family_warning_not_yet_heard,1;2;3;4;5,framing-ready-v2;ex-balance-feet-together-hold-first-v2;target-balance-feet-together-hold-v2;safe-support-first-v2;safe-balance-first-v2,"You're in position. Stay there.;Feet-together hold. Stand with feet together, fingertips near support, eyes open.;Hold for twenty seconds.;Keep sturdy support within easy reach.;Keep fingertips near support and touch it whenever you need.",5,15050,0,15050,17050,20050,ordinary_first_use_pre_countdown,12000,16000,false,true,Complete pre-countdown sequence with family de-duplication.
