scenarioId,variantId,eventIndex,timestampMs,eventType,runtimeLayer,setIndex,repAttemptId,logicalRepId,expectedLeadBefore,observedLead,bothFeetAtStart,topPhaseValid,bothFeetReturnedToFloor,trackingValid,evidenceOutcome,statePhaseBefore,statePhaseAfter,credited,alternationAccepted,sfxPlayed,genericRepCredited,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,setResultEmitted,setResultId,progressionConsumed,progressionEligible,serialized,restored,seedBefore,seedAfter,voiceExpectedLead,voiceTargetTotal,notes
feed_step_rep,base,1,5400,runtime_update,step_up_alternation,0,step-up-set-1-rep-1-epoch-2,step-up-set-1-rep-1-epoch-2,left,left,true,true,true,true,accepted,awaiting_expected_lead,ready_both_feet_floor,true,true,true,false,right,1,1,0,false,,,,,,,,,,,
feed_step_rep,base,2,5400,runtime_update,step_up_alternation,0,step-up-set-1-rep-1-epoch-2,step-up-set-1-rep-1-epoch-2,right,right,true,true,true,true,accepted,awaiting_expected_lead,ready_both_feet_floor,true,true,true,false,left,1,0,1,false,,,,,,,,,,,
duplicate_terminal_evidence_single_credit,base,1,5233,rep_evidence,step_up_alternation,0,duplicate-attempt,duplicate-attempt,left,left,true,true,true,true,accepted,awaiting_expected_lead,ready_both_feet_floor,true,true,true,false,right,1,1,0,false,,,,false,,,,,,,first terminal evidence accepted
duplicate_terminal_evidence_single_credit,base,2,5233,duplicate_callback,step_up_alternation,0,duplicate-attempt,duplicate-attempt,right,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,false,false,false,false,right,1,1,0,false,,,,false,,,,,,,duplicate terminal evidence suppressed
stale_callback_old_rep_ignored,base,1,5233,stale_callback,step_up_alternation,0,old-attempt,old-attempt,left,left,true,true,true,true,accepted,awaiting_expected_lead,awaiting_expected_lead,false,false,false,false,left,0,0,0,false,,,,false,,,,,,,old rep callback after newer rep started
stale_callback_old_set_ignored,base,1,5233,stale_callback,step_up_alternation,0,old-set-attempt,old-set-attempt,right,right,true,true,true,true,accepted,awaiting_expected_lead,awaiting_expected_lead,false,false,false,false,right,0,0,0,false,,,,false,,,,,,,old set callback after newer set runtime started
feed_step_rep,base,3,5400,runtime_update,step_up_alternation,0,step-up-set-1-rep-1-epoch-2,step-up-set-1-rep-1-epoch-2,left,left,true,true,true,true,accepted,awaiting_expected_lead,ready_both_feet_floor,true,true,true,false,right,1,1,0,false,,,,,,,,,,,
generic_legacy_path_suppressed_for_alternation_acceptance,base,1,5433,sfx_authority,TrainingSessionPlayer/StepUpAlternationSetRuntime,0,step-up-set-1-rep-1-epoch-2,step-up-set-1-rep-1-epoch-2,left,left,true,true,true,true,accepted,,,true,true,true,false,right,1,1,0,,,,,,,,,,,,Runtime update has acceptedRepEvent while setUpdate.repCredited remains false; TrainingSessionPlayer uses acceptedRepEvent in internal mode.
one_completed_set_one_canonical_set_result,base,1,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-1,one_completed_set_one_canonical_set_result-rep-1,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,1,1,0,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,2,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-2,one_completed_set_one_canonical_set_result-rep-2,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,2,1,1,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,3,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-3,one_completed_set_one_canonical_set_result-rep-3,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,3,2,1,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,4,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-4,one_completed_set_one_canonical_set_result-rep-4,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,4,2,2,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,5,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-5,one_completed_set_one_canonical_set_result-rep-5,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,5,3,2,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,6,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-6,one_completed_set_one_canonical_set_result-rep-6,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,6,3,3,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,7,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-7,one_completed_set_one_canonical_set_result-rep-7,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,7,4,3,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,8,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-8,one_completed_set_one_canonical_set_result-rep-8,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,8,4,4,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,9,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-9,one_completed_set_one_canonical_set_result-rep-9,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,9,5,4,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,10,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-10,one_completed_set_one_canonical_set_result-rep-10,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,10,5,5,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,11,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-11,one_completed_set_one_canonical_set_result-rep-11,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,11,6,5,false,,,,false,,,,,,,
one_completed_set_one_canonical_set_result,base,12,5433,rep_evidence,step_up_alternation,0,one_completed_set_one_canonical_set_result-rep-12,one_completed_set_one_canonical_set_result-rep-12,right,right,true,true,true,true,accepted,ready_both_feet_floor,set_complete,true,true,true,false,left,12,6,6,true,,,,true,,,,,,,
one_completed_set_one_canonical_set_result,base,13,5433,set_result,StepUpAlternationSetRuntime.finish,0,,,,,,,,,set_complete,,set_complete,false,false,false,false,,12,6,6,true,true,step-up:set-0,true,true,,,,,,,
three_sets_progression_exactly_three_results,base,1,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-1,three_sets_progression_exactly_three_results-rep-1,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,1,1,0,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,2,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-2,three_sets_progression_exactly_three_results-rep-2,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,2,1,1,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,3,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-3,three_sets_progression_exactly_three_results-rep-3,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,3,2,1,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,4,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-4,three_sets_progression_exactly_three_results-rep-4,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,4,2,2,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,5,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-5,three_sets_progression_exactly_three_results-rep-5,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,5,3,2,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,6,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-6,three_sets_progression_exactly_three_results-rep-6,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,6,3,3,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,7,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-7,three_sets_progression_exactly_three_results-rep-7,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,7,4,3,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,8,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-8,three_sets_progression_exactly_three_results-rep-8,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,8,4,4,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,9,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-9,three_sets_progression_exactly_three_results-rep-9,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,9,5,4,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,10,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-10,three_sets_progression_exactly_three_results-rep-10,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,10,5,5,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,11,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-11,three_sets_progression_exactly_three_results-rep-11,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,11,6,5,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,12,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-12,three_sets_progression_exactly_three_results-rep-12,right,right,true,true,true,true,accepted,ready_both_feet_floor,set_complete,true,true,true,false,left,12,6,6,true,,,,true,,,,,,,
three_sets_progression_exactly_three_results,base,13,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-1,three_sets_progression_exactly_three_results-rep-1,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,1,0,1,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,14,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-2,three_sets_progression_exactly_three_results-rep-2,left,left,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,right,2,1,1,false,,,,false,,,,,,,
three_sets_progression_exactly_three_results,base,15,5433,rep_evidence,step_up_alternation,0,three_sets_progression_exactly_three_results-rep-3,three_sets_progression_exactly_three_results-rep-3,right,right,true,true,true,true,accepted,ready_both_feet_floor,ready_both_feet_floor,true,true,true,false,left,3,1,2,false,,,,false,,,,,,,
