changeId,classification,pathOrKey,baselineValue,currentValue,gitState,commitEvidence,evidenceConfidence,currentRuntimeImpact,v21Impact,requiredAction,blocksProceeding,notes
CH-0001,asset_added,assets/audio/voice/clara/checkup-balance-intro-v21.mp3,absent,66499 bytes; sha256=ad53bf6a0e36c2a3f7506f4990ba5ef75b2c96628db45a50d3265d9f19a42794; durationMs=4087,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0002,asset_added,assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3,absent,71097 bytes; sha256=3cbdb9004e6957bf32d5ce78912c3d4e04c40ac800fdd9391eaf6e4f04e4a944; durationMs=4365,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0003,asset_added,assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3,absent,71097 bytes; sha256=756c95a3578d4ba4c191b40c89b6893828694c842ed94b4a09395402c42c2419; durationMs=4365,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0004,asset_added,assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3,absent,78202 bytes; sha256=a91387e3639d88347ec811d7822bf6569873cc8bd9c94a622eec87f99cd8bfe8; durationMs=4830,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0005,asset_added,assets/audio/voice/clara/checkup-complete-v21.mp3,absent,37660 bytes; sha256=bdc357e2084139df6d329e47ed6f5f7689e0e8cd4edfec184c753da182c4f9a7; durationMs=2276,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0006,asset_added,assets/audio/voice/clara/checkup-hinge-setup-v21.mp3,absent,84889 bytes; sha256=4b990638a6ebed8e18589fc9f383c088e36b95abab7d260275b5930bd2d8c16a; durationMs=5248,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0007,asset_added,assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3,absent,75276 bytes; sha256=ffb31b872da861eb1403e1de9a3991aed106e9315b77acb2fd43565e763c46cc; durationMs=4644,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0008,asset_added,assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3,absent,79038 bytes; sha256=b1d43a10eb822dcfb180d9f77baebc19483dd722b950bc0171ccf67030b7229e; durationMs=4876,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0009,asset_added,assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3,absent,36824 bytes; sha256=bdb9efaa37c0eb29c65635152cf3ad07e46f7b06f7c35b8481a2f730d30254be; durationMs=2229,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0010,asset_added,assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3,absent,38078 bytes; sha256=67cd18e603c1af00b22885ce7bfe4ee29fc83e58b209bb766316ecfe1d008ef0; durationMs=2322,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0011,asset_added,assets/audio/voice/clara/final-position-set-v21.mp3,absent,15926 bytes; sha256=e9a54f399941ab4c8cc5f21a31d6f19ce6d16a6e7080fc3a01fee3e8c3cca24a; durationMs=929,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0012,asset_added,assets/audio/voice/clara/item-complete-v21.mp3,absent,15926 bytes; sha256=f855ad6ed662d49996a55ecc1431834bcf9258e90c57d4a33f73b352c87540ad; durationMs=929,??,untracked current worktree,high,new bundled mapping in modified manifest,partial V2.1 asset already exists,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0013,asset_added,assets/audio/voice/clara/mpv2_balance_attempt_saved.mp3,absent,23449 bytes; sha256=6d68a030f49573659d661de21636d3d63f8676e1dd387b1fca6051e2408f341c; durationMs=1393,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0014,asset_added,assets/audio/voice/clara/mpv2_balance_attempt_start.mp3,absent,76948 bytes; sha256=d7b7090fe8708582181950c5a778c2a476ad99fcb59249885dfa1d875798f14c; durationMs=4737,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0015,asset_added,assets/audio/voice/clara/mpv2_balance_complete.mp3,absent,23449 bytes; sha256=1a2a510b912032b701fbb8f1cf04b92661bf89384a6e9eba1705d17282e4a9f3; durationMs=1393,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
CH-0016,asset_added,assets/audio/voice/clara/mpv2_balance_full_hold.mp3,absent,37660 bytes; sha256=828e73b12c18aa94d881b97062010678f0e7921eaae7eaa6dab956cb19add7bf; durationMs=2276,??,untracked current worktree,high,new bundled mapping in modified manifest,Movement Profile V2 fallback asset outside V2.1 manifest,Reconcile with V2.1 manifest and commit or remove intentionally after review.,true,no_prior_duration_row; current_worktree_addition
