injectionId,flow,scenario,mutationType,targetCueKey,targetPhase,expectedOutcome,observedOutcome,passed,blocksReadiness,notes
missing_training_setup_asset,training,missing required setup cue binding,remove_required_binding,ex-squat-free-first-v21,item_setup,accepted=false; reason=missing_physical_binding; no active start,TrainingVoiceRuntimeV21.speakRequiredSequence length guard rejects missing bindings,true,true,Covered by audit harness static source inspection and focused Training Voice tests.
missing_go,training,countdown missing go,remove_go_binding,go,countdown,phase=audio_failure; active_started=false,Training and Micro countdown guards require exact countdown-three/two/one/go binding,true,true,No dispatch/completion start path exists.
failed_playback_start,shared_voice_channel,required playback-start failure,throw_on_player_play,go,countdown,required request resolves playback_start_failed and caller blocks boundary,VoiceChannel.handleTrackedCueFailure resolves required failures instead of skipping,true,true,No production audio file was altered.
stale_completion_callback,training,stale completion callback after stage change,old_scope_completion,go,countdown,ignored; no later state mutation,Runtime checks expected scope/request/attempt before mutating,true,true,Covers item/set/attempt/stage stale guards.
voice_switch_during_countdown,training,voice switch during required countdown,change_voice_mid_sequence,countdown-three,countdown,active request cancelled; restartRequiredSequence=true; no mixed sequence,TrainingVoiceRuntimeV21 cancels countdown on voice_changed and resets go-start flag,true,true,Mounted voice switching stays sequence-pure.
missing_micro_completion_asset,micro_check,missing required completion cue,remove_manifest_binding,microcheck-complete-v21,completion,phase=audio_failure; completion cannot be silently approved,Micro runtime speaks completion as required and handles required failure,true,true,No invalid result completion is claimed.
missing_balance_v2_stage_cue,balance_v2,missing stage-specific generated cue,remove_metadata_pair,checkup-balance-feet-together-v21,stage_setup,physicalAudioSurfaceReady=false; protocol remains closed,Balance V2 readiness requires Clara/Marcus generated metadata for every stage cue,true,true,"Simulated by readiness predicate, not by deleting audio."
missing_mpv2_retry_recovery_cue,movement_checkup,missing retry/recovery required cue,remove_manifest_binding,tracking-loss-v21,recovery,required_failure; lastFailure blocks gated action until retry,MPV2 required sequences use VoiceChannel required failure handling and stage-scoped state,true,true,Covers retry/recovery required surfaces.
corrupt_generated_asset_fixture,audio,corrupt generated mp3 fixture,decode_failure_fixture,ex-sts-standard-first-v21,verification,verify:audio fails; decodeStatus=failed; readiness blocked,verify:audio decodes and compares metadata/duration; no production audio mutated,true,true,Practical fixture model only.
feature_flag_accidentally_on,readiness,Training/Micro/Balance feature flag on while approval false,set_feature_flag_true,,selection,runtime mode remains legacy/selectable=false because AUDIO_READY=false,Readiness selection requires AUDIO_READY in addition to feature flag,true,true,Prevents accidental public V2.1 activation.
audio_approval_false_physical_ready,readiness,physical ready but audio approval false,approval_false,,selection,physical surface true; audioApprovalReady=false; AUDIO_READY=false,Readiness constants separate physical coverage from approval,true,false,This is the expected post-generation listening-pending state.
