exerciseId,family,parentFamily,subsumedFamilies,absorbedFamilies,fulfilment,logicalCueKey,sourceSafetyProfileSchemaVersion,sourceSafetyProfileFingerprint,sourceSafetyCueIds,reactiveSafetyCueIdsDeferred,requiredForVoiceFirst,ready,reasonCodes
balance-feet-together-hold,balance_support,generic_support,,balance_support,absorbed_into_exact_instruction,,1,safety-cues-v1-1k0pioq,balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
balance-single-leg-hold,balance_support,generic_support,,balance_support,absorbed_into_exact_instruction,,1,safety-cues-v1-42vp1e,balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
balance-tandem-hold,balance_support,generic_support,,balance_support,absorbed_into_exact_instruction,,1,safety-cues-v1-13a095g,balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
band-pull-apart,long_band_handheld_or_foot_anchored,,,,separate_family_cue,equip-long-band-v21,1,safety-cues-v1-yrb5ry,band_inspect_before_use;band_secure_grip;band_face_and_eyes_clear;tracking_keep_full_body_in_view;tracking_move_when_cued;band_controlled_return;band_never_release_under_tension;band_stop_if_slips_or_shifts;comfortable_range_only;mobility_no_forcing;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;band_never_release_under_tension;band_stop_if_slips_or_shifts;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
chair-supported-split-squat,generic_support,,,chair_seat;generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-d55ibg,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_use_sturdy_chair;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
glute-bridge-hold,floor_eligible_user,,,,separate_family_cue,equip-floor-transition-v21,1,safety-cues-v1-ki29hh,floor_clear_space;floor_use_support_for_transfer;floor_slow_transition;tracking_keep_full_body_in_view;tracking_move_when_cued;floor_stop_if_transfer_unsteady;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;floor_stop_if_transfer_unsteady;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
glute-bridge-reps,floor_eligible_user,,,,separate_family_cue,equip-floor-transition-v21,1,safety-cues-v1-l0w8wo,floor_clear_space;floor_use_support_for_transfer;floor_slow_transition;tracking_keep_full_body_in_view;tracking_move_when_cued;floor_stop_if_transfer_unsteady;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;floor_stop_if_transfer_unsteady;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
heel-raise-free,none,,,,not_required,,1,safety-cues-v1-1092iur,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
heel-raise-supported,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-t0epy5,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
hip-hinge-free,none,,,,not_required,,1,safety-cues-v1-efgq35,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
hip-hinge-wall,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-1tsznhv,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
loaded-march,balance_support,generic_support,,balance_support,absorbed_into_exact_instruction,,1,safety-cues-v1-soyifr,balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
loaded-sit-to-stand,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-wnk6ea,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;chair_controlled_sit;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
mini-band-lateral-walk,mini_band_above_knees,,balance_support,long_band_handheld_or_foot_anchored;balance_support;mini_band_above_knees,absorbed_into_exact_instruction,,1,safety-cues-v1-18h5yqv,band_inspect_before_use;band_secure_grip;band_face_and_eyes_clear;balance_support_within_reach;balance_no_eyes_closed_or_unstable_surface;tracking_keep_full_body_in_view;tracking_move_when_cued;band_controlled_return;band_never_release_under_tension;band_stop_if_slips_or_shifts;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;band_never_release_under_tension;band_stop_if_slips_or_shifts;balance_stop_if_unsteady;balance_supported_if_hesitant;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MINI_BAND_SUBSUMES_BALANCE_SUPPORT;MINI_BAND_ABSORBED_IN_INSTRUCTION
neck-rotation,none,,,,not_required,,1,safety-cues-v1-1cx0zab,tracking_move_when_cued;comfortable_range_only;mobility_no_forcing,,false,true,NO_NORMAL_FAMILY_REQUIRED
overhead-press-band,long_band_handheld_or_foot_anchored,,,,separate_family_cue,equip-long-band-v21,1,safety-cues-v1-1mi483r,band_inspect_before_use;band_secure_grip;band_face_and_eyes_clear;band_stable_stance;tracking_keep_full_body_in_view;tracking_move_when_cued;band_controlled_return;band_never_release_under_tension;band_stop_if_slips_or_shifts;comfortable_range_only;mobility_no_forcing;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;band_never_release_under_tension;band_stop_if_slips_or_shifts;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
overhead-reach,none,,,,not_required,,1,safety-cues-v1-ympza3,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;mobility_no_forcing;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
push-up-incline,generic_support,,,chair_seat;generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-1004j1n,support_use_sturdy_support;support_keep_support_within_reach;chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
push-up-standard,floor_eligible_user,,,,separate_family_cue,equip-floor-transition-v21,1,safety-cues-v1-1ukwblq,floor_clear_space;floor_use_support_for_transfer;floor_slow_transition;tracking_keep_full_body_in_view;tracking_move_when_cued;floor_stop_if_transfer_unsteady;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;floor_stop_if_transfer_unsteady;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
push-up-wall,generic_support,,,generic_support,absorbed_into_exact_instruction,,1,safety-cues-v1-3k5c64,support_use_sturdy_support;support_keep_support_within_reach;tracking_keep_full_body_in_view;tracking_move_when_cued;global_stop_if_support_moves;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;global_stop_if_support_moves;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,GENERIC_SUPPORT_ABSORBED_IN_INSTRUCTION
seated-band-row,long_band_handheld_or_foot_anchored,,,chair_seat,separate_family_cue,equip-long-band-v21,1,safety-cues-v1-126m16u,chair_use_sturdy_chair;band_inspect_before_use;band_secure_grip;band_face_and_eyes_clear;band_anchor_feet_secure;tracking_keep_full_body_in_view;tracking_move_when_cued;band_controlled_return;band_never_release_under_tension;band_stop_if_slips_or_shifts;band_do_not_overstretch;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;band_never_release_under_tension;band_stop_if_slips_or_shifts;band_do_not_overstretch;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,MOST_SPECIFIC_FAMILY_DUE
seated-hamstring-reach,chair_seat,,,chair_seat,absorbed_into_exact_instruction,,1,safety-cues-v1-1i34qoi,chair_use_sturdy_chair;tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;mobility_no_forcing;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,true,true,CHAIR_ABSORBED_IN_INSTRUCTION
squat-free,none,,,,not_required,,1,safety-cues-v1-q373ww,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
squat-loaded,none,,,,not_required,,1,safety-cues-v1-10b3z65,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
squat-slow-eccentric,none,,,,not_required,,1,safety-cues-v1-e3lzou,tracking_keep_full_body_in_view;tracking_move_when_cued;comfortable_range_only;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,tracking_keep_full_body_in_view;tracking_no_rush_or_exaggerate;tracking_pause_and_reset,false,true,NO_NORMAL_FAMILY_REQUIRED
