scenarioId,voiceId,gapMs,budgetClass,cueKeys,scripts,assetStatus,estimatedSpeechMs,estimatedTotalMs,targetMs,hardMaxMs,passesTarget,passesHardMax,activeStartBoundary,restStartBoundary,notes
training_countdown_rep_set,clara,100,control_confirmation,countdown-three;countdown-two;countdown-one;go,Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,1900,2200,2000,3500,true,true,go_playback_start,not_applicable,Estimated from logical scripts; physical onset remains device QA.
training_countdown_timed_set,clara,100,control_confirmation,countdown-three;countdown-two;countdown-one;go,Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,1900,2200,2000,3500,true,true,go_playback_start,not_applicable,Estimated from logical scripts; physical onset remains device QA.
training_go_playback_start_boundary,clara,100,control_confirmation,go,Go!,reuse_exact_existing_pair,400,400,2000,3500,true,true,go_playback_start,not_applicable,Estimated from logical scripts; physical onset remains device QA.
pause_during_countdown,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
skip_during_countdown,clara,100,control_confirmation,training-skip-v21,Skipped. Moving on.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,Estimated from logical scripts; physical onset remains device QA.
voice_switch_during_countdown,clara,100,control_confirmation,countdown-three;countdown-two;countdown-one;go,Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,1900,2200,2000,3500,true,true,go_playback_start,not_applicable,Estimated from logical scripts; physical onset remains device QA.
pause_during_setup,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
pause_during_active_rep,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
pause_during_active_timed,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
pause_during_rest,clara,100,control_confirmation,paused-v21,Paused.,reuse_exact_existing_pair,1500,1500,2000,3500,true,true,not_applicable,not_applicable,visible_paused_state_remains_authoritative_even_if_confirmation_audio_fails
resume_generic_rep,clara,100,control_confirmation,resuming-v21;countdown-three;countdown-two;countdown-one;go,Resuming. | Three. | Two. | One. | Go!,reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair;reuse_exact_existing_pair,3400,3800,2000,3500,false,true,go_playback_start,not_applicable,do_not_start_active_work; keep visible fallback with retry_or_exit_controls
