jobId,logicalCueKey,physicalCueKey,voiceId,exactScript,flow,category,policyId,reuseDecision,reasonForGeneration,provider,model,providerVoiceId,outputPath,willCreateNew,willReplaceExisting,legacyAffected,manifestTarget,metadataTarget,dryRunStatus,blockingReason,notes
voice-v21-001,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,clara,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
voice-v21-002,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,marcus,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-feet-together-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
voice-v21-003,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,clara,Nicely done. I will guide the next stance.,balance_v2,balance_control,result_transition,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
voice-v21-004,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,marcus,Nicely done. I will guide the next stance.,balance_v2,balance_control,result_transition,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-next-stance-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
voice-v21-005,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,clara,Place your left foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-006,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,marcus,Place your left foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-semi-tandem-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-007,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,clara,Place your right foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-008,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,marcus,Place your right foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-semi-tandem-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-009,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,clara,Stand on your left leg and lift your right foot slightly.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-010,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,marcus,Stand on your left leg and lift your right foot slightly.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-single-leg-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-011,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,clara,Stand on your right leg and lift your left foot slightly.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-012,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,marcus,Stand on your right leg and lift your left foot slightly.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-single-leg-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-013,checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,clara,Support touch noted. Balance check complete.,balance_v2,balance_control,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-support-touch-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Needed if explicit support-touch action should be acknowledged by voice.
voice-v21-014,checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,marcus,Support touch noted. Balance check complete.,balance_v2,balance_control,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-support-touch-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Needed if explicit support-touch action should be acknowledged by voice.
voice-v21-015,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,clara,Place your left foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-tandem-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-016,checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,marcus,Place your left foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-tandem-left-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-017,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,clara,Place your right foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/checkup-balance-tandem-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-018,checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,marcus,Place your right foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/checkup-balance-tandem-right-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-019,equip-balance-support-v21,equip-balance-support-v21,clara,Keep support within easy reach.,training,equipment_first_use,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/equip-balance-support-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
voice-v21-020,equip-balance-support-v21,equip-balance-support-v21,marcus,Keep support within easy reach.,training,equipment_first_use,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/equip-balance-support-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
voice-v21-021,equip-chair-stable-v21,equip-chair-stable-v21,clara,Use a sturdy chair that will not slide.,training,equipment_first_use,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,assets/audio/voice/clara/equip-chair-stable-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
voice-v21-022,equip-chair-stable-v21,equip-chair-stable-v21,marcus,Use a sturdy chair that will not slide.,training,equipment_first_use,instruction,reuse_exact_existing_pair,stale_fingerprint_refresh,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,assets/audio/voice/marcus/equip-chair-stable-v21.mp3,false,false,false,src/audio/manifest.ts,src/audio/voiceV21AudioManifest.ts,already_current_skip,,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
