logicalCueKey,exactScript,flow,category,policyId,requiredForVoiceFirst,voiceIdsNeeded,currentPhysicalCandidate,reuseDecision,reasonForGeneration,budgetClass,sourceArtifact,notes
checkup-balance-feet-together-v21,Feet together. Keep your eyes open and support within reach.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-feet-together,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing generic cue omits eyes-open/support language.
checkup-balance-next-stance-v21,Nicely done. I will guide the next stance.,balance_v2,balance_control,result_transition,true,clara;marcus,item-complete-v21,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_control,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Generic completion lacks next-stance meaning.
checkup-balance-semi-tandem-left-v21,Place your left foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-semi-tandem,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-right-v21,Place your right foot half a step forward. Keep your eyes open.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-semi-tandem,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-single-leg-left-v21,Stand on your left leg and lift your right foot slightly.,balance_v2,balance_setup,instruction,true,clara;marcus,checkup-balance-single-leg-v21,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-single-leg-right-v21,Stand on your right leg and lift your left foot slightly.,balance_v2,balance_setup,instruction,true,clara;marcus,checkup-balance-single-leg-v21,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue uses placeholder selected leg.
checkup-balance-support-touch-v21,Support touch noted. Balance check complete.,balance_v2,balance_control,instruction,true,clara;marcus,checkup-balance-support-touch-v21,new_pair_required,missing_exact_clara_marcus_pair,balance_v2_control,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Needed if explicit support-touch action should be acknowledged by voice.
checkup-balance-tandem-left-v21,Place your left foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-tandem,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
checkup-balance-tandem-right-v21,Place your right foot directly in front heel to toe. Keep your eyes open.,balance_v2,balance_setup,instruction,true,clara;marcus,balance-tandem,existing_pair_script_mismatch,current_candidate_script_mismatch,balance_v2_stage_setup,docs/audits/HALE_EYES_OPEN_BALANCE_V2_VOICE_ASSET_REQUIREMENTS.csv;src/movements/balanceEyesOpenV2.ts,Existing cue has no selected lead-foot side.
equip-balance-support-v21,Keep support within easy reach.,training,equipment_first_use,instruction,true,clara;marcus,balance_support_within_reach,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-chair-stable-v21,Use a sturdy chair that will not slide.,training,equipment_first_use,instruction,true,clara;marcus,chair_use_sturdy_chair,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-door-anchor-v21,Use a secure closed door anchor and test light tension first.,training,equipment_first_use,instruction,true,clara;marcus,door_anchor_fully_closed+door_anchor_test_light_tension,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-floor-transition-v21,Move down to the floor and settle into the start position.,training,equipment_first_use,instruction,true,clara;marcus,floor_slow_transition,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-long-band-v21,Check the band first and keep it away from your face.,training,equipment_first_use,instruction,true,clara;marcus,band_inspect_before_use+band_face_and_eyes_clear,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-step-stable-v21,"Use the lowest stable step, with support nearby.",training,equipment_first_use,instruction,true,clara;marcus,step_use_low_stable_step+step_fixed_support_nearby,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-support-close-v21,Keep sturdy support within easy reach.,training,equipment_first_use,instruction,true,clara;marcus,support_keep_support_within_reach,existing_pair_script_mismatch,current_candidate_script_mismatch,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
ex-balance-feet-together-hold-first-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",training,exercise_first_use,instruction,true,clara;marcus,ex-balance-feet-together-hold-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-feet-together-hold-next-v21,Feet-together hold.,training,exercise_later_set,instruction,true,clara;marcus,ex-balance-feet-together-hold-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-single-leg-hold-first-v21,Single-leg hold. Keep support close.,training,exercise_first_use,instruction,true,clara;marcus,ex-balance-single-leg-hold-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-single-leg-hold-next-v21,Single-leg hold.,training,exercise_later_set,instruction,true,clara;marcus,ex-balance-single-leg-hold-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-tandem-hold-first-v21,Tandem hold. Keep support close.,training,exercise_first_use,instruction,true,clara;marcus,ex-balance-tandem-hold-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-tandem-hold-next-v21,Tandem hold.,training,exercise_later_set,instruction,true,clara;marcus,ex-balance-tandem-hold-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-band-pull-apart-first-v21,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",training,exercise_first_use,instruction,true,clara;marcus,ex-band-pull-apart-first-v21,new_pair_required,missing_exact_clara_marcus_pair,ordinary_first_use_pre_countdown,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-band-pull-apart-next-v21,Band pull-apart.,training,exercise_later_set,instruction,true,clara;marcus,ex-band-pull-apart-next-v21,new_pair_required,missing_exact_clara_marcus_pair,later_set_reminder,src/training/voiceV21/assets.ts;src/training/voiceV21/contracts.ts,No current physical pair exists for this logical Training Voice V2.1 cue.
