scenarioId,variantId,category,evidenceMethod,sourceFunctions,initialState,eventSequence,expectedOutcome,observedOutcome,passed,findingRuleIds,metricTags,testCoverage,notes
step_up_left_first_set_12_reps,base,normal,state_machine,deriveStepUpAlternationPlanForExerciseId;advanceStepUpAlternationState;summarizeStepUpSetResult,"{""initialLeadSide"":""left"",""setIndex"":0}","[""12 accepted expected-lead reps""]","{""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""setCompleted"":true}","{""setIndex"":0,""startLeadSide"":""left"",""targetTotalReps"":12,""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""alternationValid"":true,""completedTarget"":true,""repEvidence"":[{""repAttemptId"":""step_up_left_first_set_12_reps-rep-1"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-2"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-3"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-4"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-5"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-6"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-7"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-8"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-9"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-10"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-11"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_left_first_set_12_reps-rep-12"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""}],""repSfxCount"":12,""phase"":""set_complete""}",true,,valid_set;rep_sfx,src/training/stepUpAlternation/__tests__/stepUpAlternation.test.ts,
step_up_right_first_set_12_reps,base,normal,state_machine,deriveStepUpAlternationPlanForExerciseId;advanceStepUpAlternationState;summarizeStepUpSetResult,"{""initialLeadSide"":""right"",""setIndex"":0}","[""12 accepted expected-lead reps""]","{""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""setCompleted"":true}","{""setIndex"":0,""startLeadSide"":""right"",""targetTotalReps"":12,""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""alternationValid"":true,""completedTarget"":true,""repEvidence"":[{""repAttemptId"":""step_up_right_first_set_12_reps-rep-1"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-2"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-3"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-4"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-5"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-6"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-7"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-8"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-9"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-10"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-11"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""step_up_right_first_set_12_reps-rep-12"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""}],""repSfxCount"":12,""phase"":""set_complete""}",true,,valid_set;rep_sfx,,
step_up_three_sets_left_initial,base,normal,state_machine_progression,setStartLeadForIndex;summarizeStepUpAlternationProgression,{},[],"{""setStartLeadSides"":[""left"",""right"",""left""],""progressionEligible"":true}","{""setStartLeadSides"":[""left"",""right"",""left""],""progressionEligible"":true,""completedSetCount"":3}",true,,progression,,
step_up_three_sets_right_initial,base,normal,state_machine_progression,setStartLeadForIndex;summarizeStepUpAlternationProgression,{},[],"{""setStartLeadSides"":[""right"",""left"",""right""],""progressionEligible"":true}","{""setStartLeadSides"":[""right"",""left"",""right""],""progressionEligible"":true,""completedSetCount"":3}",true,,progression,,
step_up_six_left_six_right,base,normal,aggregation,summarizeStepUpSetResult,{},[],"{""leftLeadRepCount"":6,""rightLeadRepCount"":6}","{""leftLeadRepCount"":6,""rightLeadRepCount"":6}",true,,side_balance,,
step_up_both_feet_floor_each_rep,base,normal,event_rows,resolveStepUpRepEvidence,{},[],"{""allAcceptedHaveStartAndReturnFloor"":true}","{""acceptedWithoutStart"":0,""acceptedWithoutReturn"":0}",true,,floor_boundary,,
wrong_lead_on_first_rep,base,invalid_wrong_lead,state_machine,resolveStepUpRepEvidence;advanceStepUpAlternationState,{},[],"{""credited"":false,""expectedLeadSide"":""left""}","{""endReason"":""wrong_lead"",""acceptedRepCount"":0,""expectedLeadSide"":""left""}",true,,wrong_lead,,
wrong_lead_after_five_reps,base,invalid_wrong_lead,state_machine,resolveStepUpRepEvidence;advanceStepUpAlternationState,{},[],"{""acceptedBeforeWrong"":5,""noCreditForWrong"":true}","{""endReason"":""wrong_lead"",""acceptedRepCount"":5,""expectedLeadSide"":""right""}",true,,wrong_lead,,
wrong_lead_returns_to_floor_then_corrects,base,invalid_wrong_lead,state_machine,advanceStepUpAlternationState,{},"[""wrong lead"",""FLOOR_READY"",""correct lead""]","{""correctedAccepted"":true,""acceptedRepCount"":1}","{""acceptedRepCount"":1,""expectedLeadSide"":""right""}",true,,wrong_lead,,
wrong_lead_does_not_flip_expected,base,invalid_wrong_lead,event_rows,advanceStepUpAlternationState,{},[],"{""wrongAttemptExpectedLeadFlipCount"":0}","{""expectedBefore"":""left"",""expectedAfter"":""left""}",true,,wrong_lead_flip,,
generic_rep_without_lead_evidence_rejected,base,invalid_wrong_lead,state_machine,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,,unknown_lead,,
opposite_chain_clearer_not_auto_credited,base,invalid_wrong_lead,state_machine,resolveStepUpRepEvidence,{},[],"{""credited"":false,""observedLeadSide"":null}","{""endReason"":""invalid_phase"",""observedLeadSide"":null,""acceptedRepCount"":0}",true,,conservative_evidence,,
top_reached_no_floor_return,base,boundary_duplicate,state_machine,resolveStepUpRepEvidence,{},[],"{""credited"":false}","{""endReason"":""invalid_phase"",""acceptedRepCount"":0}",true,,floor_boundary,,
