scenarioId,exerciseId,sourcePrescription,dosePlanVersion,initialStartSide,roundIndex,sideOrder,currentSide,event,target,completedDose,leftTotal,rightTotal,restEntered,roundCompleted,exerciseCompleted,progressionEligible,restoreOutcome,featureState,testCoverage,notes
balance-single-leg-hold_normal_left_first,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,normal_plan,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left leg
balance-single-leg-hold_normal_right_first,balance-single-leg-hold,3 x 15000 hold_ms,1,right,0,right->left,right,normal_plan,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right leg
balance-tandem-hold_normal_left_first,balance-tandem-hold,3 x 20000 hold_ms,1,left,0,left->right,left,normal_plan,10000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left foot in front
balance-tandem-hold_normal_right_first,balance-tandem-hold,3 x 20000 hold_ms,1,right,0,right->left,right,normal_plan,10000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right foot in front
chair-supported-split-squat_normal_left_first,chair-supported-split-squat,2 x 8 reps,1,left,0,left->right,left,normal_plan,4,0,8,8,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left leg forward
chair-supported-split-squat_normal_right_first,chair-supported-split-squat,2 x 8 reps,1,right,0,right->left,right,normal_plan,4,0,8,8,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right leg forward
seated-hamstring-reach_normal_left_first,seated-hamstring-reach,2 x 12000 rom_window_ms,1,left,0,left->right,left,normal_plan,6000,0,12000,12000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left leg extended
seated-hamstring-reach_normal_right_first,seated-hamstring-reach,2 x 12000 rom_window_ms,1,right,0,right->left,right,normal_plan,6000,0,12000,12000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right leg extended
supported-hip-flexor-stretch_normal_left_first,supported-hip-flexor-stretch,2 x 30000 timer_ms,1,left,0,left->right,left,normal_plan,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left hip side
supported-hip-flexor-stretch_normal_right_first,supported-hip-flexor-stretch,2 x 30000 timer_ms,1,right,0,right->left,right,normal_plan,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right hip side
wall-calf-stretch_normal_left_first,wall-calf-stretch,2 x 30000 timer_ms,1,left,0,left->right,left,normal_plan,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Left calf
wall-calf-stretch_normal_right_first,wall-calf-stretch,2 x 30000 timer_ms,1,right,0,right->left,right,normal_plan,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Right calf
single_leg_direct_candidate_or_minimum_adjustment,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,direct_half_set,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
hamstring_direct_candidate_or_minimum_adjustment,seated-hamstring-reach,2 x 12000 rom_window_ms,1,left,0,left->right,left,direct_half_set,6000,0,12000,12000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
readiness_scaled_time_target,balance-single-leg-hold,2 x 10000 hold_ms,1,left,0,left->right,left,scaled_time,5000,0,10000,10000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
readiness_scaled_rep_target,chair-supported-split-squat,2 x 6 reps,1,left,0,left->right,left,scaled_reps,3,0,6,6,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
short_session_one_source_set,wall-calf-stretch,1 x 30000 timer_ms,1,left,0,left->right,left,short_session,15000,0,15000,15000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
odd_total_rep_target_blocked,chair-supported-split-squat,3 x 5 reps,1,left,0,,left,blocked,0,0,0,0,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,ODD_TOTAL_REPS
fractional_time_voice_target,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,voice_target,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,Hold until I say switch.
exact_total_dose_preserved_all_six,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,matrix,0,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,all six exact
no_rest_between_sides,chair-supported-split-squat,2 x 8 reps,1,left,0,left->right,left,side_switch,4,0,8,8,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
rest_after_second_side,chair-supported-split-squat,2 x 8 reps,1,left,0,left->right,left,round_complete,4,0,8,8,true,true,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
round_start_side_alternates,balance-tandem-hold,3 x 20000 hold_ms,1,right,0,right->left,right,alternates,10000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
final_round_completes_exercise,balance-tandem-hold,3 x 20000 hold_ms,1,right,0,right->left,right,exercise_complete,10000,0,30000,30000,false,false,true,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
same_side_duplicate_rejected,wall-calf-stretch,2 x 30000 timer_ms,1,left,0,left->right,left,stale_rejected,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,ignored=1
tracking_loss_first_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,restart_current_side,7500,0,22500,22500,false,false,false,false,side_setup,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
tracking_loss_second_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,preserve_first_side,7500,0,22500,22500,false,false,false,false,first_side_preserved,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
restore_between_sides,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,restore,7500,0,22500,22500,false,false,false,false,second_side_setup,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
restore_during_first_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,restore,7500,0,22500,22500,false,false,false,false,current_side_setup,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
restore_during_second_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,restore,7500,0,22500,22500,false,false,false,false,second_side_setup,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
stale_first_side_callback,wall-calf-stretch,2 x 30000 timer_ms,1,left,0,left->right,left,stale_rejected,15000,0,30000,30000,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
background_during_second_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,restart_current_side,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
skip_during_first_side,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,exit_exercise,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
cancel_between_sides,balance-single-leg-hold,3 x 15000 hold_ms,1,left,0,left->right,left,cancel_exercise,7500,0,22500,22500,false,false,false,false,,default_closed,src/training/bothSidesRounds/__tests__/bothSidesRounds.test.ts,
