logicalCueKey,exactScript,category,policyId,requiredness,microCheckTypes,sideVariant,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,budgetClass,claraDurationSecMeasuredCurrentMp3,marcusDurationSecMeasuredCurrentMp3,logicalDurationMode,logicalDurationEstimateSec,notes
countdown-one,One.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-one,One.,true,true,true,reuse_exact_existing_pair,false,countdown,0.604,0.604,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
countdown-three,Three.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-three,Three.,true,true,true,reuse_exact_existing_pair,false,countdown,0.789,0.789,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
countdown-two,Two.,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,countdown-two,Two.,true,true,true,reuse_exact_existing_pair,false,countdown,0.743,0.743,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
final-position-set-v21,You're set.,final_position,setup_recovery,required,chair-power;single-leg-balance;mobility-reach,shared,final-position-set-v21,You're set.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,1.115,0.975,measured_current_mp3,1.030,Exact Clara/Marcus physical pair exists in the current bundled corpus.
go,Go!,countdown,critical_window,required,chair-power;single-leg-balance;mobility-reach,shared,go,Go!,true,true,true,reuse_exact_existing_pair,false,countdown,0.789,0.557,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-chair-power-v21,Five quick chair stands. Arms crossed. Stand and sit five times as quickly as safely comfortable.,micro_instruction,instruction,required,chair-power,none,micro-chair-power-v21,Five quick chair stands. Arms crossed. Stand and sit five times as quickly as safely comfortable.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,6.502,7.709,measured_current_mp3,5.790,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-discard-v21,Check discarded.,control,result_transition,required,chair-power;single-leg-balance;mobility-reach,shared,micro-discard-v21,Check discarded.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,1.300,1.254,measured_current_mp3,1.030,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-mobility-left-v21,Quick mobility check. Extend your left leg and reach gently until I say relax.,micro_instruction,instruction,required,mobility-reach,left,micro-mobility-left-v21,Quick mobility check. Extend your left leg and reach gently until I say relax.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,5.341,4.830,measured_current_mp3,5.110,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-mobility-right-v21,Quick mobility check. Extend your right leg and reach gently until I say relax.,micro_instruction,instruction,required,,shared,micro-mobility-right-v21,Quick mobility check. Extend your right leg and reach gently until I say relax.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,5.155,4.876,measured_current_mp3,5.110,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-relax-v21,Relax.,active_stop,critical_stop,required,chair-power;single-leg-balance;mobility-reach,shared,micro-relax-v21,Relax.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,1.022,0.929,measured_current_mp3,0.690,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-single-leg-left-v21,Quick balance check. Stand on your left leg with support nearby. Hold as long as comfortable.,micro_instruction,instruction,required,single-leg-balance,left,micro-single-leg-left-v21,Quick balance check. Stand on your left leg with support nearby. Hold as long as comfortable.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,5.619,5.387,measured_current_mp3,5.790,Exact Clara/Marcus physical pair exists in the current bundled corpus.
micro-single-leg-right-v21,Quick balance check. Stand on your right leg with support nearby. Hold as long as comfortable.,micro_instruction,instruction,required,,shared,micro-single-leg-right-v21,Quick balance check. Stand on your right leg with support nearby. Hold as long as comfortable.,true,true,true,reuse_exact_existing_pair,false,micro_check_setup,5.805,5.991,measured_current_mp3,5.790,Exact Clara/Marcus physical pair exists in the current bundled corpus.
microcheck-complete-v21,Check complete.,completion,result_transition,required,chair-power;single-leg-balance;mobility-reach,shared,microcheck-complete-v21,Check complete.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,1.300,1.161,measured_current_mp3,1.030,Exact Clara/Marcus physical pair exists in the current bundled corpus.
