scenarioId,protocolId,protocolVersion,batteryVersion,selectedSide,stageId,stageOrder,event,maintainedMs,endReason,nextStage,ladderEnded,trackingRetry,comparabilityOutcome,seriesKey,voiceCueKeys,requiredAssetStatus,resultValid,testCoverage,notes
EOBV2-001,home_balance_eyes_open_v2,2,2,left,feet_together_eyes_open_v2,1,completed_cap,10000,completed_cap,semi_tandem_eyes_open_v2,false,false,establishes_new_baseline,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|left,"checkup-balance-intro-v21;countdown-three;countdown-two;countdown-one;go;times-up-v21",audio_pending_blocked,true,controller_test,Full cap advances one stage.
EOBV2-002,home_balance_eyes_open_v2,2,2,left,feet_together_eyes_open_v2,1,early_loss,4200,step_detected,,true,false,establishes_new_baseline,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|left,"checkup-balance-intro-v21;countdown-three;countdown-two;countdown-one;go;mpv2_balance_complete",audio_pending_blocked,true,controller_test,Early loss ends ladder.
EOBV2-003,home_balance_eyes_open_v2,2,2,right,semi_tandem_eyes_open_v2,2,early_loss,4500,step_detected,,true,false,establishes_new_baseline,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|right,"balance-semi-tandem;countdown-three;countdown-two;countdown-one;go;mpv2_balance_complete",audio_pending_blocked,true,controller_test,Lead foot is selected right side.
EOBV2-004,home_balance_eyes_open_v2,2,2,right,tandem_eyes_open_v2,3,early_loss,6000,stance_lost,,true,false,establishes_new_baseline,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|right,"balance-tandem;countdown-three;countdown-two;countdown-one;go;mpv2_balance_complete",audio_pending_blocked,true,source_audit,No advancement to single-leg after loss.
EOBV2-005,home_balance_eyes_open_v2,2,2,left,single_leg_eyes_open_v2,4,early_loss,3200,touchdown,,true,false,same_protocol_comparable,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|left,"balance-single-leg;countdown-three;countdown-two;countdown-one;go;mpv2_balance_complete",audio_pending_blocked,true,source_audit,Single-leg uses selected standing leg.
EOBV2-006,home_balance_eyes_open_v2,2,2,left,semi_tandem_eyes_open_v2,2,tracking_interruption,0,tracking_interrupted,semi_tandem_eyes_open_v2,false,true,establishes_new_baseline,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|left,"tracking-loss-v21;tracking-recovered-v21;retry-v21;countdown-three;countdown-two;countdown-one;go",audio_pending_blocked,false,controller_test,Partial time discarded and same stage retried.
EOBV2-007,home_balance_eyes_open_v2,2,2,right,tandem_eyes_open_v2,3,user_reported_support,7200,support_touch_user_reported,,true,false,reduced_comparability,, "balance-tandem;countdown-three;countdown-two;countdown-one;go;mpv2_balance_complete",audio_pending_blocked,true,source_audit,Visible user action ends ladder validly.
EOBV2-008,home_balance_eyes_open_v2,2,2,left,single_leg_eyes_open_v2,4,completed_cap,12000,completed_cap,,true,false,same_protocol_comparable,home_balance_eyes_open_ladder|home_balance_eyes_open_v2|v2|standing_leg|left,"balance-single-leg;countdown-three;countdown-two;countdown-one;go;times-up-v21;mpv2_balance_complete",audio_pending_blocked,true,controller_test,All four stages complete ladder.
EOBV2-009,home_balance_eyes_open_v2,2,2,left,feet_together_eyes_open_v2,1,first_v2_after_old_mpv2,10000,completed_cap,semi_tandem_eyes_open_v2,false,false,different_protocol_raw_only,, "checkup-balance-intro-v21;countdown-three;countdown-two;countdown-one;go",audio_pending_blocked,true,comparability_test,Old MPV2 anchor may recommend side but starts new series.
EOBV2-010,home_balance_eyes_open_v2,2,2,right,feet_together_eyes_open_v2,1,opposite_side_fallback,10000,completed_cap,semi_tandem_eyes_open_v2,false,false,reduced_comparability,, "checkup-balance-intro-v21;countdown-three;countdown-two;countdown-one;go",audio_pending_blocked,true,metadata_test,Fallback does not replace official V2 anchor.
