scenarioId,category,exerciseId,capabilityStatus,floorSpace,dailyContext,releaseStatus,entryPath,planOutcome,substituteExerciseId,skipReason,capabilitySnapshotValid,floorTransitionDue,finalPositionPhase,countdownAllowed,activeAllowed,voiceCueKeys,blockers,passed,testCoverage,notes
floor_capability_yes,capability_ui,,confirmed,,ready,,capability_ui,confirmed_written,,,,,,false,false,,,true,SafetyProfileScreen.floorTransfer.test.ts,Yes maps to confirmed.
floor_capability_no,capability_ui,,avoid_for_now,,ready,,capability_ui,avoid_written,,,,,,false,false,,,true,SafetyProfileScreen.floorTransfer.test.ts,No maps to avoid_for_now.
floor_capability_unsure,capability_ui,,avoid_for_now,,ready,,capability_ui,avoid_written,,,,,,false,false,,,true,SafetyProfileScreen.floorTransfer.test.ts,Not sure maps to avoid_for_now.
floor_capability_cancel,capability_ui,,not_confirmed,,ready,,capability_ui,unchanged_no_start,,,,,,false,false,,,true,Safety/Profile edit contract,Cancel leaves canonical status unchanged.
floor_capability_missing_legacy,capability,,not_confirmed,,ready,,capability,blocked_missing_normalizes,,,,,,false,false,,,true,profile movementCapabilities tests,Missing profile defaults to not_confirmed.
floor_capability_malformed,capability,glute-bridge-hold,not_confirmed,true,ready,,capability,blocked_malformed,,floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Malformed capability fails closed.
floor_capability_settings_edit,capability_ui,,avoid_for_now,,ready,,capability_ui,future_plans_only,,,,,,false,false,,,true,SafetyProfileScreen.floorTransfer.test.ts,Settings edit writes canonical status.
glute-bridge-hold_floor_space_confirmed,eligibility,glute-bridge-hold,confirmed,true,ready,v1_core,eligibility,eligible,,,,,,true,true,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-hold_floor_space_avoid,eligibility,glute-bridge-hold,avoid_for_now,true,ready,v1_core,eligibility,blocked,,floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-hold_floor_space_unconfirmed,eligibility,glute-bridge-hold,not_confirmed,true,ready,v1_core,eligibility,blocked,,floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-hold_confirmed_without_floor_space,eligibility,glute-bridge-hold,confirmed,false,ready,v1_core,eligibility,blocked,,floor_space_missing,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-hold_neither,eligibility,glute-bridge-hold,not_confirmed,false,ready,v1_core,eligibility,blocked,,floor_space_missing|floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-hold_hip_discomfort,eligibility,glute-bridge-hold,confirmed,true,hip_discomfort,v1_core,eligibility,blocked,,daily_context_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_floor_space_confirmed,eligibility,glute-bridge-reps,confirmed,true,ready,v1_core,eligibility,eligible,,,,,,true,true,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_floor_space_avoid,eligibility,glute-bridge-reps,avoid_for_now,true,ready,v1_core,eligibility,blocked,,floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_floor_space_unconfirmed,eligibility,glute-bridge-reps,not_confirmed,true,ready,v1_core,eligibility,blocked,,floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_confirmed_without_floor_space,eligibility,glute-bridge-reps,confirmed,false,ready,v1_core,eligibility,blocked,,floor_space_missing,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_neither,eligibility,glute-bridge-reps,not_confirmed,false,ready,v1_core,eligibility,blocked,,floor_space_missing|floor_transfer_not_confirmed,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
glute-bridge-reps_hip_discomfort,eligibility,glute-bridge-reps,confirmed,true,hip_discomfort,v1_core,eligibility,blocked,,daily_context_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Production eligibility helper result.
push-up-standard_floor_space_confirmed,eligibility,push-up-standard,confirmed,true,ready,v1_optional,eligibility,blocked,,release_policy_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Optional push-up remains blocked by release policy.
push-up-standard_floor_space_avoid,eligibility,push-up-standard,avoid_for_now,true,ready,v1_optional,eligibility,blocked,,floor_transfer_not_confirmed|release_policy_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Optional push-up remains blocked by release policy.
push-up-standard_floor_space_unconfirmed,eligibility,push-up-standard,not_confirmed,true,ready,v1_optional,eligibility,blocked,,floor_transfer_not_confirmed|release_policy_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Optional push-up remains blocked by release policy.
push-up-standard_confirmed_without_floor_space,eligibility,push-up-standard,confirmed,false,ready,v1_optional,eligibility,blocked,,floor_space_missing|release_policy_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Optional push-up remains blocked by release policy.
push-up-standard_neither,eligibility,push-up-standard,not_confirmed,false,ready,v1_optional,eligibility,blocked,,floor_space_missing|floor_transfer_not_confirmed|release_policy_blocked,,,,false,false,,,true,floorExerciseEligibility.test.ts,Optional push-up remains blocked by release policy.
direct_helper_cannot_bypass,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
main_plan_floor_eligible,planning,glute-bridge-hold,confirmed,true,ready,,planning,eligible,,,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
main_plan_floor_substituted,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,hip-hinge-wall,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
main_plan_floor_skipped_honestly,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
short_session_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
restart_session_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
supporting_session_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
manual_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
explore_detail_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
explore_preset_floor_gate,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
manual_substitute_requires_confirmation,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
floor_denial_no_false_focus_credit,planning,glute-bridge-hold,not_confirmed,true,ready,,planning,blocked_or_substituted,,floor_transfer_not_confirmed,,,,false,false,,,true,workoutGeneration/sessionPlanning/exploreViewModel suites,Central eligibility helper is shared by generated/manual/direct planning paths.
local_profile_roundtrip,persistence,,confirmed,,ready,,persistence,roundtrip_preserved,,,,,,false,false,,,true,profile serialize tests,Local serialization preserves movementCapabilities.floorTransfer.status.
backend_profile_roundtrip,persistence,,confirmed,,ready,,persistence,roundtrip_preserved,,,,,,false,false,,,true,profileSyncService/restoreService tests,Backend safety_json merge/restore preserves canonical capability.
restore_does_not_promote_capability,persistence,,not_confirmed,,ready,,persistence,blocked_not_promoted,,default_unknown,,,,false,false,,,true,restoreService tests,Training state cannot promote capability.
capability_change_invalidates_plan,stale_plan,,avoid_for_now,,ready,,stale_plan,capability_changed,,plan_movement_capability_fingerprint_mismatch,false,,,false,false,,,true,profile movementCapabilities/sessionPlanning tests,Snapshot fingerprint changes on floor capability change.
missing_snapshot_fails_closed,stale_plan,,confirmed,,ready,,stale_plan,missing_plan_snapshot,,,false,,,false,false,,,true,profile movementCapabilities tests,Current plans missing movement capability snapshot fail closed.
legacy_plan_refreshes_conservatively,stale_plan,,not_confirmed,,ready,,stale_plan,legacy_refresh_required,,,false,,,false,false,,,true,sessionPlanning tests,Legacy missing snapshot follows conservative refresh path.
richer_capability_metadata_preserved,persistence,,confirmed,,ready,,persistence,richer_metadata_preserved,,,,,,false,false,,,true,profileSyncService tests,Merge uses current movement capability record authority.
standing_framing_not_floor_ready,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_user_transition,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
bridge_hold_final_position,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,ready_then_countdown,,,,,ready,true,true,floor_slow_transition|ex-glute-bridge|final-position-set-v21|countdown-three|go,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
bridge_reps_final_position,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,ready_then_countdown,,,,,ready,true,true,floor_slow_transition|ex-glute-bridge|final-position-set-v21|countdown-three|go,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
pushup_standard_final_position,final_position,push-up-standard,confirmed,true,ready,,final_position,ready_then_countdown,,,,,ready,true,true,floor_slow_transition|ex-push-up|final-position-set-v21|countdown-three|go,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
user_confirmation_without_visibility_blocked,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_visibility,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
visibility_without_required_confirmation_blocked,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,blocked_until_ready,,,,,awaiting_user_transition,false,false,floor_slow_transition|ex-glute-bridge,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
final_position_then_target_then_countdown,final_position,glute-bridge-hold,confirmed,true,ready,,final_position,ready_then_countdown,,,,,ready,true,true,floor_slow_transition|ex-glute-bridge|final-position-set-v21|countdown-three|go,,true,sessionPlayer.test.ts,Default-closed floor V2.1 runtime gate requires explicit confirmation plus movement camera readiness.
