queueId,reviewGroup,priority,voiceId,logicalCueKey,physicalCueKey,path,durationMs,script,reason,approvalStatus,notes
post-v21-listen-0001,generated_script_mismatch_replacement,P1,clara,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,3947,Feet together. Keep your eyes open and support within reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing generic cue omits eyes-open/support language.
post-v21-listen-0002,generated_script_mismatch_replacement,P1,marcus,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,assets/audio/voice/marcus/checkup-balance-feet-together-v21.mp3,3576,Feet together. Keep your eyes open and support within reach.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing generic cue omits eyes-open/support language.
post-v21-listen-0003,critical_exact_ready_shared_cue,P1,clara,checkup-balance-intro-v21,checkup-balance-intro-v21,assets/audio/voice/clara/checkup-balance-intro-v21.mp3,4690,Balance check. Keep support within easy reach. I will guide each stance.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0004,critical_exact_ready_shared_cue,P1,marcus,checkup-balance-intro-v21,checkup-balance-intro-v21,assets/audio/voice/marcus/checkup-balance-intro-v21.mp3,5016,Balance check. Keep support within easy reach. I will guide each stance.,Critical shared/countdown/check-up cue; include even if exact-ready before this generation pass.,not_reviewed,Shared cue should be heard in context before approval.
post-v21-listen-0005,generated_script_mismatch_replacement,P1,clara,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,2601,Nicely done. I will guide the next stance.,Every generated V2.1 asset requires founder listening.,not_reviewed,Generic completion lacks next-stance meaning.
post-v21-listen-0006,generated_script_mismatch_replacement,P1,marcus,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,assets/audio/voice/marcus/checkup-balance-next-stance-v21.mp3,2136,Nicely done. I will guide the next stance.,Every generated V2.1 asset requires founder listening.,not_reviewed,Generic completion lacks next-stance meaning.
post-v21-listen-0007,generated_script_mismatch_replacement,P1,clara,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,3622,Place your left foot half a step forward. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0008,generated_script_mismatch_replacement,P1,marcus,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,assets/audio/voice/marcus/checkup-balance-semi-tandem-left-v21.mp3,3390,Place your left foot half a step forward. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0009,generated_script_mismatch_replacement,P1,clara,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,3715,Place your right foot half a step forward. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
post-v21-listen-0010,generated_script_mismatch_replacement,P1,marcus,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,assets/audio/voice/marcus/checkup-balance-semi-tandem-right-v21.mp3,3251,Place your right foot half a step forward. Keep your eyes open.,Every generated V2.1 asset requires founder listening.,not_reviewed,Existing cue has no selected lead-foot side.
