cueKey,currentFlowReachability,v21Lifecycle,legacyRequired,conditionalLegacyReason,retireAfterFeatureGate,physicalAssetAction,manifestAction,notes
balance_no_eyes_closed_or_unstable_surface,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance_stop_if_unsteady,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance_support_within_reach,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance_supported_if_hesitant,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-feet-together,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-intro,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-semi-tandem,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-setup,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-single-leg,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
balance-tandem,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_anchor_feet_secure,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_controlled_return,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_do_not_overstretch,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_face_and_eyes_clear,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_inspect_before_use,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_never_release_under_tension,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_secure_grip,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_stable_stance,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
band_stop_if_slips_or_shifts,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
center-yourself,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
chair_controlled_sit,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
chair_use_sturdy_chair,legacy_safety_or_setup,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
chair-stand-intro,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
chair-stand-setup,legacy_shared_or_current_manifest,legacy_only,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-feet-together-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-intro-v21,balance_v2;movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-next-stance-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-semi-tandem-left-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-semi-tandem-right-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-single-leg-left-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-single-leg-right-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-single-leg-v21,movement_checkup,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-support-touch-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
checkup-balance-tandem-left-v21,balance_v2,physical_ready,true,,false,keep,no_change_in_schema_task,Classified from current physical corpus.
