physicalCueKey,logicalCueKey,voiceId,path,exists,sha256,durationMs,fileSizeBytes,sampleRateHz,channels,script,sourceBacklogRow,reuseDecision,generationStatus,manifestRegistered,fingerprintStatus,notes
checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,clara,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,true,ace10d61647d2e470be13c2232edfd3a3d45073ab79c58ed6b1e4191f166ef49,3947,64409,44100,1,Feet together. Keep your eyes open and support within reach.,1,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,marcus,assets/audio/voice/marcus/checkup-balance-feet-together-v21.mp3,true,61b5c5af4966b7eac9687e5ef3250da56fa5bac0034567c172579ded50920768,3483,56886,44100,1,Feet together. Keep your eyes open and support within reach.,1,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,clara,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,true,2d0874d3fb1aef62285266dc4bada7678ec170125855ad9461ac8406b234921a,2368,38914,44100,1,Nicely done. I will guide the next stance.,2,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,marcus,assets/audio/voice/marcus/checkup-balance-next-stance-v21.mp3,true,860f7d3d80b5877ef368c03b32a5159e62b352de7f0bd5a3fcc060717e9db339,2229,36824,44100,1,Nicely done. I will guide the next stance.,2,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,clara,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,true,e9ac019715af4fdb4831b93d3383837011494631ed0323161d4ef9b860cf5983,3715,60648,44100,1,Place your left foot half a step forward. Keep your eyes open.,3,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,marcus,assets/audio/voice/marcus/checkup-balance-semi-tandem-left-v21.mp3,true,e475b457c57fb672d548c1cc67ce987118ff321215f6d0fe923c54b575befc54,3297,53960,44100,1,Place your left foot half a step forward. Keep your eyes open.,3,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,clara,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,true,de36af2720038aa20ea7d59f504c7a49bd5aeb68e52136388ddca4ca704055bd,3715,60648,44100,1,Place your right foot half a step forward. Keep your eyes open.,4,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,marcus,assets/audio/voice/marcus/checkup-balance-semi-tandem-right-v21.mp3,true,2494a33fa6faf69fa8935a313dc22448ce63ac40075b15afd1ea082c178299ab,3204,52288,44100,1,Place your right foot half a step forward. Keep your eyes open.,4,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,true,e6521edfacecc6b85a4771b7a238b0c6797b7e9aef860a8b00354997630a1063,3019,49363,44100,1,Stand on your left leg and lift your right foot slightly.,5,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,marcus,assets/audio/voice/marcus/checkup-balance-single-leg-left-v21.mp3,true,ba31148603395b32f3bd2e8b328b1d35305b545a400bb65c52ff6b2f8687f58a,3111,51035,44100,1,Stand on your left leg and lift your right foot slightly.,5,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,true,2c4d6278f36e461cd8c4e71d59fa36cb59d37dc785be14db96dae5917e187bd2,3251,53124,44100,1,Stand on your right leg and lift your left foot slightly.,6,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,marcus,assets/audio/voice/marcus/checkup-balance-single-leg-right-v21.mp3,true,103d265da8ef4f369c275c17b9fb28465232804d05f8114a04a6d780f843f654,2694,44347,44100,1,Stand on your right leg and lift your left foot slightly.,6,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,clara,assets/audio/voice/clara/checkup-balance-support-touch-v21.mp3,true,f4186cfd83970f9e0b15414d1f1f9c9bb6c1302a15a6af4c5cbac3875f5f44c4,3111,51035,44100,1,Support touch noted. Balance check complete.,7,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Needed if explicit support-touch action should be acknowledged by voice.
checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,marcus,assets/audio/voice/marcus/checkup-balance-support-touch-v21.mp3,true,dc7499241875104f88a5d032a87eff4659eafb2f0572ba53ee228ed5a15519d8,2740,44765,44100,1,Support touch noted. Balance check complete.,7,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Needed if explicit support-touch action should be acknowledged by voice.
checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,clara,assets/audio/voice/clara/checkup-balance-tandem-left-v21.mp3,true,e8eba5003f5839bc8125747f7c69388b07cda3686dddd4a1cedaac463ad52eee,4737,76948,44100,1,Place your left foot directly in front heel to toe. Keep your eyes open.,8,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,marcus,assets/audio/voice/marcus/checkup-balance-tandem-left-v21.mp3,true,c99c2a8682800eabb39390724f63eb4ddc02a0ffe6724d264a04b36619c00876,3808,61902,44100,1,Place your left foot directly in front heel to toe. Keep your eyes open.,8,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,clara,assets/audio/voice/clara/checkup-balance-tandem-right-v21.mp3,true,5464a30f42f1a3a019a08d9df8cb05e95f4aaab94caa829eef0d1e5a6deebcbd,4737,76948,44100,1,Place your right foot directly in front heel to toe. Keep your eyes open.,9,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,marcus,assets/audio/voice/marcus/checkup-balance-tandem-right-v21.mp3,true,13f6deac962b60704a367c82f2b3ac9e1249e4d670e1f671775693d022a5e394,4365,71097,44100,1,Place your right foot directly in front heel to toe. Keep your eyes open.,9,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
equip-balance-support-v21,equip-balance-support-v21,clara,assets/audio/voice/clara/equip-balance-support-v21.mp3,true,1209b3312727b1d8cb39d7cb5a42f7cd35f8d4eb64d781a64924eec2e8dba8bf,2183,35988,44100,1,Keep support within easy reach.,10,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
equip-balance-support-v21,equip-balance-support-v21,marcus,assets/audio/voice/marcus/equip-balance-support-v21.mp3,true,accacffc39c58f34bcc102b69f3b73ed7710cc3a81f8d5370a759f9d46b87e5d,1811,30137,44100,1,Keep support within easy reach.,10,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
equip-chair-stable-v21,equip-chair-stable-v21,clara,assets/audio/voice/clara/equip-chair-stable-v21.mp3,true,fbd4a168614d371f0e80685bb7a62a2005eed4085856605e538f3ec63bbf4c15,2601,42675,44100,1,Use a sturdy chair that will not slide.,11,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
equip-chair-stable-v21,equip-chair-stable-v21,marcus,assets/audio/voice/marcus/equip-chair-stable-v21.mp3,true,38d91860a643b1058031f5e3ef52dce51c33fef8a318ddf338a8ad2fc3592f81,2276,37660,44100,1,Use a sturdy chair that will not slide.,11,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
equip-door-anchor-v21,equip-door-anchor-v21,clara,assets/audio/voice/clara/equip-door-anchor-v21.mp3,true,0d282d104515e11f7f58f2a2bd0c6a650bc854fb591a22d602362282aba9d863,12028,193559,44100,1,"Before using the door anchor, make sure the door is fully closed and the anchor feels secure. Test with light tension first. If it does not feel secure, skip this exercise.",12,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved band and anchored-equipment cue pending bundled Clara/Marcus audio regeneration.
equip-door-anchor-v21,equip-door-anchor-v21,marcus,assets/audio/voice/marcus/equip-door-anchor-v21.mp3,true,a9dba0ef921dff5aa8c0181268f5c8601762a82aa30896f129e679289dc71ebe,12725,204844,44100,1,"Before using the door anchor, make sure the door is fully closed and the anchor feels secure. Test with light tension first. If it does not feel secure, skip this exercise.",12,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved band and anchored-equipment cue pending bundled Clara/Marcus audio regeneration.
equip-floor-transition-v21,equip-floor-transition-v21,clara,assets/audio/voice/clara/equip-floor-transition-v21.mp3,true,c211babf61a5abeddd56f811a8995cae2dc49f3e15886808a2a36a8e55334482,9938,160122,44100,1,"Take your time getting down to the floor. Use support if you need it. Once you are comfortable, settle into the starting position and wait for my countdown.",13,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved floor hands-free training cue pending bundled Clara/Marcus audio regeneration.
equip-floor-transition-v21,equip-floor-transition-v21,marcus,assets/audio/voice/marcus/equip-floor-transition-v21.mp3,true,bd9d9f5ebb1e8539049be9f80a50b25b63837e19c455f427d185f7fab428c991,8731,140896,44100,1,"Take your time getting down to the floor. Use support if you need it. Once you are comfortable, settle into the starting position and wait for my countdown.",13,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved floor hands-free training cue pending bundled Clara/Marcus audio regeneration.
equip-long-band-v21,equip-long-band-v21,clara,assets/audio/voice/clara/equip-long-band-v21.mp3,true,33113ebffedd6f7d8efcd83721be1d1fbeb0376d5a6ceaf9c1cda91ee33fb3e5,9056,145911,44100,1,"Before using the band, check that it is not cracked, torn, or frayed. Keep the band away from your face, and use light tension only.",14,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved band and anchored-equipment cue pending bundled Clara/Marcus audio regeneration.
equip-long-band-v21,equip-long-band-v21,marcus,assets/audio/voice/marcus/equip-long-band-v21.mp3,true,983901d780537376609fc879c70c418313cc3cef043c791b1c466ed801e78fe7,8266,133373,44100,1,"Before using the band, check that it is not cracked, torn, or frayed. Keep the band away from your face, and use light tension only.",14,existing_pair_script_mismatch,generated,true,current,Voice V2.1 refresh from final cue registry. Improved band and anchored-equipment cue pending bundled Clara/Marcus audio regeneration.
equip-step-stable-v21,equip-step-stable-v21,clara,assets/audio/voice/clara/equip-step-stable-v21.mp3,true,9090033f5ada3782268339b6ef3b61fe062db2684b6b73e6345795f065771d90,3158,51453,44100,1,"Use the lowest stable step, with support nearby.",15,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
equip-step-stable-v21,equip-step-stable-v21,marcus,assets/audio/voice/marcus/equip-step-stable-v21.mp3,true,63a57148f8f4e50dcee842177a404051084a31939009b376fec255b69d58d2cb,2647,43511,44100,1,"Use the lowest stable step, with support nearby.",15,reuse_exact_existing_pair,skipped_current,true,current,Voice V2.1 refresh from final cue registry. Exact Clara/Marcus pair exists in the current physical manifest.
