scenarioId,variantId,lifecycleType,entityId,operationIndex,operation,inputFingerprint,outputFingerprint,canonicalFieldsBefore,canonicalFieldsAfter,equal,duplicateSuppressed,errorCode,productionFunction,notes
verify_single_set_single_setresult,base,set_result,step-up-set-result,1,emit_once,b69d87de00b1d03ee19a02b7fbb5c4893e037e62add4c343ed28f02babf19869,b69d87de00b1d03ee19a02b7fbb5c4893e037e62add4c343ed28f02babf19869,"{""emitted"":true}","{""emitted"":true}",true,false,,StepUpAlternationSetRuntime.finish;stepUpSetResultToLegacySetResult,set_result proof generated from current production path.
verify_duplicate_finish_single_setresult,base,set_result,step-up-set-result,1,duplicate_finish_suppressed,5e05fd5a6cc13be9f8d8995e05de60221ffd426da314656d7391c3923eccad9d,5e05fd5a6cc13be9f8d8995e05de60221ffd426da314656d7391c3923eccad9d,"{""emittedCount"":1}","{""emittedCount"":1}",true,true,,StepUpAlternationSetRuntime.finish;sessionPlayer set result guard,set_result proof generated from current production path.
verify_setresult_replayed_progression_once,base,progression,step-up-progression-event,1,duplicate_progression_event_suppressed,7af0824fdfa8bf2e39ea09a6741790566e74e2b6c7e6ad7b45e4059f040c7e63,7af0824fdfa8bf2e39ea09a6741790566e74e2b6c7e6ad7b45e4059f040c7e63,"{""consumedCount"":1}","{""consumedCount"":1}",true,true,,summarizeStepUpAlternationProgression;applySessionResult,progression proof generated from current production path.
integration_session_completion_once,base,session_completion,step-up-session-completion,1,duplicate_completion_idempotent,12b454bfb62552b3da8591ce489189047a1d70f29ac35480793eb07ca1a30ce0,12b454bfb62552b3da8591ce489189047a1d70f29ac35480793eb07ca1a30ce0,"{""completionCount"":1}","{""completionCount"":1}",true,true,,TrainingSessionPlayer.result;applyBothSidesExerciseCompletionToStartSideSeed,session_completion proof generated from current production path.
verify_local_roundtrip_safe_boundary,base,local_roundtrip,step-up-local-runtime,1,serialize_restore_safe_boundary,3661c93cd90604cea7276cdd16ff27f210087d2ef8b36ea9e22132ed2e18c977,3661c93cd90604cea7276cdd16ff27f210087d2ef8b36ea9e22132ed2e18c977,"{""expectedLeadSide"":""right"",""planFingerprint"":""sua1_c6eceba6""}","{""expectedLeadSide"":""right"",""planFingerprint"":""sua1_c6eceba6""}",true,false,,serializeTrainingState;deserializeTrainingState,local_roundtrip proof generated from current production path.
verify_local_roundtrip_mid_rep_retires_partial,base,local_roundtrip,step-up-local-runtime-partial,1,restore_retires_partial_attempt,220f3c793b987fb7720cdd37c6cdfc43c18a047ebc094ea9d7de3f87fca0024a,220f3c793b987fb7720cdd37c6cdfc43c18a047ebc094ea9d7de3f87fca0024a,"{""partialCredited"":false}","{""partialCredited"":false}",true,true,,StepUpAlternationSetRuntime(restored);restoreStepUpAlternationRuntimeState,local_roundtrip proof generated from current production path.
verify_backend_roundtrip_generated_plan,base,backend_roundtrip,backend-generated-plan,1,sanitize_restore_generated_plan,261acb8b176917a3f7b3645531c080eb62c2138cb7aaa20a6c9b9705a598bc42,261acb8b176917a3f7b3645531c080eb62c2138cb7aaa20a6c9b9705a598bc42,"{""planFingerprint"":""sua1_c6eceba6""}","{""planFingerprint"":""sua1_c6eceba6""}",true,false,,mapLocalTrainingStateToRemotePayload;mapRemoteTrainingStateToLocal,backend_roundtrip proof generated from current production path.
verify_backend_roundtrip_active_state,base,backend_roundtrip,backend-active-runtime,1,sanitize_restore_active_state,1d6ad8a1bf50bd2651438b0306edceb6f17a60abc61a6c95eed73da8ee6d8062,1d6ad8a1bf50bd2651438b0306edceb6f17a60abc61a6c95eed73da8ee6d8062,"{""runtimeKind"":""step_up_alternation""}","{""runtimeKind"":""step_up_alternation""}",true,false,,mapLocalTrainingStateToRemotePayload;mapRemoteTrainingStateToLocal,backend_roundtrip proof generated from current production path.
verify_backend_roundtrip_side_seed,base,backend_roundtrip,backend-side-seed,1,sanitize_restore_seed,efaa0929e371952039c1925fa7e6635678de4c155846fb31c772329138e051db,efaa0929e371952039c1925fa7e6635678de4c155846fb31c772329138e051db,"{""nextSeed"":""right""}","{""nextSeed"":""right""}",true,false,,mapLocalTrainingStateToRemotePayload;mapRemoteTrainingStateToLocal,backend_roundtrip proof generated from current production path.
verify_backend_richer_metadata_merge,base,backend_merge,backend-richer-metadata,1,restore_preserves_richer_step_up_metadata,d48436ed961bd62cbbbab58c79cdf636890d24e3440876b54f614e52008d7ab3,d48436ed961bd62cbbbab58c79cdf636890d24e3440876b54f614e52008d7ab3,"{""stepUpInitialLeadSide"":""left""}","{""stepUpInitialLeadSide"":""left""}",true,false,,mapRemoteTrainingStateToLocal;validGeneratedExerciseSummaries,backend_merge proof generated from current production path.
