physicalCueKey,logicalCueKeys,voiceId,path,exists,sha256,durationMs,fileSizeBytes,sampleRateHz,channels,manifestRegistered,verifyAudioCovered,metadataStatus,fingerprintStatus,decodeStatus,classification,notes
rep-credit,,sfx,assets/audio/sfx/rep-credit.wav,true,1d35f4f51fa625be1dd9362e237f61cca1b2e7f1e702bd7a36efc04135bfff94,160,7724,24000,1,true,false,not_required_sfx,not_required_sfx,ok,sfx_asset,Non-voice session sound.
balance-feet-together,,clara,assets/audio/voice/clara/balance-feet-together.mp3,true,ef625d83ef99af9764f59cd4a8409a39aa3514234703732c889bf483d3558abf,2368,38914,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance-intro,,clara,assets/audio/voice/clara/balance-intro.mp3,true,c9b87c7a2c690efafdcd581247c3cf1cb299136c7ad65a52bbebe0457724dcc3,9660,155524,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance-semi-tandem,,clara,assets/audio/voice/clara/balance-semi-tandem.mp3,true,e8f952e2a3e1fadfa407699bc6844eadb93182061d8728330957cfeee898463c,4551,74022,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance-setup,,clara,assets/audio/voice/clara/balance-setup.mp3,true,e1c9e71acba2fa89a613013630e35a772e2afb25a4cab032c8c7bf128b85ba6a,7338,118326,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance-single-leg,,clara,assets/audio/voice/clara/balance-single-leg.mp3,true,9ba13a7675048087f9b5e1c4969aa9db4922b1488d82035d6e8c35dc3be4e748,3901,63573,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance-tandem,,clara,assets/audio/voice/clara/balance-tandem.mp3,true,5973ed9f2e15a91fefe37c7a6e9b12cbe7808de87e450f8f807c1d1c75f44c83,3390,55214,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
balance_no_eyes_closed_or_unstable_surface,,clara,assets/audio/voice/clara/balance_no_eyes_closed_or_unstable_surface.mp3,true,4d1aeac66b272f327115e889ad58717e220ff98cd1c74121d4635c490cc79c17,4505,73186,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
balance_stop_if_unsteady,,clara,assets/audio/voice/clara/balance_stop_if_unsteady.mp3,true,69b56666c5c8cbb4797ed658703212781fb1c6cddab42ba881e1f9b2347c8c9b,2833,46437,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
balance_support_within_reach,,clara,assets/audio/voice/clara/balance_support_within_reach.mp3,true,960038b9920717181043cc64acb8678731de400833aa38109789a7bc345424fc,4226,68589,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
balance_supported_if_hesitant,,clara,assets/audio/voice/clara/balance_supported_if_hesitant.mp3,true,92e31ae7bd0e90f64d9fa24ed6dc6038d5438a634b90e187f8dbae8d50425f85,2276,37660,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_anchor_feet_secure,,clara,assets/audio/voice/clara/band_anchor_feet_secure.mp3,true,2bbb258cdf096f92fb6ded59af2c693462d033f866c2ae71a6905697fc281fbc,4598,74440,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_controlled_return,,clara,assets/audio/voice/clara/band_controlled_return.mp3,true,2eb0402b064c0690661484f6d585606283af8948abdba64daf9319376e71ff18,2368,38914,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_do_not_overstretch,,clara,assets/audio/voice/clara/band_do_not_overstretch.mp3,true,d42d142e8f44126ced588982277bbba88e843b13416c54381aecd41d04d4d573,3529,57722,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_face_and_eyes_clear,,clara,assets/audio/voice/clara/band_face_and_eyes_clear.mp3,true,7fe226f7367431ce7461c6d7a431551e57debdde112402482eb82f5288408546,2926,47691,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_inspect_before_use,,clara,assets/audio/voice/clara/band_inspect_before_use.mp3,true,39b4f0a495aecca591ed76575a6e81e4efc8557ce73a52d4badbd240a2fc3815,5108,82799,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_never_release_under_tension,,clara,assets/audio/voice/clara/band_never_release_under_tension.mp3,true,6c1549b8f49ffe27fa2388cccd3b39ca94a053e45df593ffcf625005fedf6cd5,1950,32226,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_secure_grip,,clara,assets/audio/voice/clara/band_secure_grip.mp3,true,90f7b0734a6809610bb4fd33028f26a4e3edbd1299ccf93b5ffada4260e7b26e,3111,51035,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_stable_stance,,clara,assets/audio/voice/clara/band_stable_stance.mp3,true,a5e05f4682e50f924ea9053967ca96c3d65b1ed8fbfa03040297326f43916fcf,3251,53124,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
band_stop_if_slips_or_shifts,,clara,assets/audio/voice/clara/band_stop_if_slips_or_shifts.mp3,true,d9edcf831beb7631afd8d1e5e0e8e1537683a70ad326ef2eaff2a4f5f026b48e,5294,85725,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
center-yourself,,clara,assets/audio/voice/clara/center-yourself.mp3,true,e5e05d47f0a4afef76154cfabc3e1a00326ca25479036f3c5dcd832846f8732b,2090,34316,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
chair-stand-intro,,clara,assets/audio/voice/clara/chair-stand-intro.mp3,true,1f5289f343e15713cbc63c56c4254b5eed6856724e850797b1ed21778bec34ea,9474,152599,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
chair-stand-setup,,clara,assets/audio/voice/clara/chair-stand-setup.mp3,true,f9ecdc501d8eff499a583ae6cc3f6959f1926c66072c0d254b433fb4d9384809,10031,161376,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
chair_controlled_sit,,clara,assets/audio/voice/clara/chair_controlled_sit.mp3,true,cc4e642f3572261679f5973b2dfbc3bddfad359b3616de1ef3f9f39ac9ddc996,3019,49363,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
chair_use_sturdy_chair,,clara,assets/audio/voice/clara/chair_use_sturdy_chair.mp3,true,c5df146871d164d6f887df2a30fd159e1195348814c407254b39fc3eb7130f4c,2926,47691,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,legacy_only,Measured from current task-start physical corpus.
checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,clara,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,true,b2103b1787d5de75cc452872458e61afcd1737024d94051ce85950b83eade387,3947,64409,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-intro-v21,checkup-balance-intro-v21,clara,assets/audio/voice/clara/checkup-balance-intro-v21.mp3,true,d50f2797e1a4e219547db5114c6900755aa4a8c320e03ae26b3da96fac315365,4690,76112,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,clara,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,true,7532724d38a3d39dbe6cd34d3d3404fc5e0414369dc76decec9a410bd7cfeb29,2601,42675,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,clara,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,true,cb6370269f6b068721d87ca79d61d595859be823b05052ddad38161f065b70f1,3622,58976,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,clara,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,true,fb005e152e9694285a61ff2466e243ad2bf7755ef23e8a4391860c3b75930ed5,3715,60648,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,true,75634ec2d05e9588821d1c1c362abe6019cca226e38c801c79bcad564f450bb9,3251,53124,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,true,649572e625e9d68d766fd33c3e8ad2f99b0fe3efe767449ec6a729d03b54ce39,3251,53124,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-single-leg-v21,checkup-balance-single-leg-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3,true,150f92299310232b0a58dbd793883816c901fbd30594462b0ff08b49760f282c,4690,76112,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-balance-support-touch-v21,checkup-balance-support-touch-v21,clara,assets/audio/voice/clara/checkup-balance-support-touch-v21.mp3,true,181c9dd518db7114c4d6219d23519144783041c970711d53e06f4c92fcc51fe2,3111,51035,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-tandem-left-v21,checkup-balance-tandem-left-v21,clara,assets/audio/voice/clara/checkup-balance-tandem-left-v21.mp3,true,c49b4390dd0c5bf66a5e41421565aa3f2e40d08fbafc320d747793aeaddbcd1e,4505,73186,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-balance-tandem-right-v21,checkup-balance-tandem-right-v21,clara,assets/audio/voice/clara/checkup-balance-tandem-right-v21.mp3,true,66433fd3b84029a1fb0e0d459810b2aeb4aad201a89925b7ec9f320be85fcea1,4737,76948,44100,1,true,true,current_generated_metadata,current,ok,physical_ready_exact_pair,Generated Voice V2.1 asset measured from current disk bytes.
checkup-chair-stand-intro-v21,checkup-chair-stand-intro-v21,clara,assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3,true,78e07bb6e09b12918fd688eac88178b0b5a3f9e9b76cb72934ee176606aedcce,4737,76948,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-chair-stand-setup-v21,checkup-chair-stand-setup-v21,clara,assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3,true,28a340ea76a15341a3848e117bb914da604f900dfc2c1320babc8e9ad69d56b5,5619,91159,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-complete-v21,checkup-complete-v21,clara,assets/audio/voice/clara/checkup-complete-v21.mp3,true,f5dc277ca5d4290279149f8497c4e64f1f1addefeddbb43ed175e977ee3bbf9e,2601,42675,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-complete,,clara,assets/audio/voice/clara/checkup-complete.mp3,true,91aaaf9bb6b7b06c4ac37aa33944b7e7e4dfbdec701e69409516d5eefacf9c3a,5201,84471,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
checkup-hinge-setup-v21,checkup-hinge-setup-v21,clara,assets/audio/voice/clara/checkup-hinge-setup-v21.mp3,true,ed41360d9bfe88a1fcc1c336e57c9de216abdf760ff210b9fccb9884bb565e7e,6641,107459,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-intro,,clara,assets/audio/voice/clara/checkup-intro.mp3,true,f8615e112d44fc487f412af2cff86d391e5423829511017c91e108a440b4433e,12492,201082,44100,1,true,false,not_required_legacy,not_required_legacy,ok,legacy_only,Measured from current task-start physical corpus.
checkup-shoulder-raise-left-v21,checkup-shoulder-raise-left-v21,clara,assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3,true,6565233b8651dd52422b09c612c0a5faa021f6dcb1a968d92eb7ba88b8acebb2,4690,76112,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-raise-right-v21,checkup-shoulder-raise-right-v21,clara,assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3,true,1e92ab429a5ac3343299277aecc242c06cb3d98731636a9e2335d5b2a2c12315,5155,83635,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-turn-left-v21,checkup-shoulder-turn-left-v21,clara,assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3,true,52374e4bf3a58c023cf310729bd585676e2cbc0e800c0c98c847a785fc2fc93b,2601,42675,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-turn-right-v21,checkup-shoulder-turn-right-v21,clara,assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3,true,5da47d97f2c31c6650ea0dae62838b6e2cf52d0358d8d95024bd1a403088edb5,2554,41839,44100,1,true,true,covered_by_required_audio_metadata,verified_by_verify_audio,ok,physical_ready_exact_pair,Measured from current task-start physical corpus.
close-your-eyes,close-your-eyes,clara,assets/audio/voice/clara/close-your-eyes.mp3,true,596221b014a55929130b8c7c4e5a1bf98369a263916ed2a56d350b22dcc9c5f7,2461,40586,44100,1,true,false,not_required_legacy,not_required_legacy,ok,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
