logicalCueKey,exactScript,category,policyId,exerciseIds,usageRole,sideVariant,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,requiredForVoiceFirst,budgetClass,implementationBlockers,notes
countdown-one,One.,control,critical_window,session,shared,,countdown-one,One.,true,true,true,reuse_exact_existing_pair,false,true,control_confirmation,,Exact Clara/Marcus pair exists in the current physical manifest.
countdown-three,Three.,control,critical_window,session,shared,,countdown-three,Three.,true,true,true,reuse_exact_existing_pair,false,true,control_confirmation,,Exact Clara/Marcus pair exists in the current physical manifest.
countdown-two,Two.,control,critical_window,session,shared,,countdown-two,Two.,true,true,true,reuse_exact_existing_pair,false,true,control_confirmation,,Exact Clara/Marcus pair exists in the current physical manifest.
equip-balance-support-v21,Keep support within easy reach.,equipment_first_use,instruction,session,shared,,balance_support_within_reach,"Keep a counter, wall, or sturdy chair within reach for balance work.",true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-chair-stable-v21,Use a sturdy chair that will not slide.,equipment_first_use,instruction,session,shared,,chair_use_sturdy_chair,Use a sturdy chair that will not slide or tip.,true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-door-anchor-v21,Use a secure closed door anchor and test light tension first.,equipment_first_use,instruction,session,shared,,door_anchor_fully_closed+door_anchor_test_light_tension,"Use a fully closed, secure door before adding tension. Test the anchor with light tension before the set starts.",true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-floor-transition-v21,Move down to the floor and settle into the start position.,equipment_first_use,instruction,glute-bridge-hold;glute-bridge-reps;push-up-standard;session,equipment_first_use;shared,,floor_slow_transition,Move slowly when changing between standing and the floor.,true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-long-band-v21,Check the band first and keep it away from your face.,equipment_first_use,instruction,band-pull-apart;session,equipment_first_use;shared,,band_inspect_before_use+band_face_and_eyes_clear,"Inspect the band first, and do not use it if it is worn, cracked, or damaged. Keep the band path away from your face and eyes.",true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-step-stable-v21,"Use the lowest stable step, with support nearby.",equipment_first_use,instruction,session,shared,,step_use_low_stable_step+step_fixed_support_nearby,"Use only the lowest stable bottom stair or step. Keep fixed support, such as a rail, wall, or counter, within reach.",true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
equip-support-close-v21,Keep sturdy support within easy reach.,equipment_first_use,instruction,session,shared,,support_keep_support_within_reach,Keep support within easy reach throughout the set.,true,true,false,existing_pair_script_mismatch,true,true,ordinary_first_use_pre_countdown,,"A physical candidate exists, but V2.1 requires a separate exact logical cue."
ex-balance-feet-together-hold-first-v21,"Feet-together hold. Stand with feet together, fingertips near support, eyes open.",exercise_first_use,instruction,balance-feet-together-hold,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-feet-together-hold-next-v21,Feet-together hold.,exercise_later_set,instruction,balance-feet-together-hold,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-single-leg-hold-first-v21,Single-leg hold. Keep support close.,exercise_first_use,instruction,balance-single-leg-hold,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-single-leg-hold-next-v21,Single-leg hold.,exercise_later_set,instruction,balance-single-leg-hold,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-tandem-hold-first-v21,Tandem hold. Keep support close.,exercise_first_use,instruction,balance-tandem-hold,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-balance-tandem-hold-next-v21,Tandem hold.,exercise_later_set,instruction,balance-tandem-hold,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-band-pull-apart-first-v21,"Band pull-apart. Hold a light band at chest height. Pull your hands wide, then return slowly.",exercise_first_use,instruction,band-pull-apart,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-band-pull-apart-next-v21,Band pull-apart.,exercise_later_set,instruction,band-pull-apart,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-chair-supported-split-squat-first-v21,Supported split squat. Keep fingertips near support.,exercise_first_use,instruction,chair-supported-split-squat,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-chair-supported-split-squat-next-v21,Supported split squat.,exercise_later_set,instruction,chair-supported-split-squat,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-hold-first-v21,"Bridge hold. Lie on your back, knees bent, feet flat. Lift your hips and hold.",exercise_first_use,instruction,glute-bridge-hold,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-hold-next-v21,Bridge hold.,exercise_later_set,instruction,glute-bridge-hold,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-reps-first-v21,"Glute bridge. Lie on your back, knees bent, feet flat. Lift your hips, then lower with control.",exercise_first_use,instruction,glute-bridge-reps,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-glute-bridge-reps-next-v21,Glute bridge.,exercise_later_set,instruction,glute-bridge-reps,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-free-first-v21,"Heel raise. Stand tall. Rise onto the balls of your feet, then lower slowly.",exercise_first_use,instruction,heel-raise-free,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-free-next-v21,Heel raise.,exercise_later_set,instruction,heel-raise-free,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-supported-first-v21,"Supported heel raise. Fingertips near support. Rise onto the balls of your feet, then lower slowly.",exercise_first_use,instruction,heel-raise-supported,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-heel-raise-supported-next-v21,Supported heel raise.,exercise_later_set,instruction,heel-raise-supported,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-free-first-v21,"Hip hinge. Feet under hips. Send hips back with a long spine, then stand tall.",exercise_first_use,instruction,hip-hinge-free,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-free-next-v21,Hip hinge.,exercise_later_set,instruction,hip-hinge-free,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-wall-first-v21,"Wall-tap hinge. Stand a step from the wall. Send hips back to tap the wall, then stand tall.",exercise_first_use,instruction,hip-hinge-wall,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-hip-hinge-wall-next-v21,Wall-tap hinge.,exercise_later_set,instruction,hip-hinge-wall,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-march-first-v21,March in place. Stand tall near support and march with a steady rhythm.,exercise_first_use,instruction,loaded-march,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-march-next-v21,March in place.,exercise_later_set,instruction,loaded-march,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-sit-to-stand-first-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.",exercise_first_use,instruction,loaded-sit-to-stand,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,exercise_later_set,instruction,loaded-sit-to-stand,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-mini-band-lateral-walk-first-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.,exercise_first_use,instruction,mini-band-lateral-walk,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-mini-band-lateral-walk-next-v21,Mini-band lateral walk.,exercise_later_set,instruction,mini-band-lateral-walk,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-neck-rotation-first-v21,"Neck rotations. Face the phone, sit or stand tall, and slowly look over one shoulder, then the other.",exercise_first_use,instruction,neck-rotation,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-neck-rotation-next-v21,Neck rotations.,exercise_later_set,instruction,neck-rotation,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-press-band-first-v21,"Band overhead press. Stand tall with light band tension. Press overhead, then return slowly.",exercise_first_use,instruction,overhead-press-band,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-press-band-next-v21,Band overhead press.,exercise_later_set,instruction,overhead-press-band,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-reach-first-v21,"Overhead reach. Stand tall. Reach both arms overhead as far as comfortable, then lower.",exercise_first_use,instruction,overhead-reach,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-overhead-reach-next-v21,Overhead reach.,exercise_later_set,instruction,overhead-reach,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-incline-first-v21,"Incline push-up. Hands on a stable counter or sturdy chair. Lower in with control, then press away.",exercise_first_use,instruction,push-up-incline,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-incline-next-v21,Incline push-up.,exercise_later_set,instruction,push-up-incline,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-standard-first-v21,"Push-up. Start from the floor position. Lower with control, then press up.",exercise_first_use,instruction,push-up-standard,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-standard-next-v21,Push-up.,exercise_later_set,instruction,push-up-standard,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-FLOOR-GATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-wall-first-v21,"Wall push-up. Hands on the wall. Lower in with control, then press away.",exercise_first_use,instruction,push-up-wall,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-push-up-wall-next-v21,Wall push-up.,exercise_later_set,instruction,push-up-wall,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-band-row-first-v21,"Seated band row. Sit tall with the band anchored under both feet. Pull elbows back, then return slowly.",exercise_first_use,instruction,seated-band-row,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-band-row-next-v21,Seated band row.,exercise_later_set,instruction,seated-band-row,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-hamstring-reach-first-v21,Seated hamstring reach. Sit tall at the chair edge.,exercise_first_use,instruction,seated-hamstring-reach,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-seated-hamstring-reach-next-v21,Seated hamstring reach.,exercise_later_set,instruction,seated-hamstring-reach,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-DOSE-CONVERSION;IR-VOICE-ROUND-STATE;IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-free-first-v21,"Squat. Feet about hip width. Lower as if to sit, then stand with control.",exercise_first_use,instruction,squat-free,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-free-next-v21,Squat.,exercise_later_set,instruction,squat-free,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-loaded-first-v21,"Loaded squat. Hold the load close to your chest. Lower into a squat, then stand with control.",exercise_first_use,instruction,squat-loaded,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-loaded-next-v21,Loaded squat.,exercise_later_set,instruction,squat-loaded,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-slow-eccentric-first-v21,"Slow-lower squat. Lower slowly, then stand with control.",exercise_first_use,instruction,squat-slow-eccentric,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-slow-eccentric-next-v21,Slow-lower squat.,exercise_later_set,instruction,squat-slow-eccentric,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-supported-first-v21,"Supported squat. Stand near sturdy support. Lower as if to sit, then stand with control.",exercise_first_use,instruction,squat-supported,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-squat-supported-next-v21,Supported squat.,exercise_later_set,instruction,squat-supported,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-standing-band-row-first-v21,"Standing band row. Face the secure door anchor in a stable stance. Pull elbows back, then return slowly.",exercise_first_use,instruction,standing-band-row,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-standing-band-row-next-v21,Standing band row.,exercise_later_set,instruction,standing-band-row,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-step-up-first-v21,"Step-up. Use the lowest stable step with support nearby. Alternate the leading leg each rep, returning both feet to the floor.",exercise_first_use,instruction,step-up,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION;IR-VOICE-STEP-ALTERNATION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-step-up-next-v21,Step-up. Alternate the leading leg each rep.,exercise_later_set,instruction,step-up,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION;IR-VOICE-STEP-ALTERNATION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-cushion-first-v21,"Cushion sit-to-stand. Sit tall on the cushion, feet flat. Stand fully, then sit with control.",exercise_first_use,instruction,sts-cushion,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-cushion-next-v21,Cushion sit-to-stand.,exercise_later_set,instruction,sts-cushion,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-power-first-v21,"Power sit-to-stand. Sit tall, drive up briskly to standing, then sit with control.",exercise_first_use,instruction,sts-power,first_use,,,,false,false,false,new_pair_required,true,true,ordinary_first_use_pre_countdown,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
ex-sts-power-next-v21,Power sit-to-stand.,exercise_later_set,instruction,sts-power,later_set,,,,false,false,false,new_pair_required,true,true,later_set_reminder,IR-VOICE-SAFETY-SUBSUMPTION,No current physical pair exists for this logical Training Voice V2.1 cue.
