scenarioId,variantId,lifecycleType,runtimeOwnerId,startedAt,completedAt,createdCount,finishedCount,setResultCount,progressionEventCount,serializedStateKind,restoreStateKind,seedMutationCount,expected,observed,passed,notes
runtime_selection_generated_item_selects_internal,base,runtime_owner,step_up_alternation,,,1,0,0,0,,,0,"{""kind"":""step_up_alternation""}","{""selection"":{""kind"":""step_up_alternation"",""reasonCodes"":[]},""runtimeKind"":""step_up_alternation""}",true,createTrainingSetRuntime imports and executes current setRuntime.ts and stepUp runtime.
one_completed_set_one_canonical_set_result,base,set_result,step_up_alternation,,,1,1,1,1,,,0,"{""setResultCount"":1,""reps"":12,""reachedTarget"":true}","{""setResult"":{""exerciseId"":""step-up"",""reps"":12,""meanVel"":null,""holdSec"":null,""romPeak"":null,""autoregulated"":false,""reachedTarget"":true,""interruptions"":0,""flags"":[],""stepUpAlternation"":{""setIndex"":0,""startLeadSide"":""left"",""targetTotalReps"":12,""acceptedRepCount"":12,""leftLeadRepCount"":6,""rightLeadRepCount"":6,""alternationValid"":true,""completedTarget"":true}},""progression"":{""exerciseId"":""step-up"",""family"":""step-up"",""level"":1,""kind"":""reps"",""meanVel"":null,""totalReps"":12,""targetReps"":36,""reachedAllTargets"":false,""autoregulated"":false,""measured"":true}}",true,Canonical result has one set-level stepUpAlternation payload; left/right lead counts do not create extra SetResults.
three_sets_progression_exactly_three_results,base,set_result,step_up_alternation,,,3,3,3,3,,,0,"{""setResultCount"":3,""totalReps"":36}","{""setResultCount"":3,""progression"":{""exerciseId"":""step-up"",""family"":""step-up"",""level"":1,""kind"":""reps"",""meanVel"":null,""totalReps"":36,""targetReps"":36,""reachedAllTargets"":true,""autoregulated"":false,""measured"":true}}",true,"Full prescription aggregation remains one SetResult per set, not per side."
local_runtime_roundtrip_after_six_reps,base,local_roundtrip,step_up_alternation,,,1,0,0,0,step_up_alternation,step_up_alternation,0,"{""acceptedRepCount"":6,""activeSetRuntime"":""step_up_alternation"",""seed"":""right""}","{""runtimeRestore"":{""plan"":{""version"":1,""exerciseId"":""step-up"",""targetTotalReps"":12,""targetLeftLeadReps"":6,""targetRightLeadReps"":6,""setCount"":3,""initialLeadSide"":""left"",""setStartLeadSides"":[""left"",""right"",""left""],""sourceSetCount"":3,""sourceTargetRepsPerSet"":12,""sourcePrescriptionFingerprint"":""step-up-source_731cf0ad"",""planFingerprint"":""sua1_c6eceba6"",""runtimeSelectable"":true,""blockerReasonCodes"":[""STEP_UP_ALTERNATION_READY""]},""setIndex"":0,""startLeadSide"":""left"",""expectedLeadSide"":""left"",""phase"":""ready_both_feet_floor"",""currentRepAttemptId"":null,""acceptedRepCount"":6,""leftLeadRepCount"":3,""rightLeadRepCount"":3,""repEvidence"":[{""repAttemptId"":""local-six-1"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""local-six-2"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""local-six-3"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""local-six-4"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""local-six-5"",""expectedLeadSide"":""left"",""observedLeadSide"":""left"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""},{""repAttemptId"":""local-six-6"",""expectedLeadSide"":""right"",""observedLeadSide"":""right"",""startedAtMs"":100,""topReachedAtMs"":500,""returnedToFloorAtMs"":900,""bothFeetAtStart"":true,""expectedLeadInitiatedAscent"":true,""topPhaseValid"":true,""bothFeetReturnedToFloor"":true,""trackingValid"":true,""valid"":true,""endReason"":""accepted""}],""retiredRepAttemptIds"":[""local-six-1"",""local-six-2"",""local-six-3"",""local-six-4"",""local-six-5"",""local-six-6""],""stageEpoch"":14,""ignoredStaleActionCount"":0,""duplicateSuppressedCount"":0,""wrongLeadCount"":0,""repSfxCount"":6},""trainingActiveRuntimeKind"":""step_up_alternation"",""trainingSeed"":""right""}",true,Exercises current step-up runtime persistence directly; focused Jest tests execute src/training/serialize.ts through the app test environment.
local_runtime_restore_mid_rep_retires_partial,base,local_roundtrip,step_up_alternation,,,1,0,0,0,step_up_alternation,step_up_alternation,0,"{""partialRepCredited"":false,""ignoredStaleActionCount"":1}","{""acceptedRepCount"":0,""ignoredStaleActionCount"":1,""phase"":""ready_both_feet_floor""}",true,Safe restore boundary retires the active attempt before stale evidence can arrive.
backend_sanitize_sync_restore_preserves_plan_runtime_seed,base,backend_roundtrip,step_up_alternation,,,1,0,0,0,step_up_alternation,step_up_alternation,0,"{""planFingerprint"":""sua1_421bd884"",""activeRuntime"":""step_up_alternation"",""seed"":""right""}","{""payloadPlanFingerprint"":""sua1_421bd884"",""restoredPlanFingerprint"":""sua1_421bd884"",""restoredActiveRuntime"":""step_up_alternation"",""restoredSeed"":""right""}",true,Backend service functions are corroborated by focused Jest tests; this Node harness mirrors the current sanitizer/restore shape without importing Supabase.
seed_main_plan_completion_flips_exactly_once,base,seed,App.tsx/applyBothSidesExerciseCompletionToStartSideSeed,,,0,0,0,0,,,1,"{""nextSide"":""right"",""mutationCount"":1}","{""nextSide"":""right"",""mutationCount"":1,""seed"":{""nextBothSidesStartSideByExercise"":{""step-up"":""right""},""appliedBothSidesStartSideFlipEventIds"":[""main:step-up""]}}",true,Uses production seed helper with main-plan gate and event-id idempotency.
seed_skip_does_not_flip,base,seed,App.tsx/applyBothSidesExerciseCompletionToStartSideSeed,,,0,0,0,0,,,0,"{""nextSide"":""left"",""mutationCount"":0}","{""nextSide"":""left"",""mutationCount"":0,""seed"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,Uses production seed helper with main-plan gate and event-id idempotency.
seed_cancel_incomplete_does_not_flip,base,seed,App.tsx/applyBothSidesExerciseCompletionToStartSideSeed,,,0,0,0,0,,,0,"{""nextSide"":""left"",""mutationCount"":0}","{""nextSide"":""left"",""mutationCount"":0,""seed"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,Uses production seed helper with main-plan gate and event-id idempotency.
seed_manual_practice_does_not_flip,base,seed,App.tsx/applyBothSidesExerciseCompletionToStartSideSeed,,,0,0,0,0,,,0,"{""nextSide"":""left"",""mutationCount"":0}","{""nextSide"":""left"",""mutationCount"":0,""seed"":{""nextBothSidesStartSideByExercise"":{},""appliedBothSidesStartSideFlipEventIds"":[]}}",true,Uses production seed helper with main-plan gate and event-id idempotency.
