logicalCueKey,exactScript,category,policyId,requiredness,eventsOrContracts,currentCandidateKey,currentCandidateScript,claraExists,marcusExists,semanticMatch,reuseDecision,generationRequiredLater,budgetClass,notes
countdown-one,One.,control,critical_window,required_before_next_boundary,shared,countdown-one,One.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
countdown-three,Three.,control,critical_window,required_before_next_boundary,shared,countdown-three,Three.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
countdown-two,Two.,control,critical_window,required_before_next_boundary,shared,countdown-two,Two.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
five-seconds-left-v21,Five seconds left.,progress,low_reassurance,optional_transition,progress;shared,five-seconds-left-v21,Five seconds left.,true,true,true,reuse_exact_existing_pair,false,active_progress,Exact Clara/Marcus pair exists in the current physical manifest.
go,Go!,control,critical_window,required_before_next_boundary,shared,go,Go!,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
halfway-v21,Halfway.,progress,low_reassurance,optional_transition,progress;shared,halfway-v21,Halfway.,true,true,true,reuse_exact_existing_pair,false,active_progress,Exact Clara/Marcus pair exists in the current physical manifest.
last-set-v21,Last set.,rest_transition,result_transition,required_before_next_boundary,shared,last-set-v21,Last set.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
next-exercise-v21,Next exercise.,rest_transition,result_transition,required_before_next_boundary,shared,next-exercise-v21,Next exercise.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
paused-v21,Paused.,control,result_transition,required_before_next_boundary,shared,paused-v21,Paused.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
rest-now-v21,Rest now.,rest_transition,result_transition,required_before_next_boundary,shared,rest-now-v21,Rest now.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
resuming-v21,Resuming.,control,result_transition,required_before_next_boundary,shared,resuming-v21,Resuming.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
retry-v21,Let's try that again.,recovery,result_transition,required_before_next_boundary,shared,retry-v21,Let's try that again.,true,true,true,reuse_exact_existing_pair,false,tracking_loss_recovery_sequence,Exact Clara/Marcus pair exists in the current physical manifest.
session-complete-v21,Session complete.,completion,result_transition,required_before_next_boundary,shared,session-complete-v21,Session complete.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
set-complete-v21,Set complete.,completion,result_transition,required_before_next_boundary,shared,set-complete-v21,Set complete.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
step-up-start-left-v21,Start with your left leg.,side_setup,instruction,required_before_next_boundary,side_setup,step-up-start-left-v21,Start with your left leg.,true,true,true,reuse_exact_existing_pair,false,shared,Exact Clara/Marcus pair exists in the current physical manifest.
step-up-start-right-v21,Start with your right leg.,side_setup,instruction,required_before_next_boundary,side_setup,step-up-start-right-v21,Start with your right leg.,true,true,true,reuse_exact_existing_pair,false,shared,Exact Clara/Marcus pair exists in the current physical manifest.
step-up-wrong-left-v21,No rep. Start the next one with your left leg.,recovery,critical_stop,required_before_next_boundary,shared,step-up-wrong-left-v21,No rep. Start the next one with your left leg.,true,true,true,reuse_exact_existing_pair,false,tracking_loss_recovery_sequence,Exact Clara/Marcus pair exists in the current physical manifest.
step-up-wrong-right-v21,No rep. Start the next one with your right leg.,recovery,critical_stop,required_before_next_boundary,shared,step-up-wrong-right-v21,No rep. Start the next one with your right leg.,true,true,true,reuse_exact_existing_pair,false,tracking_loss_recovery_sequence,Exact Clara/Marcus pair exists in the current physical manifest.
switch-foot-positions-v21,Switch foot positions.,side_switch,instruction,required_before_next_boundary,shared;side_switch,switch-foot-positions-v21,Switch foot positions.,true,true,true,reuse_exact_existing_pair,false,shared,Exact Clara/Marcus pair exists in the current physical manifest.
switch-legs-v21,Switch legs.,side_switch,instruction,required_before_next_boundary,shared;side_switch,switch-legs-v21,Switch legs.,true,true,true,reuse_exact_existing_pair,false,shared,Exact Clara/Marcus pair exists in the current physical manifest.
switch-sides-v21,Switch sides.,side_switch,instruction,required_before_next_boundary,shared;side_switch,switch-sides-v21,Switch sides.,true,true,true,reuse_exact_existing_pair,false,shared,Exact Clara/Marcus pair exists in the current physical manifest.
times-up-v21,Time.,completion,critical_stop,required_before_next_boundary,shared,times-up-v21,Time.,true,true,true,reuse_exact_existing_pair,false,control_confirmation,Exact Clara/Marcus pair exists in the current physical manifest.
tracking-loss-v21,Pause. Return to the setup position.,recovery,critical_stop,required_before_next_boundary,shared,tracking-loss-v21,Pause. Return to the setup position.,true,true,true,reuse_exact_existing_pair,false,tracking_loss_recovery_sequence,Exact Clara/Marcus pair exists in the current physical manifest.
