newCueKey,action,oldCueKeys,flow,category,policyId,proposedNumericPriority,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,blocksProgression,mayInterrupt,mayBeInterruptedBy,dropIfBusy,cancelOnStateExit,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,hardMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,humanReviewStatus,runtimeReadiness,implementationRequirementIds,legacyStatus,notes
training-intro-v21,rewrite_existing_key,training-intro,training,session_intro,instruction,60,,"Time to train. I will guide the setup, work, and rests. Follow my voice and pause whenever you need.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7260,7070,12000,16000,19,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
safe-session-start-v21,new_asset,,training,safety.universal,instruction,60,,"Clear the space around you. Stop for sharp pain, dizziness, or feeling unwell.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,12000,16000,13,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
final-position-set-v21,new_asset,,shared,setup.final_position,setup_recovery,50,,You're set.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,1140,1120,12000,16000,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-enter-view-v21,rewrite_existing_key,step-into-frame,shared,setup.prompt,setup_recovery,50,,Step into view so your whole body is visible.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,3660,3570,12000,16000,9,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-clearer-view-v21,new_asset,,shared,setup.prompt,setup_recovery,50,,I need a clearer view. Make sure your whole body is visible.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,4740,4620,12000,16000,12,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-center-v21,rewrite_existing_key,center-yourself,shared,setup.prompt,setup_recovery,50,,Move to the centre of the view.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2940,2870,12000,16000,7,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-back-v21,rewrite_existing_key,step-back,shared,setup.prompt,setup_recovery,50,,Move a little farther back.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,12000,16000,5,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-closer-v21,rewrite_existing_key,step-closer,shared,setup.prompt,setup_recovery,50,,Move a little closer.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,1860,1820,12000,16000,4,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-hold-still-v21,rewrite_existing_key,hold-still,shared,setup.prompt,setup_recovery,50,,Hold still for a moment.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2220,2170,12000,16000,5,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
setup-light-v21,rewrite_existing_key,turn-on-light,shared,setup.prompt,setup_recovery,50,,Please turn on the main light.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2580,2520,12000,16000,6,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
tracking-loss-v21,rewrite_existing_key,tracking_pause_and_reset,shared,tracking_loss,critical_stop,100,,Pause. Return to the setup position.,false,whole_recording,shared,true,all,none,false,true,2580,2520,12000,16000,6,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
tracking-recovered-v21,new_asset,,shared,tracking_recovery,setup_recovery,50,,You're back in position. We'll restart.,false,whole_recording,shared,false,low_reassurance,critical_stop;critical_window;result_transition;instruction,true,true,2580,2520,12000,16000,6,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
countdown-three,reuse_existing,countdown-three,shared,countdown,critical_window,90,,Three.,false,whole_recording,shared,true,instruction;setup_recovery;low_reassurance,critical_stop,false,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
countdown-two,reuse_existing,countdown-two,shared,countdown,critical_window,90,,Two.,false,whole_recording,shared,true,instruction;setup_recovery;low_reassurance,critical_stop,false,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
countdown-one,reuse_existing,countdown-one,shared,countdown,critical_window,90,,One.,false,whole_recording,shared,true,instruction;setup_recovery;low_reassurance,critical_stop,false,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
go,reuse_existing,go,shared,countdown,critical_window,90,,Go!,false,whole_recording,shared,true,instruction;setup_recovery;low_reassurance,critical_stop,false,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
times-up-v21,rewrite_existing_key,times-up,shared,active_stop,critical_stop,100,,Time.,false,whole_recording,shared,true,all,none,false,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
halfway-v21,new_composable_fragment,,shared,progress,low_reassurance,20,,Halfway.,false,whole_recording,shared,false,none,all_higher_priority,true,true,900,900,12000,16000,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
five-seconds-left-v21,new_composable_fragment,,shared,progress,low_reassurance,20,,Five seconds left.,false,whole_recording,shared,false,none,all_higher_priority,true,true,1500,1470,12000,16000,3,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
paused-v21,new_asset,,control,control_or_completion,result_transition,70,,Paused.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
resuming-v21,new_asset,,control,control_or_completion,result_transition,70,,Resuming.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
retry-v21,new_asset,,control,control_or_completion,result_transition,70,,Let's try that again.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1860,1820,2000,3500,4,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
training-skip-v21,rewrite_existing_key,exercise-skipped,control,control_or_completion,result_transition,70,,Skipped. Moving on.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1500,1470,2000,3500,3,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
checkup-skip-v21,rewrite_existing_key,exercise-skipped,control,control_or_completion,result_transition,70,,Skipped. Moving on.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1500,1470,2000,3500,3,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
micro-discard-v21,new_asset,,control,control_or_completion,result_transition,70,,Check discarded.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
set-complete-v21,rewrite_existing_key,set-done,training,control_or_completion,result_transition,70,,Set complete.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
rest-now-v21,rewrite_existing_key,rest-now,training,control_or_completion,result_transition,70,,Rest now.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
last-set-v21,rewrite_existing_key,last-set,training,control_or_completion,result_transition,70,,Last set.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
next-exercise-v21,rewrite_existing_key,next-up;next-exercise,training,control_or_completion,result_transition,70,,Next exercise.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
session-complete-v21,rewrite_existing_key,session-complete,training,control_or_completion,result_transition,70,,Session complete.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
checkup-complete-v21,rewrite_existing_key,checkup-complete,checkup,control_or_completion,result_transition,70,,Check-up complete. Your results are ready.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,2940,2870,2000,3500,7,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
microcheck-complete-v21,rewrite_existing_key,microcheck-complete,micro_check,control_or_completion,result_transition,70,,Check complete.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,1140,1120,2000,3500,2,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
item-complete-v21,rewrite_existing_key,item-complete,shared,control_or_completion,result_transition,70,,Complete.,false,whole_recording,shared,true,setup_recovery;low_reassurance,critical_stop;critical_window,false,true,900,900,2000,3500,1,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-chair-stable-v21,new_asset,,training,safety.equipment_family,instruction,60,,Use a sturdy chair that will not slide.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,12000,16000,8,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-support-close-v21,new_asset,,training,safety.equipment_family,instruction,60,,Keep sturdy support within easy reach.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,12000,16000,6,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-balance-support-v21,rewrite_existing_key,balance_support_within_reach,training,safety.equipment_family,instruction,60,,Keep support within easy reach.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2220,2170,12000,16000,5,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-step-stable-v21,rewrite_existing_key,step_use_low_stable_step;step_fixed_support_nearby,training,safety.equipment_family,instruction,60,,"Use the lowest stable step, with support nearby.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,12000,16000,8,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-long-band-v21,rewrite_existing_key,band_inspect_before_use;band_face_and_eyes_clear,training,safety.equipment_family,instruction,60,,Check the band first and keep it away from your face.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,12000,16000,11,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
equip-door-anchor-v21,rewrite_existing_key,door_anchor_fully_closed;door_anchor_test_light_tension,training,safety.equipment_family,instruction,60,,Use a secure closed door anchor and test light tension first.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,12000,16000,11,true,,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
