scenarioId,variantId,category,evidenceMethod,sourceFunctions,initialState,eventSequence,expectedOutcome,observedOutcome,passed,findingRuleIds,metricTags,testCoverage,notes
step_up_left_first_set_12_reps,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
step_up_right_first_set_12_reps,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
step_up_three_sets_left_initial,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
step_up_three_sets_right_initial,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
step_up_six_left_six_right,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
step_up_both_feet_floor_each_rep,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
wrong_lead_on_first_rep,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
wrong_lead_after_five_reps,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
wrong_lead_returns_to_floor_then_corrects,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
wrong_lead_does_not_flip_expected,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
generic_rep_without_lead_evidence_rejected,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
opposite_chain_clearer_not_auto_credited,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
top_reached_no_floor_return,base,original_addendum,existing_addendum_csv,createStepUpAlternationEvidenceAdapter;StepUpAlternationSetRuntime.update,default_closed_internal_ready_when_required,single deterministic scenario,"passes without unsafe credit, duplicate result, or default-open behavior",passed,true,,selection;ownership,stepUpRuntimeIntegration.test.ts,addendum harness rows retained
