scenarioId,variantId,voiceId,latencyProfile,eventIndex,eventId,controllerStateBefore,controllerStateAfter,cueKeys,outcome,recoveryEpisodeId,partialAttemptInvalidated,freshCountdown,activeVoiceId,pendingVoiceId,oldCallbackIgnored,mixedVoices,notes
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L0,clara,L0,1,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L100,clara,L100,2,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L250,clara,L250,3,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:marcus:L0,marcus,L0,4,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,marcus,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:marcus:L100,marcus,L100,5,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,marcus,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:marcus:L250,marcus,L250,6,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,marcus,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:clara:L0,clara,L0,7,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:clara:L100,clara,L100,8,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:clara:L250,clara,L250,9,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,clara,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:marcus:L0,marcus,L0,10,foundation_gate_rechecked,foundation_stage,foundation_stage,,foundation_contract_preserved,,false,false,marcus,,false,false,The post-foundation audit remains the foundation source of truth; this audit rechecks no-regression source gates.
