scenarioId,variantId,eventIndex,timestampMs,runtimeMode,setIndex,repAttemptId,phase,expectedLeadBefore,observedLead,bothFeetAtStart,ascentValid,topPhaseValid,bothFeetReturnedToFloor,trackingValid,evidenceOutcome,stateOutcome,credited,sfxPlayed,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,setResultEmitted,progressionConsumed,serialized,restored,seedBefore,seedAfter,notes
integration_generated_item_selects_runtime,base,1,1100,step_up_alternation,0,integration_generated_item_selects_runtime-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_step_up_flag_alone_stays_legacy,base,2,1200,legacy,0,integration_step_up_flag_alone_stays_legacy-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_one_runtime_owner,base,3,1300,step_up_alternation,0,integration_one_runtime_owner-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_existing_legacy_session_stays_legacy,base,4,1400,legacy,0,integration_existing_legacy_session_stays_legacy-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_left_lead_to_evidence,base,5,1500,step_up_alternation,0,integration_frames_left_lead_to_evidence-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_right_lead_to_evidence,base,6,1600,step_up_alternation,0,integration_frames_right_lead_to_evidence-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_wrong_lead_rejected,base,7,1700,step_up_alternation,0,integration_frames_wrong_lead_rejected-attempt-1,wrong_lead_recovery,left,right,true,false,false,false,true,wrong_lead,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_unknown_lead_rejected,base,8,1800,step_up_alternation,0,integration_frames_unknown_lead_rejected-attempt-1,ready_both_feet_floor,left,,true,false,false,false,true,invalid_phase,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_top_without_return_rejected,base,9,1900,step_up_alternation,0,integration_frames_top_without_return_rejected-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_one_foot_on_step_rejected,base,10,2000,step_up_alternation,0,integration_frames_one_foot_on_step_rejected-attempt-1,checked,left,left,true,true,false,false,true,not_applicable,rejected_or_not_applicable,false,false,left,0,0,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_frames_threshold_noise_single_credit,base,11,2100,step_up_alternation,0,integration_frames_threshold_noise_single_credit-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_tracking_interrupt_retires_rep,base,12,2200,step_up_alternation,0,integration_tracking_interrupt_retires_rep-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_evidence_dispatches_state_machine,base,13,2300,step_up_alternation,0,integration_evidence_dispatches_state_machine-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_accepted_rep_is_only_sfx_source,base,14,2400,step_up_alternation,0,integration_accepted_rep_is_only_sfx_source-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_generic_rep_sfx_suppressed,base,15,2500,step_up_alternation,0,integration_generic_rep_sfx_suppressed-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_twelve_reps_complete_one_set,base,16,2600,step_up_alternation,0,integration_twelve_reps_complete_one_set-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,true,true,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_three_sets_preserve_start_order,base,17,2700,step_up_alternation,0,integration_three_sets_preserve_start_order-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,false,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_state_machine_emits_set_result,base,18,2800,step_up_alternation,0,integration_state_machine_emits_set_result-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,true,false,false,false,left,left,runtime-derived audit row from implemented source/test path
integration_set_result_reaches_progression,base,19,2900,step_up_alternation,0,integration_set_result_reaches_progression-attempt-1,accepted,left,left,true,true,true,true,true,accepted,accepted,true,true,right,1,1,0,false,true,true,false,false,left,left,runtime-derived audit row from implemented source/test path
