newCueKey,action,oldCueKeys,flow,category,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,priorityClass,interruptPolicy,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,reviewStatus,notes
training-intro,rewrite_same_key,training-intro,training,session_intro,Training session entry after launch.,"Time to train. I will guide each setup, set, and rest. Follow my voice; the screen is here for backup.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,7210,7090,12000,20,true,,phase_3,needs_human_review,
safe-session-start-v2,new,,training,safety.universal,Once per training session after session entry.,"Before we start, clear the space around you. Stop for sharp pain, dizziness, or feeling unwell. Keep supports and equipment steady.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,7558,7432,12000,21,true,,phase_3,needs_human_review,
safe-chair-first-v2,new,,training,safety.equipment_family,First chair exercise in a session.,Use a sturdy chair that will not slide or tip.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3730,3670,6000,10,true,,phase_3,needs_human_review,
safe-support-first-v2,new,,training,safety.equipment_family,"First exercise using wall, counter, chair, or rail support.",Keep sturdy support within easy reach.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,2338,2302,5000,6,true,,phase_3,needs_human_review,
safe-step-first-v2,new,,training,safety.equipment_family,First step or stair exercise in a session.,"Use the lowest stable step, with support nearby, and keep the phone out of your stepping path.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,6166,6064,8000,17,true,,phase_3,needs_human_review,
safe-band-first-v2,new,,training,safety.equipment_family,First long-band exercise in a session.,Check the band first. Keep it away from your face and return it slowly.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5122,5038,7000,14,true,,phase_3,needs_human_review,
safe-door-anchor-first-v2,new,,training,safety.equipment_family,First door-anchor exercise in a session.,"Use a purpose-built anchor on a fully closed door, and test light tension before the set.",false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5818,5722,8000,16,true,,phase_3,needs_human_review,
safe-mini-band-first-v2,new,,training,safety.equipment_family,First mini-band exercise in a session.,Place the mini band securely and use small controlled steps.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3730,3670,6000,10,true,,phase_3,needs_human_review,
safe-floor-first-v2,new,,training,safety.equipment_family,First floor exercise in a session.,Use clear floor space and move slowly getting down and back up. Keep support nearby.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,5470,5380,8000,15,true,,phase_3,needs_human_review,
safe-balance-first-v2,new,,training,safety.equipment_family,First balance exercise in a session.,Keep fingertips near support and touch it whenever you need.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3730,3670,6000,10,true,,phase_3,needs_human_review,
step-into-frame,rewrite_same_key,step-into-frame,shared,setup.prompt,No plausible full-body subject in view.,Step into view so your whole body is visible.,false,whole_recording,first_use,instruction,finish_before_countdown; cancel_if_state_changes,3382,3328,4000,9,true,,phase_5,needs_human_review,
